relacion_id	tipo_trabajo	fuente	tarea_observacion_id	reporte_neutral_ref	estado_cierre	intentos_reales	objetos_abiertos	siguiente_accion_original	criterio_cierre_individual	receta_continuacion
REL-3d47f2e740a4b56741e9c6e2	BUSQUEDA_DIRIGIDA	GDELT	TOBS-SEM-b463329c0abf1a4add11f117	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-b463329c0abf1a4add11f117.json	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	2	1	Extraer un universo México acotado, aplicar deduplicación documentada y mapear CAMEO/actores/respuesta al objeto.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	Se abrió la fuente/referencia, pero no un objeto que cierre literalmente la acción individual; usar la receta y frontera registradas.
REL-3d6a985a8dafc13fdbd39e4a	BUSQUEDA_DIRIGIDA	WVS	TOBS-SEM-95ecb20a0512809ca939da05	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-95ecb20a0512809ca939da05.json	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	0	1	Abrir cuestionario y codebook Wave 7 México; localizar reactivo, codificación y desenlace coobservado.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	Se abrió la fuente/referencia, pero no un objeto que cierre literalmente la acción individual; usar la receta y frontera registradas.
REL-3e153324c7506ed0e35a7a70	BUSQUEDA_DIRIGIDA	WORLD_BANK_ENTERPRISE_SURVEY_MEXICO_2023	TOBS-SEM-6cd6a34ef3c6fd7f9148b5e4	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-6cd6a34ef3c6fd7f9148b5e4.json	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	2	1	Abrir cuestionario.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	Se abrió la fuente/referencia, pero no un objeto que cierre literalmente la acción individual; usar la receta y frontera registradas.
REL-435541bba7684694085356c2	BUSQUEDA_DIRIGIDA	MASS_MOBILIZATION_PROTEST_DATA	TOBS-SEM-4393bc0202d3793dc368ca3f	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-4393bc0202d3793dc368ca3f.json	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	2	1	Abrir codebook y payload México; verificar campos completos y documentar explícitamente si existe algún vínculo con trámite o gobierno digital.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	Se abrió la fuente/referencia, pero no un objeto que cierre literalmente la acción individual; usar la receta y frontera registradas.
REL-4360d0a91e5f8be30916c2b9	BUSQUEDA_DIRIGIDA	LATINOBARÓMETRO	TOBS-SEM-91e2ca67738c1d5d4780903f	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-91e2ca67738c1d5d4780903f.json	EJECUTADA_CON_RESULTADO	0	5	Obtener el microdato bajo la licencia aplicable y mapear reactivo, codificación y desenlace para México.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	Se abrió al menos un objeto de datos/documentación y se registró su estructura literal; el juicio semántico permanece separado.
REL-45672e7d7c5ac7c69edaede4	CURADURIA_FUENTE	ENFIH	TOBS-SEM-5387b712908d44e17c1ed68d	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-5387b712908d44e17c1ed68d.json	EJECUTADA_CON_RESULTADO	0	6	Abrir el diccionario ENFIH y construir una tabla variable×constructo×desenlace para esta necesidad; verificar coobservación por llave de persona.	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.	Se abrió al menos un objeto de datos/documentación y se registró su estructura literal; el juicio semántico permanece separado.
REL-4773e33ebd7e704a595bbf07	CURADURIA_FUENTE	ENNVIH	TOBS-SEM-b0c3e8d05d0ca672247a3496	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-b0c3e8d05d0ca672247a3496.json	EJECUTADA_CON_RESULTADO	0	8	Abrir codebooks por ola y localizar indicador temporal, conducta financiera y llave individual longitudinal.	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.	Se abrió al menos un objeto de datos/documentación y se registró su estructura literal; el juicio semántico permanece separado.
REL-48285fd8e0a22a38147245ed	BUSQUEDA_DIRIGIDA	CSES	TOBS-SEM-77de625bce04437aa9bdd3d4	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-77de625bce04437aa9bdd3d4.json	NO_ALCANZO_TRAS_INTENTOS	2	2	Abrir codebook y payload canónico CSES México 2018; buscar literalmente variables de trámite/gobierno digital y documentar el universo revisado.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	Los intentos reales terminaron sin HTTP 2xx; continuar solo con acceso alternativo autorizado o localizador corregido.
REL-4945113fd8870341191221b6	BUSQUEDA_DIRIGIDA	INE	TOBS-SEM-d76f868cb61054be3ce40de8	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-d76f868cb61054be3ce40de8.json	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	0	1	Precisar producto.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	Se abrió la fuente/referencia, pero no un objeto que cierre literalmente la acción individual; usar la receta y frontera registradas.
REL-4b4d25bbe2c702aed1884440	CURADURIA_FUENTE	ENOE	TOBS-SEM-c79825713f34236b086d0337	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-c79825713f34236b086d0337.json	EJECUTADA_CON_RESULTADO	0	7	Buscar de forma dirigida en diccionarios ENOE una variable explícita del constructo; si no existe, delimitar ausencia por módulos revisados.	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.	Se abrió al menos un objeto de datos/documentación y se registró su estructura literal; el juicio semántico permanece separado.
REL-4fd0d54316a62b4b5c7a0048	BUSQUEDA_DIRIGIDA	GPS	TOBS-SEM-8ae9eed4130cf052f6a2dc7a	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-8ae9eed4130cf052f6a2dc7a.json	REQUIERE_DECISION_HUMANA	2	1	Obtener autorización de licencia y abrir codebook/archivo México; localizar el par reactivo–desenlace exacto.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	La acción exige autorización/licencia y no apareció un objeto descargable abierto en los intentos permitidos.
REL-50e6d069fd121a8a7cd64fc5	CURADURIA_FUENTE	ENFIH	TOBS-SEM-64964bf750dc697de788f9df	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-64964bf750dc697de788f9df.json	EJECUTADA_CON_RESULTADO	0	7	Abrir el diccionario ENFIH y construir una tabla variable×constructo×desenlace para esta necesidad; verificar coobservación por llave de persona.	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.	Se abrió al menos un objeto de datos/documentación y se registró su estructura literal; el juicio semántico permanece separado.
REL-51392f82de7f4c77d1bb75c1	CURADURIA_FUENTE	ENBIARE	TOBS-SEM-f213b050b725622998750324	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-f213b050b725622998750324.json	EJECUTADA_CON_RESULTADO	0	7	Abrir cuestionario/diccionario ENBIARE y localizar texto, codificación y llave del reactivo junto con el desenlace requerido.	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.	Se abrió al menos un objeto de datos/documentación y se registró su estructura literal; el juicio semántico permanece separado.
REL-523fe941f36eef5710d093ee	CURADURIA_FUENTE	SIN_CANDIDATO_IDENTIFICADO	TOBS-SEM-a9edca79cbbcf8cfad02064f	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-a9edca79cbbcf8cfad02064f.json	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	0	4	Requiere futura búsqueda dirigida autorizada.	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.	Se abrió la fuente/referencia, pero no un objeto que cierre literalmente la acción individual; usar la receta y frontera registradas.
REL-57df012cdba3e281563c1068	BUSQUEDA_DIRIGIDA	WVS	TOBS-SEM-73762680650393d6318e0fc7	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-73762680650393d6318e0fc7.json	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	0	1	Abrir cuestionario y codebook Wave 7 México; localizar reactivo, codificación y desenlace coobservado.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	Se abrió la fuente/referencia, pero no un objeto que cierre literalmente la acción individual; usar la receta y frontera registradas.
REL-5fc50aa3d056d5b63f4e18df	BUSQUEDA_DIRIGIDA	OECD	TOBS-SEM-918e2e1c7a883fc1511d7cb1	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-918e2e1c7a883fc1511d7cb1.json	NO_ALCANZO_TRAS_INTENTOS	2	1	Abrir cuestionario/tabla.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	Los intentos reales terminaron sin HTTP 2xx; continuar solo con acceso alternativo autorizado o localizador corregido.
REL-60e9df4e4ea6f51ca6e4ddc0	CURADURIA_FUENTE	ENCIG	TOBS-SEM-5dd856c07993ba83027a0a02	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-5dd856c07993ba83027a0a02.json	EJECUTADA_CON_RESULTADO	0	7	Abrir diccionario/cuestionario ENCIG local y registrar variables, tabla, llave de unión y universo aplicable a esta necesidad.	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.	Se abrió al menos un objeto de datos/documentación y se registró su estructura literal; el juicio semántico permanece separado.
REL-62c97ccb92d0e95c8120d776	BUSQUEDA_DIRIGIDA	ISSP	TOBS-SEM-36e732ff898e0056c2afff36	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-36e732ff898e0056c2afff36.json	EJECUTADA_CON_RESULTADO	2	1	Abrir módulo exacto.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	Se abrió al menos un objeto de datos/documentación y se registró su estructura literal; el juicio semántico permanece separado.
REL-63835b1a27c62356495d6104	BUSQUEDA_DIRIGIDA	ENCUESTA_ANUAL_DE_COMPETENCIAS_FINANCIERAS_DE_LA_POBLACION	TOBS-SEM-da477e71608689e463ddf79b	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-da477e71608689e463ddf79b.json	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	2	1	Abrir manual y microdato del año objetivo; verificar texto, codificación, comparabilidad y desenlace coobservado.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	Se abrió la fuente/referencia, pero no un objeto que cierre literalmente la acción individual; usar la receta y frontera registradas.
REL-641a2435b0e68b2049b73d72	CURADURIA_FUENTE	ENSAFI	TOBS-SEM-d3ea14e2ea500ec0e97250e2	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-d3ea14e2ea500ec0e97250e2.json	EJECUTADA_CON_RESULTADO	0	6	Obtener diccionario oficial y desenlace conjunto.	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.	Se abrió al menos un objeto de datos/documentación y se registró su estructura literal; el juicio semántico permanece separado.
REL-655887a6745e8a139387cc90	BUSQUEDA_DIRIGIDA	GPS	TOBS-SEM-56558d4355e63c4579b58939	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-56558d4355e63c4579b58939.json	REQUIERE_DECISION_HUMANA	2	1	Obtener autorización de licencia y abrir codebook/archivo México; localizar el par reactivo–desenlace exacto.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	La acción exige autorización/licencia y no apareció un objeto descargable abierto en los intentos permitidos.
REL-6b52ae9ea4b72a9f27f01260	CURADURIA_FUENTE	ENFIH	TOBS-SEM-3669535243e9ee318df0502f	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-3669535243e9ee318df0502f.json	EJECUTADA_CON_RESULTADO	0	7	Abrir el diccionario ENFIH y construir una tabla variable×constructo×desenlace para esta necesidad; verificar coobservación por llave de persona.	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.	Se abrió al menos un objeto de datos/documentación y se registró su estructura literal; el juicio semántico permanece separado.
REL-6b71873b3adacde57117ad99	BUSQUEDA_DIRIGIDA	ISSP	TOBS-SEM-18fb14c88e975967dd37fe89	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-18fb14c88e975967dd37fe89.json	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	2	1	Buscar reactivo literal.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	Se abrió la fuente/referencia, pero no un objeto que cierre literalmente la acción individual; usar la receta y frontera registradas.
REL-6c15fdac77dea33175ef25c5	BUSQUEDA_DIRIGIDA	BASE_DE_EVENTOS_DE_PROTESTA_EN_MEXICO	TOBS-SEM-c0927d0bea2dd6d259ba948c	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-c0927d0bea2dd6d259ba948c.json	REQUIERE_DECISION_HUMANA	0	1	Solicitar acceso puntual a la base y codebook; verificar fecha, actor, demanda, respuesta y geografía.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	La acción exige autorización/licencia y no apareció un objeto descargable abierto en los intentos permitidos.
REL-6c97fe0c5cb528557054a838	BUSQUEDA_DIRIGIDA	MICROCREDIT_IMPACTS_RANDOMIZED_MICROCREDIT_PROGRAM_PLACEMENT_EXP	TOBS-SEM-7baf662ad8ba364c5ad5f3f8	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-7baf662ad8ba364c5ad5f3f8.json	NO_ALCANZO_TRAS_INTENTOS	2	1	Abrir codebook OpenICPSR y buscar el reactivo exacto de sensibilidad de estatus; no inferirlo desde gasto o bienestar.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	Los intentos reales terminaron sin HTTP 2xx; continuar solo con acceso alternativo autorizado o localizador corregido.
REL-6cd9055fa1486b7f8c8c5efa	CURADURIA_FUENTE	FABLE	TOBS-SEM-dcdbf02c7a18e231c556dca2	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-dcdbf02c7a18e231c556dca2.json	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	0	4	Identificar instrumento exacto.	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.	Se abrió la fuente/referencia, pero no un objeto que cierre literalmente la acción individual; usar la receta y frontera registradas.
REL-6e785044dd97d2658a495bb2	BUSQUEDA_DIRIGIDA	UCDP	TOBS-SEM-0e6bc94a16c16135d25ea664	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-0e6bc94a16c16135d25ea664.json	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	2	1	Abrir codebook.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	Se abrió la fuente/referencia, pero no un objeto que cierre literalmente la acción individual; usar la receta y frontera registradas.
REL-6ebc288cb21990e446f70262	CURADURIA_FUENTE	PUB	TOBS-SEM-922b2e9c3384d6466cc42f93	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-922b2e9c3384d6466cc42f93.json	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	0	4	Localizar el payload oficial concreto del padrón y abrir diccionario/llaves antes de evaluar el vínculo causal o de participación.	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.	Se abrió la fuente/referencia, pero no un objeto que cierre literalmente la acción individual; usar la receta y frontera registradas.
REL-6f1cef5066c5478632ac5045	CURADURIA_FUENTE	IMSS	TOBS-SEM-2e89e6e8039851500644f86c	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-2e89e6e8039851500644f86c.json	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	0	4	Resolver a un payload canónico local y abrir tabla/diccionario con unidad, periodo y variables de exposición y desenlace.	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.	Se abrió la fuente/referencia, pero no un objeto que cierre literalmente la acción individual; usar la receta y frontera registradas.
REL-71d03c31e21a53076736dfd0	BUSQUEDA_DIRIGIDA	INTERACTING_AS_EQUALS_REDUCES_PARTISAN_POLARIZATION_IN_MEXICO	TOBS-SEM-2afc594c6bbdaabe79c4052b	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-2afc594c6bbdaabe79c4052b.json	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	2	2	Abrir materiales suplementarios del estudio y localizar variable, tratamiento, resultado y muestra mexicanos pertinentes.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	Se abrió la fuente/referencia, pero no un objeto que cierre literalmente la acción individual; usar la receta y frontera registradas.
REL-72ff714a3ba6d0bab952e05f	BUSQUEDA_DIRIGIDA	ISSP	TOBS-SEM-ce89bad5829d87356038337d	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-ce89bad5829d87356038337d.json	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	0	1	Obtener codebook México 2017.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	Se abrió la fuente/referencia, pero no un objeto que cierre literalmente la acción individual; usar la receta y frontera registradas.
REL-75b2ff53a19d8058eba2dbb7	BUSQUEDA_DIRIGIDA	ISSP	TOBS-SEM-0cc2dcc09a88442d3ed6f491	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-0cc2dcc09a88442d3ed6f491.json	EJECUTADA_CON_RESULTADO	2	1	Abrir módulo exacto.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	Se abrió al menos un objeto de datos/documentación y se registró su estructura literal; el juicio semántico permanece separado.
REL-75c66af2edc4b79afcb439c3	BUSQUEDA_DIRIGIDA	GPS	TOBS-SEM-8efebc75fe46505e8dd50018	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-8efebc75fe46505e8dd50018.json	REQUIERE_DECISION_HUMANA	2	1	Obtener autorización de licencia y abrir codebook/archivo México; localizar el par reactivo–desenlace exacto.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	La acción exige autorización/licencia y no apareció un objeto descargable abierto en los intentos permitidos.
REL-75de72336ada4a506a3b5476	CURADURIA_FUENTE	BIARE	TOBS-SEM-96ba340533699c6b8c558b4e	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-96ba340533699c6b8c558b4e.json	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	0	5	Resolver BIARE/ENBIARE.	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.	Se abrió la fuente/referencia, pero no un objeto que cierre literalmente la acción individual; usar la receta y frontera registradas.
REL-7751c832c7e30e4e4d7603cc	BUSQUEDA_DIRIGIDA	ISSP	TOBS-SEM-6669ced48b6249621696bc81	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-6669ced48b6249621696bc81.json	NO_ALCANZO_TRAS_INTENTOS	2	1	Resolver edición.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	Los intentos reales terminaron sin HTTP 2xx; continuar solo con acceso alternativo autorizado o localizador corregido.
REL-781037a17e27bb2b93e13a63	CURADURIA_FUENTE	RELLABORALES	TOBS-SEM-fd3581cd746da1a56f77ab34	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-fd3581cd746da1a56f77ab34.json	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	0	4	Resolver a un payload canónico local y abrir tabla/diccionario con unidad, periodo y variables de exposición y desenlace.	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.	Se abrió la fuente/referencia, pero no un objeto que cierre literalmente la acción individual; usar la receta y frontera registradas.
REL-7a38c275915e890903752598	BUSQUEDA_DIRIGIDA	SERIES_SPEI_CODI_BANXICO	TOBS-SEM-1fc6d358ccb7f33668a1e983	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-1fc6d358ccb7f33668a1e983.json	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	0	1	Abrir Informe Anual o catálogo SIE, registrar idSerie/idCuadro y extraer series comparables CoDi/SPEI.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	Se abrió la fuente/referencia, pero no un objeto que cierre literalmente la acción individual; usar la receta y frontera registradas.
REL-7c92eca186a227ee718864e6	CURADURIA_FUENTE	ENSAFI	TOBS-SEM-b845751646740957b69ed664	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-b845751646740957b69ed664.json	EJECUTADA_CON_RESULTADO	0	6	Obtener diccionario y verificar outcome antes de adjudicar.	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.	Se abrió al menos un objeto de datos/documentación y se registró su estructura literal; el juicio semántico permanece separado.
REL-7da283a75f336e409f2ff88d	BUSQUEDA_DIRIGIDA	LAPOP	TOBS-SEM-c93a0ca2e9bcfbbc93712da0	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-c93a0ca2e9bcfbbc93712da0.json	EJECUTADA_CON_RESULTADO	0	3	Identificar reactivos antes de solicitar datos.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	Se abrió al menos un objeto de datos/documentación y se registró su estructura literal; el juicio semántico permanece separado.
REL-7feec534a72e40bdf9b6b393	BUSQUEDA_DIRIGIDA	PI	TOBS-SEM-75f05bc1c3c751ce6898f1db	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-75f05bc1c3c751ce6898f1db.json	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	0	2	Resolver el recurso canónico de PI y abrir la tabla/diccionario específico antes de adjudicar.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	Se abrió la fuente/referencia, pero no un objeto que cierre literalmente la acción individual; usar la receta y frontera registradas.
REL-837d54e76ebe85170870493a	BUSQUEDA_DIRIGIDA	AHORRO FINANCIERO Y FINANCIAMI	TOBS-SEM-97f5b97aaf860cae8ef8d3b3	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-97f5b97aaf860cae8ef8d3b3.json	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	0	2	Abrir tabla específica.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	Se abrió la fuente/referencia, pero no un objeto que cierre literalmente la acción individual; usar la receta y frontera registradas.
REL-845a93bc24990147a394f897	BUSQUEDA_DIRIGIDA	ISSP	TOBS-SEM-52463210d7eeb32c9eee8bbf	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-52463210d7eeb32c9eee8bbf.json	EJECUTADA_CON_RESULTADO	2	1	Abrir codebook.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	Se abrió al menos un objeto de datos/documentación y se registró su estructura literal; el juicio semántico permanece separado.
