"id"	"origen"	"linea"	"linea_fin"	"mapa_id"	"afirmacion"	"tipo"	"dictamen"	"razon_sin_cifra"	"argumento"	"evidencia"	"estado_adopcion"	"vigencia"	"cambio_editorial"
"REL-V009"	"v1"	"9"	"9"	"ASTRA5-U0-RELIG-001;ASTRA5-U0-RELIG-002"	"1. **[FUERTE] El declive católico es real, pero es más una crisis de la Iglesia institucional que de la religiosidad.** El catolicismo pasó de 82.7% (2010) a 77.7% (2020, INEGI). El estudio del Pew Research Center ""Catholicism Has Declined in Latin America Over the Past Decade"" (Lesage et al., 21 de enero de 2026) sitúa a los católicos adultos mexicanos en 67%, mientras que la creencia en Dios permanece en ""alrededor de nueve de cada diez o más adultos"". Lo que se erosiona es la pertenencia institucional, no el creer."	"UNIDAD-MATERIAL-V1"	"MATIZA"	""	"REL-M001: El cuadro primario INEGI publica ambos puntos con universo población total; confirma descenso descriptivo, no crisis causal institucional ni descreimiento. | REL-M002: La nota de cierre atribuye Pew 2026 a ola reservada 2025; el mapa atribuye campo 2024. No resolver leyendo tabulado. Se excluye su cifra hasta dictamen documental autorizado."	"REL-E1;REL-E2;REL-S10"	"GEN1 histórico; nueva síntesis PROPUESTA-POR-EJECUTOR"	"corte 2c646cba"	"Unidad completa auditada; repeticiones conservan localizador propio"
"REL-V011"	"v1"	"11"	"11"	"ASTRA5-U0-RELIG-004"	"2. **[FUERTE] La identidad nominal ≠ práctica efectiva.** Según ENCREER/RIFREM (2016), solo ~47.8% de los católicos asisten semanalmente y apenas 6.5% diariamente. El nuncio apostólico Franco Coppola lo dijo en una homilía en la ordenación episcopal de Yucatán (julio 2017): ""los católicos los que vienen a la misa son menos del 10 por ciento… ¿y el restante 90 por ciento?… Es muy preocupante"". Un ""católico censal"" puede ser un secularizado no practicante. Este es el hallazgo más malinterpretado del corpus."	"UNIDAD-MATERIAL-V1"	"MATIZA"	""	"REL-M004: La asistencia mensual GEN2 es de todos los adultos válidos, no de católicos semanales. ENCREER requiere verificación del gráfico; no respalda llamar baja a toda práctica."	"GEN2-01;GEN2-04;REL-S6"	"GEN1 histórico; nueva síntesis PROPUESTA-POR-EJECUTOR"	"corte 2c646cba"	"Unidad completa auditada; repeticiones conservan localizador propio"
"REL-V013"	"v1"	"13"	"13"	"ASTRA5-U0-RELIG-005"	"3. **[FUERTE] Los evangélicos/pentecostales exhiben mucho mayor compromiso conductual que los católicos.** El 53.5% de los evangélicos asisten a servicios diariamente frente al 6.5% de los católicos (ENCREER). La diferencia católico-evangélico no es de ""cantidad de fe"" sino de intensidad de práctica y densidad comunitaria."	"UNIDAD-MATERIAL-V1"	"SIN-CIFRA"	"adquisición"	"REL-M005: No se cotejó la tabla ENCREER con la categoría diariamente; no trasladar oración diaria a asistencia diaria ni intensidad a eficacia comunitaria."	"REL-S6"	"GEN1 histórico; nueva síntesis PROPUESTA-POR-EJECUTOR"	"corte 2c646cba"	"Unidad completa auditada; repeticiones conservan localizador propio"
"REL-V015"	"v1"	"15"	"15"	"ASTRA5-U0-RELIG-006"	"4. **[FUERTE] El cambio es fuertemente regional.** Chiapas es el estado menos católico (53.9%) y con más protestantes (32.4%); le siguen Quintana Roo (54.7%), Campeche (60.1%), Baja California (62%) y Tabasco (62.2%). El Bajío sigue ultracatólico: Zacatecas (92.3%), Guanajuato (90.8%), Michoacán (89.3%) y Jalisco (89.2%). No existe ""un México religioso"" sino varios."	"UNIDAD-MATERIAL-V1"	"MATIZA"	""	"REL-M006: La presentación censal Chiapas confirma 53.9 católico y 32.4 protestante/cristiano evangélico. No se cotejaron aquí cifras de todo el Bajío ni superioridad política; dato regional existe, falta RESULT propio."	"REL-E5;REL-E6;REL-S11"	"GEN1 histórico; nueva síntesis PROPUESTA-POR-EJECUTOR"	"corte 2c646cba"	"Unidad completa auditada; repeticiones conservan localizador propio"
"REL-V017"	"v1"	"17"	"17"	"ASTRA5-U0-RELIG-007;ASTRA5-U0-RELIG-008"	"5. **[FUERTE] La secularización es generacional y urbana.** Los ""sin religión"" se concentran en jóvenes de zonas urbanas; siete entidades (Estado de México, CDMX, Baja California, Chiapas, Veracruz, Nuevo León y Chihuahua) reúnen el 51.2% de esta población. El fenómeno ""sin religión"" en México NO significa ateísmo: la mayoría sigue creyendo en Dios (""creer sin pertenecer""). El propio censo creó la categoría ""creyente sin adscripción religiosa"" (3.1 millones), inexistente en 2010."	"UNIDAD-MATERIAL-V1"	"MATIZA"	""	"REL-M007: El cuadro INEGI confirma aumento sin religión 4.7 a 8.1 en población total. Latinobarómetro confirma gradiente adulto etario; concentración absoluta de siete entidades no prueba tasa urbana ni crecimiento de creencia. | REL-M008: El cuadro Chiapas mantiene separado sin adscripción religiosa creyente y sin religión. Confirma distinción de categorías, no total nacional de 3.1 millones ni inexistencia de toda categoría previa."	"GEN2-02;REL-E3;REL-E4;REL-S10;REL-S11"	"GEN1 histórico; nueva síntesis PROPUESTA-POR-EJECUTOR"	"corte 2c646cba"	"Unidad completa auditada; repeticiones conservan localizador propio"
"REL-V019"	"v1"	"19"	"19"	"ASTRA5-U0-RELIG-009"	"6. **[MEDIA] El auge evangélico responde tanto a incentivos racionales como a búsqueda de sentido.** Disciplina, redes de apoyo mutuo, sobriedad, movilidad económica y comunidades densas explican conversiones tanto como la experiencia espiritual. La teología de la prosperidad ofrece un marco de esperanza material en contextos de precariedad."	"UNIDAD-MATERIAL-V1"	"SIN-CIFRA"	"instrumento"	"REL-M009: Pluralidad de incentivos es mecanismo rival, no causa identificada de conversión. Un panel antes/después separaría selección de cambio."	""	"GEN1 histórico; nueva síntesis PROPUESTA-POR-EJECUTOR"	"corte 2c646cba"	"Unidad completa auditada; repeticiones conservan localizador propio"
"REL-V021"	"v1"	"21"	"21"	"ASTRA5-U0-RELIG-012;ASTRA5-U0-RELIG-013;ASTRA5-U0-RELIG-014"	"7. **[FUERTE] La religiosidad popular y las devociones no oficiales son robustas y crecientes.** La Basílica de Guadalupe recibió alrededor de 13 millones de personas entre el 5 y el 12 de diciembre de 2025 (cifra oficial de la Secretaría de Gobierno de la CDMX, Operativo Basílica 2025, que superó los ~12 millones de 2024), consolidándose como el santuario más visitado del mundo; San Judas Tadeo (con afluencias de ~120 mil personas el 28 de octubre de 2024 y expectativas de hasta 200 mil en 2025 en el Templo de San Hipólito, CDMX); y la Santa Muerte operan en gran medida al margen o en tensión con la Iglesia institucional."	"UNIDAD-MATERIAL-V1"	"MATIZA"	""	"REL-M012: Comunicado primario reciente confirma afluencia masiva, no fieles únicos. No se confirmó el cierre de temporada ni ranking mundial y no usar flujo como porcentaje de población. | REL-M013: Una expectativa de operativo no es asistencia observada; cifras San Hipólito no cotejadas en fuente primaria. | REL-M014: Estimación experta sin marco muestral comparable no acredita total, composición ni ranking de crecimiento occidental; se retiran números."	"REL-S5"	"GEN1 histórico; nueva síntesis PROPUESTA-POR-EJECUTOR"	"corte 2c646cba"	"Unidad completa auditada; repeticiones conservan localizador propio"
"REL-V023"	"v1"	"23"	"23"	"ASTRA5-U0-RELIG-032"	"8. **[MEDIA→FUERTE] La religión es un recurso de afrontamiento (coping) medible.** El afrontamiento religioso ""positivo/colaborativo"" se asocia a resiliencia y menor estrés; el ""negativo/delegante"" a peores resultados. Esto tiene implicaciones directas para salud mental y búsqueda de ayuda."	"UNIDAD-MATERIAL-V1"	"MATIZA"	""	"REL-M032: Estudios recientes mexicanos aportan asociación, no efecto clínico. Espiritualidad, religiosidad y coping negativo divergen; delegación no se clasifica disfuncional automáticamente."	"REL-S1;REL-S2;REL-S3;REL-S8"	"GEN1 histórico; nueva síntesis PROPUESTA-POR-EJECUTOR"	"corte 2c646cba"	"Unidad completa auditada; repeticiones conservan localizador propio"
"REL-V025"	"v1"	"25"	"25"	"ASTRA5-U0-RELIG-016"	"9. **[HIPÓTESIS RAZONABLE, bien fundamentada] Fe ≠ fatalismo.** Lo que se etiqueta como ""fatalismo mexicano"" se explica en parte sustancial —posiblemente mayoritaria— por barreras estructurales y baja confianza institucional, no por un rasgo religioso intrínseco. Confundirlos es un error metodológico advertido por la propia literatura latina (Abraído-Lanza et al., 2007)."	"UNIDAD-MATERIAL-V1"	"MATIZA"	""	"REL-M016: Religión y fatalismo son constructos distintos; no hay descomposición que permita atribuir fracción sustancial o mayoritaria a estructura. Se conserva rival estructural como hipótesis."	"REL-S1;REL-S8"	"GEN1 histórico; nueva síntesis PROPUESTA-POR-EJECUTOR"	"corte 2c646cba"	"Unidad completa auditada; repeticiones conservan localizador propio"
"REL-V027"	"v1"	"27"	"27"	"ASTRA5-U0-RELIG-020"	"10. **[FUERTE] La economía festiva es enorme y estacional.** Octavio de la Torre, presidente de Concanaco Servytur, estimó una derrama de 45,318 millones de pesos por Día de Muertos en 2024 (10% más que los 41,198 mdp de 2023). El calendario religioso estructura picos de consumo."	"UNIDAD-MATERIAL-V1"	"SIN-CIFRA"	"adquisición"	"REL-M020: Pronóstico de cámara comercial no es gasto observado ni estimador causal del calendario religioso; faltan método y universo."	""	"GEN1 histórico; nueva síntesis PROPUESTA-POR-EJECUTOR"	"corte 2c646cba"	"Unidad completa auditada; repeticiones conservan localizador propio"
"REL-V029"	"v1"	"29"	"29"	"ASTRA5-U0-RELIG-027"	"11. **[MEDIA] Los evangélicos se organizan políticamente mejor que los católicos.** El Partido Encuentro Social (PES), aliado de Morena en 2018, movilizó ""voto evangélico"" mediante predicadores-activistas, aunque perdió el registro en 2018 y de nuevo en 2021."	"UNIDAD-MATERIAL-V1"	"SIN-CIFRA"	"adquisición"	"REL-M027: Pérdida de registro y alianza partidaria no prueban movilización de votantes religiosos; falta fuente INE y evaluación de voto."	""	"GEN1 histórico; nueva síntesis PROPUESTA-POR-EJECUTOR"	"corte 2c646cba"	"Unidad completa auditada; repeticiones conservan localizador propio"
"REL-V031"	"v1"	"31"	"31"	"ASTRA5-U0-RELIG-022;ASTRA5-U0-RELIG-023"	"12. **[FUERTE] Lo distintivamente mexicano frente a Brasil.** México retiene mayoría católica absoluta y baja tasa de switching (12%, de las más bajas de la región). Brasil, según el Censo IBGE 2022 (divulgado en junio de 2025), tiene 26.9% de evangélicos (47.4 millones) frente a 56.7% de católicos, y una bancada evangélica poderosa. El guadalupanismo y la fuerte laicidad juarista/1917 son rasgos específicamente mexicanos."	"UNIDAD-MATERIAL-V1"	"MATIZA"	""	"REL-M022: IBGE publica religión de diez años o más, no población total ni adultos México; sólo contraste institucional cualitativo sin brecha numérica armonizada. | REL-M023: Tasa switching histórica no cotejada; composición actual no acredita baja transición individual ni estabilidad futura."	"REL-S4"	"GEN1 histórico; nueva síntesis PROPUESTA-POR-EJECUTOR"	"corte 2c646cba"	"Unidad completa auditada; repeticiones conservan localizador propio"
"REL-V033"	"v1"	"33"	"33"	"ASTRA5-U0-RELIG-028"	"13. **[MEDIA] El marianismo/guadalupanismo estructura scripts de género y moral.** La Virgen de Guadalupe funciona como símbolo identitario nacional que trasciende la práctica religiosa, pero ""el guadalupanismo une a todos"" es una sobreinterpretación: evangélicos y ""sin religión"" no participan."	"UNIDAD-MATERIAL-V1"	"MATIZA"	""	"REL-M028: Símbolo plural no garantiza unanimidad; tampoco todas las personas sin religión rechazan Guadalupe. Scripts de género requieren evidencia individual y contextual."	""	"GEN1 histórico; nueva síntesis PROPUESTA-POR-EJECUTOR"	"corte 2c646cba"	"Unidad completa auditada; repeticiones conservan localizador propio"
"REL-V035"	"v1"	"35"	"35"	"ASTRA5-U0-RELIG-014;ASTRA5-U0-RELIG-015"	"14. **[FUERTE, advertencia] La Santa Muerte NO es ""solo del narco"".** Es el movimiento religioso de más rápido crecimiento en Occidente; sus devotos son mayoritariamente pobres urbanos, mujeres y trabajadores precarios. Criminalizar la devoción es un error analítico y ético."	"UNIDAD-MATERIAL-V1"	"MATIZA"	""	"REL-M014: Estimación experta sin marco muestral comparable no acredita total, composición ni ranking de crecimiento occidental; se retiran números. | REL-M015: No estigmatizar es criterio de trato; el cuantificador mayoritariamente necesita muestra representativa. Diversidad de devotos no prueba su composición nacional."	""	"GEN1 histórico; nueva síntesis PROPUESTA-POR-EJECUTOR"	"corte 2c646cba"	"Unidad completa auditada; repeticiones conservan localizador propio"
"REL-V037"	"v1"	"37"	"37"	"ASTRA5-U0-RELIG-029"	"15. **[MEDIA] La individualización religiosa (""religión a la carta"") es transversal.** Incluso católicos practicantes combinan misa con limpias, curanderos, energías y New Age (12.9% de los católicos ENCREER acude a limpias, curanderos, brujos, santeros o chamanes), lo que confirma un sincretismo continuo, no una ortodoxia."	"UNIDAD-MATERIAL-V1"	"MATIZA"	""	"REL-M029: RIFREM pregunta limpias y otras prácticas por grupo; proporción exacta y sincretismo longitudinal no cotejados. No usar diversidad de prácticas como crecimiento."	"REL-S7"	"GEN1 histórico; nueva síntesis PROPUESTA-POR-EJECUTOR"	"corte 2c646cba"	"Unidad completa auditada; repeticiones conservan localizador propio"
"REL-V045"	"v1"	"45"	"45"	"ASTRA5-U0-RELIG-030"	"Para convertir la religiosidad en variable explicativa se necesitan herramientas conceptuales que eviten importar acríticamente la teoría europea de la secularización."	"UNIDAD-MATERIAL-V1"	"MATIZA"	""	"REL-M030: Marcos creer/pertenecer/practicar organizan medición, no leyes universales. Religiosidad y espiritualidad se separan empíricamente y secularización no tiene una única trayectoria."	"GEN2-01;REL-S1"	"GEN1 histórico; nueva síntesis PROPUESTA-POR-EJECUTOR"	"corte 2c646cba"	"Unidad completa auditada; repeticiones conservan localizador propio"
"REL-V047"	"v1"	"47"	"47"	"ASTRA5-U0-RELIG-024;ASTRA5-U0-RELIG-030"	"**Secularización, revisitada.** La teoría clásica europea (Berger temprano, Bruce) postulaba que modernización = declive inevitable de la religión. El caso latinoamericano la refuta parcialmente: hay desinstitucionalización sin descreimiento. El propio Peter Berger revisó su tesis hacia la ""desecularización"". Para México, Roberto Blancarte define la laicidad no como ausencia de religión sino como ""la transición entre una legitimidad otorgada por lo sagrado a una forma de autoridad proveniente del pueblo"": un proceso, no un estado. México es un caso de **secularización de las instituciones (laicidad) coexistiendo con alta religiosidad popular.**"	"UNIDAD-MATERIAL-V1"	"MATIZA"	""	"REL-M024: Historia de laicidad sirve como marco, no experimento identificador del refugio doméstico; faltan series regionales sobre oferta clerical/práctica. | REL-M030: Marcos creer/pertenecer/practicar organizan medición, no leyes universales. Religiosidad y espiritualidad se separan empíricamente y secularización no tiene una única trayectoria."	"GEN2-01;REL-S1"	"GEN1 histórico; nueva síntesis PROPUESTA-POR-EJECUTOR"	"corte 2c646cba"	"Unidad completa auditada; repeticiones conservan localizador propio"
"REL-V049"	"v1"	"49"	"49"	"ASTRA5-U0-RELIG-031"	"**Un dato estructural clave (Blancarte).** México ""siempre ha padecido de una endémica escasez de sacerdotes"" —aproximadamente uno por cada 6,000 habitantes— lo que históricamente produjo ""ese catolicismo popular… con la ausencia real de un liderazgo religioso de tipo burocrático"". La debilidad institucional del clero es causa estructural de la fuerza de la religiosidad popular: donde no llega la Iglesia, florecen el santo, el altar doméstico y la costumbre."	"UNIDAD-MATERIAL-V1"	"SIN-CIFRA"	"adquisición"	"REL-M031: Razón sacerdotes/habitante requiere fecha y registro; una densidad nacional no identifica oferta local ni causa del catolicismo popular."	""	"GEN1 histórico; nueva síntesis PROPUESTA-POR-EJECUTOR"	"corte 2c646cba"	"Unidad completa auditada; repeticiones conservan localizador propio"
"REL-V051"	"v1"	"51"	"51"	"ASTRA5-U0-RELIG-030"	"**Distinción creer–pertenecer–practicar (Davie, Hervieu-Léger).** ""Creer sin pertenecer"" (believing without belonging) capta el patrón mexicano de jóvenes que creen en Dios pero rechazan la Iglesia. Es la clave para leer la categoría censal ""sin religión"", que en México incluye a millones de ""creyentes sin adscripción"". RIFREM ha adoptado este marco (Renée de la Torre cita explícitamente a Grace Davie)."	"UNIDAD-MATERIAL-V1"	"MATIZA"	""	"REL-M030: Marcos creer/pertenecer/practicar organizan medición, no leyes universales. Religiosidad y espiritualidad se separan empíricamente y secularización no tiene una única trayectoria."	"GEN2-01;REL-S1"	"GEN1 histórico; nueva síntesis PROPUESTA-POR-EJECUTOR"	"corte 2c646cba"	"Unidad completa auditada; repeticiones conservan localizador propio"
"REL-V053"	"v1"	"53"	"53"	"ASTRA5-U0-RELIG-009;ASTRA5-U0-RELIG-030"	"**Mercado religioso / elección racional (Stark, Finke; aplicado por Chesnut).** La pluralización religiosa se lee como competencia en un ""mercado"" donde pentecostalismo, Renovación Carismática Católica, religiones afrodiaspóricas y devociones populares compiten por fieles. Andrew Chesnut aplicó este marco a América Latina en *Competitive Spirits: Latin America's New Religious Economy* (2003)."	"UNIDAD-MATERIAL-V1"	"MATIZA"	""	"REL-M009: Pluralidad de incentivos es mecanismo rival, no causa identificada de conversión. Un panel antes/después separaría selección de cambio. | REL-M030: Marcos creer/pertenecer/practicar organizan medición, no leyes universales. Religiosidad y espiritualidad se separan empíricamente y secularización no tiene una única trayectoria."	"GEN2-01;REL-S1"	"GEN1 histórico; nueva síntesis PROPUESTA-POR-EJECUTOR"	"corte 2c646cba"	"Unidad completa auditada; repeticiones conservan localizador propio"
"REL-V055"	"v1"	"55"	"55"	"ASTRA5-U0-RELIG-030"	"**Religión vivida (lived religion; Renée de la Torre, Cristina Gutiérrez Zúñiga).** Desplaza el foco de la doctrina institucional a la práctica cotidiana: altares domésticos, exvotos, peregrinaciones, marcas urbanas. De la Torre estudia ""lo religioso no como institución sino como forma de significación que atraviesa lo cotidiano, lo simbólico y lo emocional""."	"UNIDAD-MATERIAL-V1"	"MATIZA"	""	"REL-M030: Marcos creer/pertenecer/practicar organizan medición, no leyes universales. Religiosidad y espiritualidad se separan empíricamente y secularización no tiene una única trayectoria."	"GEN2-01;REL-S1"	"GEN1 histórico; nueva síntesis PROPUESTA-POR-EJECUTOR"	"corte 2c646cba"	"Unidad completa auditada; repeticiones conservan localizador propio"
"REL-V057"	"v1"	"57"	"57"	"ASTRA5-U0-RELIG-030;ASTRA5-U0-RELIG-032"	"**Afrontamiento religioso (Pargament).** Tres estilos: colaborativo (partnership con Dios, asociado a control interno alto y autoestima alta), delegante/deferido (locus de control externo divino, que Pargament et al. (1988) describen como el ""estilo disfuncional"") y autodirigido. Esta tipología permite separar fe de fatalismo empíricamente."	"UNIDAD-MATERIAL-V1"	"MATIZA"	""	"REL-M030: Marcos creer/pertenecer/practicar organizan medición, no leyes universales. Religiosidad y espiritualidad se separan empíricamente y secularización no tiene una única trayectoria. | REL-M032: Estudios recientes mexicanos aportan asociación, no efecto clínico. Espiritualidad, religiosidad y coping negativo divergen; delegación no se clasifica disfuncional automáticamente."	"GEN2-01;REL-S1;REL-S2;REL-S3;REL-S8"	"GEN1 histórico; nueva síntesis PROPUESTA-POR-EJECUTOR"	"corte 2c646cba"	"Unidad completa auditada; repeticiones conservan localizador propio"
"REL-V063"	"v1"	"63"	"63"	"ASTRA5-U0-RELIG-001"	"**EVIDENCIA FUERTE:**"	"UNIDAD-MATERIAL-V1"	"CONFIRMA"	""	"REL-M001: El cuadro primario INEGI publica ambos puntos con universo población total; confirma descenso descriptivo, no crisis causal institucional ni descreimiento."	"REL-E1;REL-E2;REL-S10"	"GEN1 histórico; nueva síntesis PROPUESTA-POR-EJECUTOR"	"corte 2c646cba"	"Unidad completa auditada; repeticiones conservan localizador propio"
"REL-V064"	"v1"	"64"	"64"	"ASTRA5-U0-RELIG-006"	"- Serie temporal censal del declive católico (INEGI 1895-2020)."	"UNIDAD-MATERIAL-V1"	"MATIZA"	""	"REL-M006: La presentación censal Chiapas confirma 53.9 católico y 32.4 protestante/cristiano evangélico. No se cotejaron aquí cifras de todo el Bajío ni superioridad política; dato regional existe, falta RESULT propio."	"REL-E5;REL-E6;REL-S11"	"GEN1 histórico; nueva síntesis PROPUESTA-POR-EJECUTOR"	"corte 2c646cba"	"Unidad completa auditada; repeticiones conservan localizador propio"
"REL-V065"	"v1"	"65"	"65"	"ASTRA5-U0-RELIG-004;ASTRA5-U0-RELIG-005"	"- Distribución regional (Chiapas vs. Bajío)."	"UNIDAD-MATERIAL-V1"	"MATIZA"	""	"REL-M004: La asistencia mensual GEN2 es de todos los adultos válidos, no de católicos semanales. ENCREER requiere verificación del gráfico; no respalda llamar baja a toda práctica. | REL-M005: No se cotejó la tabla ENCREER con la categoría diariamente; no trasladar oración diaria a asistencia diaria ni intensidad a eficacia comunitaria."	"GEN2-01;GEN2-04;REL-S6"	"GEN1 histórico; nueva síntesis PROPUESTA-POR-EJECUTOR"	"corte 2c646cba"	"Unidad completa auditada; repeticiones conservan localizador propio"
"REL-V066"	"v1"	"66"	"66"	"ASTRA5-U0-RELIG-007"	"- Brecha de práctica católico/evangélico (ENCREER 2016)."	"UNIDAD-MATERIAL-V1"	"MATIZA"	""	"REL-M007: El cuadro INEGI confirma aumento sin religión 4.7 a 8.1 en población total. Latinobarómetro confirma gradiente adulto etario; concentración absoluta de siete entidades no prueba tasa urbana ni crecimiento de creencia."	"GEN2-02;REL-E3;REL-E4;REL-S10"	"GEN1 histórico; nueva síntesis PROPUESTA-POR-EJECUTOR"	"corte 2c646cba"	"Unidad completa auditada; repeticiones conservan localizador propio"
"REL-V067"	"v1"	"67"	"67"	"ASTRA5-U0-RELIG-012"	"- Crecimiento de ""sin religión"" generacional/urbano."	"UNIDAD-MATERIAL-V1"	"MATIZA"	""	"REL-M012: Comunicado primario reciente confirma afluencia masiva, no fieles únicos. No se confirmó el cierre de temporada ni ranking mundial y no usar flujo como porcentaje de población."	"REL-S5"	"GEN1 histórico; nueva síntesis PROPUESTA-POR-EJECUTOR"	"corte 2c646cba"	"Unidad completa auditada; repeticiones conservan localizador propio"
"REL-V068"	"v1"	"68"	"68"	"ASTRA5-U0-RELIG-020;ASTRA5-U0-RELIG-021"	"- Guadalupanismo masivo (cifras oficiales de peregrinación a la Basílica)."	"UNIDAD-MATERIAL-V1"	"SIN-CIFRA"	"adquisición"	"REL-M020: Pronóstico de cámara comercial no es gasto observado ni estimador causal del calendario religioso; faltan método y universo. | REL-M021: Estimación turística tiene otra unidad y cobertura que comercio; se excluye y no suma derramas."	""	"GEN1 histórico; nueva síntesis PROPUESTA-POR-EJECUTOR"	"corte 2c646cba"	"Unidad completa auditada; repeticiones conservan localizador propio"
"REL-V069"	"v1"	"69"	"69"	"ASTRA5-U0-RELIG-022"	"- Derrama económica festiva (Concanaco/Sectur)."	"UNIDAD-MATERIAL-V1"	"MATIZA"	""	"REL-M022: IBGE publica religión de diez años o más, no población total ni adultos México; sólo contraste institucional cualitativo sin brecha numérica armonizada."	"REL-S4"	"GEN1 histórico; nueva síntesis PROPUESTA-POR-EJECUTOR"	"corte 2c646cba"	"Unidad completa auditada; repeticiones conservan localizador propio"
"REL-V070"	"v1"	"70"	"70"	"ASTRA5-U0-RELIG-011"	"- Comparación con Brasil (Censo IBGE 2022) y con la región (Pew 2026)."	"UNIDAD-MATERIAL-V1"	"SIN-CIFRA"	"adquisición"	"REL-M011: Expulsiones requieren registro con ventana y unidad; tampoco prueba secuencia causal religiosa-económica para toda comunidad."	""	"GEN1 histórico; nueva síntesis PROPUESTA-POR-EJECUTOR"	"corte 2c646cba"	"Unidad completa auditada; repeticiones conservan localizador propio"
"REL-V071"	"v1"	"71"	"71"	"ASTRA5-U0-RELIG-011"	"- Expulsiones de Chiapas y sistema de cargos."	"UNIDAD-MATERIAL-V1"	"SIN-CIFRA"	"adquisición"	"REL-M011: Expulsiones requieren registro con ventana y unidad; tampoco prueba secuencia causal religiosa-económica para toda comunidad."	""	"GEN1 histórico; nueva síntesis PROPUESTA-POR-EJECUTOR"	"corte 2c646cba"	"Unidad completa auditada; repeticiones conservan localizador propio"
"REL-V073"	"v1"	"73"	"73"	"ASTRA5-U0-RELIG-030"	"**EVIDENCIA MEDIA:**"	"UNIDAD-MATERIAL-V1"	"MATIZA"	""	"REL-M030: Marcos creer/pertenecer/practicar organizan medición, no leyes universales. Religiosidad y espiritualidad se separan empíricamente y secularización no tiene una única trayectoria."	"GEN2-01;REL-S1"	"GEN1 histórico; nueva síntesis PROPUESTA-POR-EJECUTOR"	"corte 2c646cba"	"Unidad completa auditada; repeticiones conservan localizador propio"
"REL-V074"	"v1"	"74"	"74"	"ASTRA5-U0-RELIG-009"	"- Drivers de conversión evangélica (mezcla de racional y espiritual)."	"UNIDAD-MATERIAL-V1"	"SIN-CIFRA"	"instrumento"	"REL-M009: Pluralidad de incentivos es mecanismo rival, no causa identificada de conversión. Un panel antes/después separaría selección de cambio."	""	"GEN1 histórico; nueva síntesis PROPUESTA-POR-EJECUTOR"	"corte 2c646cba"	"Unidad completa auditada; repeticiones conservan localizador propio"
"REL-V075"	"v1"	"75"	"75"	"ASTRA5-U0-RELIG-032"	"- Afrontamiento religioso como recurso de salud mental (estudios mexicanos existen, con muestras acotadas)."	"UNIDAD-MATERIAL-V1"	"MATIZA"	""	"REL-M032: Estudios recientes mexicanos aportan asociación, no efecto clínico. Espiritualidad, religiosidad y coping negativo divergen; delegación no se clasifica disfuncional automáticamente."	"REL-S1;REL-S2;REL-S3;REL-S8"	"GEN1 histórico; nueva síntesis PROPUESTA-POR-EJECUTOR"	"corte 2c646cba"	"Unidad completa auditada; repeticiones conservan localizador propio"
"REL-V076"	"v1"	"76"	"76"	"ASTRA5-U0-RELIG-027"	"- Organización política evangélica (PES/Morena)."	"UNIDAD-MATERIAL-V1"	"SIN-CIFRA"	"adquisición"	"REL-M027: Pérdida de registro y alianza partidaria no prueban movilización de votantes religiosos; falta fuente INE y evaluación de voto."	""	"GEN1 histórico; nueva síntesis PROPUESTA-POR-EJECUTOR"	"corte 2c646cba"	"Unidad completa auditada; repeticiones conservan localizador propio"
"REL-V077"	"v1"	"77"	"77"	"ASTRA5-U0-RELIG-010"	"- Migración como catalizador de conversión."	"UNIDAD-MATERIAL-V1"	"SIN-CIFRA"	"adquisición"	"REL-M010: Estudio de congregaciones mixtecas no recuperado completo; temporalidad posterior a emigrar no identifica efecto migratorio ni representa a todos los migrantes."	""	"GEN1 histórico; nueva síntesis PROPUESTA-POR-EJECUTOR"	"corte 2c646cba"	"Unidad completa auditada; repeticiones conservan localizador propio"
"REL-V079"	"v1"	"79"	"79"	"ASTRA5-U0-RELIG-030"	"**HIPÓTESIS RAZONABLE:**"	"UNIDAD-MATERIAL-V1"	"MATIZA"	""	"REL-M030: Marcos creer/pertenecer/practicar organizan medición, no leyes universales. Religiosidad y espiritualidad se separan empíricamente y secularización no tiene una única trayectoria."	"GEN2-01;REL-S1"	"GEN1 histórico; nueva síntesis PROPUESTA-POR-EJECUTOR"	"corte 2c646cba"	"Unidad completa auditada; repeticiones conservan localizador propio"
"REL-V080"	"v1"	"80"	"80"	"ASTRA5-U0-RELIG-016"	"- Fe ≠ fatalismo (bien fundamentada, no consenso cerrado)."	"UNIDAD-MATERIAL-V1"	"MATIZA"	""	"REL-M016: Religión y fatalismo son constructos distintos; no hay descomposición que permita atribuir fracción sustancial o mayoritaria a estructura. Se conserva rival estructural como hipótesis."	"REL-S1;REL-S8"	"GEN1 histórico; nueva síntesis PROPUESTA-POR-EJECUTOR"	"corte 2c646cba"	"Unidad completa auditada; repeticiones conservan localizador propio"
"REL-V081"	"v1"	"81"	"81"	"ASTRA5-U0-RELIG-016"	"- Teología de la prosperidad como respuesta a la precariedad."	"UNIDAD-MATERIAL-V1"	"MATIZA"	""	"REL-M016: Religión y fatalismo son constructos distintos; no hay descomposición que permita atribuir fracción sustancial o mayoritaria a estructura. Se conserva rival estructural como hipótesis."	"REL-S1;REL-S8"	"GEN1 histórico; nueva síntesis PROPUESTA-POR-EJECUTOR"	"corte 2c646cba"	"Unidad completa auditada; repeticiones conservan localizador propio"
