"id"	"origen"	"report"	"report_sha256"	"linea"	"linea_fin"	"mapa_id"	"afirmacion"	"tipo"	"dictamen"	"razon_sin_cifra"	"argumento"	"evidencia"	"estado_adopcion"	"vigencia"	"cambio_editorial"	"dictamen_mapa_previo"
"CONF-V1-L107-S05"	"v1"	"corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md"	"6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54"	"107"	"107"	""	"Un producto nuevo se prueba porque alguien conocido lo recomienda."	"generalización o marco conceptual"	"SIN-CIFRA"	"instrumento inadecuado"	"Referencias y repetición pueden reducir incertidumbre, pero no se midió requisito universal, superioridad sobre contratos, ROI o tiempo mínimo. Se transforma en propuesta de prueba local con costos/precio/calidad controlados."	"[]"	"No hay adopción del juicio editorial; PROPUESTO-POR-EJECUTOR. Pisos citados adoptados por FP ac7b-01/02/04; fuentes externas publicadas."	"Corte inicial main 2c646cba93eebc9189a8135a5369bb45e8d29b89; literatura recuperada 26/sep/2026"	"Reescribir conservando solo descripción respaldada; límites y propuesta explícitos."	""
"CONF-V1-L107-S06"	"v1"	"corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md"	"6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54"	"107"	"107"	""	"Este sistema de recomendación es funcionalmente equivalente a un protocolo de verificación distribuido donde la red personal sustituye a las certificaciones institucionales."	"generalización o marco conceptual"	"SIN-CIFRA"	"instrumento inadecuado"	"Referencias y repetición pueden reducir incertidumbre, pero no se midió requisito universal, superioridad sobre contratos, ROI o tiempo mínimo. Se transforma en propuesta de prueba local con costos/precio/calidad controlados."	"[]"	"No hay adopción del juicio editorial; PROPUESTO-POR-EJECUTOR. Pisos citados adoptados por FP ac7b-01/02/04; fuentes externas publicadas."	"Corte inicial main 2c646cba93eebc9189a8135a5369bb45e8d29b89; literatura recuperada 26/sep/2026"	"Reescribir conservando solo descripción respaldada; límites y propuesta explícitos."	""
"CONF-V1-L111-S01"	"v1"	"corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md"	"6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54"	"111"	"111"	""	"La investigación de Triandis et al. (1984) y sus continuadores establece que la *simpatía* —la preferencia cultural por interacciones cálidas, amables y armoniosas— es un script conductual específico de las culturas hispanas."	"generalización o marco conceptual"	"MATIZA"	""	"El v1 identifica diáspora hispana en simpatía: transporte a residentes mexicanos no está validado. Calidez no mide confianza y superficial es juicio no observado; se conserva distinción conceptual sin frecuencia nacional."	"[]"	"No hay adopción del juicio editorial; PROPUESTO-POR-EJECUTOR. Pisos citados adoptados por FP ac7b-01/02/04; fuentes externas publicadas."	"Corte inicial main 2c646cba93eebc9189a8135a5369bb45e8d29b89; literatura recuperada 26/sep/2026"	"Reescribir conservando solo descripción respaldada; límites y propuesta explícitos."	""
"CONF-V1-L111-S02"	"v1"	"corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md"	"6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54"	"111"	"111"	""	"Ramírez-Esparza et al. encontraron que las madres latinas muestran significativamente más calidez conductual que las madres anglo-europeas (d = 1.17, efecto grande), pero paradójicamente puntúan más bajo en medidas de auto-reporte de amabilidad."	"generalización o marco conceptual"	"MATIZA"	""	"El v1 identifica diáspora hispana en simpatía: transporte a residentes mexicanos no está validado. Calidez no mide confianza y superficial es juicio no observado; se conserva distinción conceptual sin frecuencia nacional."	"[]"	"No hay adopción del juicio editorial; PROPUESTO-POR-EJECUTOR. Pisos citados adoptados por FP ac7b-01/02/04; fuentes externas publicadas."	"Corte inicial main 2c646cba93eebc9189a8135a5369bb45e8d29b89; literatura recuperada 26/sep/2026"	"Reescribir conservando solo descripción respaldada; límites y propuesta explícitos."	""
"CONF-V1-L113-S01"	"v1"	"corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md"	"6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54"	"113"	"113"	""	"**Este hallazgo es clave**: la calidez mexicana en la interacción social es genuina a nivel conductual pero no equivale a confianza."	"generalización o marco conceptual"	"MATIZA"	""	"El v1 identifica diáspora hispana en simpatía: transporte a residentes mexicanos no está validado. Calidez no mide confianza y superficial es juicio no observado; se conserva distinción conceptual sin frecuencia nacional."	"[]"	"No hay adopción del juicio editorial; PROPUESTO-POR-EJECUTOR. Pisos citados adoptados por FP ac7b-01/02/04; fuentes externas publicadas."	"Corte inicial main 2c646cba93eebc9189a8135a5369bb45e8d29b89; literatura recuperada 26/sep/2026"	"Reescribir conservando solo descripción respaldada; límites y propuesta explícitos."	""
"CONF-V1-L113-S02"	"v1"	"corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md"	"6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54"	"113"	"113"	""	"La *simpatía* facilita la interacción, reduce la fricción social y crea las condiciones para que la *confianza* pueda desarrollarse, pero no la sustituye."	"generalización o marco conceptual"	"MATIZA"	""	"El v1 identifica diáspora hispana en simpatía: transporte a residentes mexicanos no está validado. Calidez no mide confianza y superficial es juicio no observado; se conserva distinción conceptual sin frecuencia nacional."	"[]"	"No hay adopción del juicio editorial; PROPUESTO-POR-EJECUTOR. Pisos citados adoptados por FP ac7b-01/02/04; fuentes externas publicadas."	"Corte inicial main 2c646cba93eebc9189a8135a5369bb45e8d29b89; literatura recuperada 26/sep/2026"	"Reescribir conservando solo descripción respaldada; límites y propuesta explícitos."	""
"CONF-V1-L113-S03"	"v1"	"corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md"	"6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54"	"113"	"113"	""	"Un extranjero que interpreta la cortesía y calidez mexicana como señal de confianza ya establecida cometerá errores costosos —en negocios, en política, en servicios."	"generalización o marco conceptual"	"MATIZA"	""	"El v1 identifica diáspora hispana en simpatía: transporte a residentes mexicanos no está validado. Calidez no mide confianza y superficial es juicio no observado; se conserva distinción conceptual sin frecuencia nacional."	"[]"	"No hay adopción del juicio editorial; PROPUESTO-POR-EJECUTOR. Pisos citados adoptados por FP ac7b-01/02/04; fuentes externas publicadas."	"Corte inicial main 2c646cba93eebc9189a8135a5369bb45e8d29b89; literatura recuperada 26/sep/2026"	"Reescribir conservando solo descripción respaldada; límites y propuesta explícitos."	""
"CONF-V1-L117-S01"	"v1"	"corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md"	"6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54"	"117"	"117"	""	"Uno de los hallazgos más importantes de la literatura es que **la desconfianza mexicana no es una patología sino una competencia adaptativa**."	"mecanismo"	"MATIZA"	""	"Adaptación es hipótesis compatible con riesgo observado, no resultado de maximización demostrada. Información incorrecta, exclusión y persistencia de hábitos son rivales; la prudencia puede tener costos."	"[""CONF-C42"", ""CONF-C35"", ""CONF-CARBON24""]"	"No hay adopción del juicio editorial; PROPUESTO-POR-EJECUTOR. Pisos citados adoptados por FP ac7b-01/02/04; fuentes externas publicadas."	"Corte inicial main 2c646cba93eebc9189a8135a5369bb45e8d29b89; literatura recuperada 26/sep/2026"	"Reescribir conservando solo descripción respaldada; límites y propuesta explícitos."	""
"CONF-V1-L117-S02"	"v1"	"corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md"	"6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54"	"117"	"117"	""	"En un entorno donde la policía puede extorsionar, donde un funcionario puede exigir mordida, donde el 93% de los crímenes no se investigan, y donde crisis económicas han destruido ahorros repetidamente (1982, 1994, 2008), la desconfianza prudente es racional."	"mecanismo"	"MATIZA"	""	"Adaptación es hipótesis compatible con riesgo observado, no resultado de maximización demostrada. Información incorrecta, exclusión y persistencia de hábitos son rivales; la prudencia puede tener costos."	"[""CONF-C42"", ""CONF-C35"", ""CONF-CARBON24""]"	"No hay adopción del juicio editorial; PROPUESTO-POR-EJECUTOR. Pisos citados adoptados por FP ac7b-01/02/04; fuentes externas publicadas."	"Corte inicial main 2c646cba93eebc9189a8135a5369bb45e8d29b89; literatura recuperada 26/sep/2026"	"Reescribir conservando solo descripción respaldada; límites y propuesta explícitos."	""
"CONF-V1-L119-S01"	"v1"	"corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md"	"6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54"	"119"	"119"	""	"Esta interpretación está respaldada por tres líneas de evidencia convergentes."	"mecanismo"	"MATIZA"	""	"Adaptación es hipótesis compatible con riesgo observado, no resultado de maximización demostrada. Información incorrecta, exclusión y persistencia de hábitos son rivales; la prudencia puede tener costos."	"[""CONF-C42"", ""CONF-C35"", ""CONF-CARBON24""]"	"No hay adopción del juicio editorial; PROPUESTO-POR-EJECUTOR. Pisos citados adoptados por FP ac7b-01/02/04; fuentes externas publicadas."	"Corte inicial main 2c646cba93eebc9189a8135a5369bb45e8d29b89; literatura recuperada 26/sep/2026"	"Reescribir conservando solo descripción respaldada; límites y propuesta explícitos."	""
"CONF-V1-L119-S02"	"v1"	"corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md"	"6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54"	"119"	"119"	""	"Primera, Yáñez et al. (2006) demuestran que confianza y desconfianza son constructos independientes —se puede confiar en la familia y desconfiar del sistema simultáneamente sin disonancia cognitiva."	"mecanismo"	"MATIZA"	""	"Adaptación es hipótesis compatible con riesgo observado, no resultado de maximización demostrada. Información incorrecta, exclusión y persistencia de hábitos son rivales; la prudencia puede tener costos."	"[""CONF-C42"", ""CONF-C35"", ""CONF-CARBON24""]"	"No hay adopción del juicio editorial; PROPUESTO-POR-EJECUTOR. Pisos citados adoptados por FP ac7b-01/02/04; fuentes externas publicadas."	"Corte inicial main 2c646cba93eebc9189a8135a5369bb45e8d29b89; literatura recuperada 26/sep/2026"	"Reescribir conservando solo descripción respaldada; límites y propuesta explícitos."	""
"CONF-V1-L119-S03"	"v1"	"corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md"	"6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54"	"119"	"119"	""	"Segunda, los experimentos conductuales de Chong & Ñopo (2008) muestran que cuando las condiciones estructurales se igualan (juegos con reglas claras), los latinoamericanos cooperan tan frecuentemente como participantes de otras regiones."	"mecanismo"	"MATIZA"	""	"Adaptación es hipótesis compatible con riesgo observado, no resultado de maximización demostrada. Información incorrecta, exclusión y persistencia de hábitos son rivales; la prudencia puede tener costos."	"[""CONF-C42"", ""CONF-C35"", ""CONF-CARBON24""]"	"No hay adopción del juicio editorial; PROPUESTO-POR-EJECUTOR. Pisos citados adoptados por FP ac7b-01/02/04; fuentes externas publicadas."	"Corte inicial main 2c646cba93eebc9189a8135a5369bb45e8d29b89; literatura recuperada 26/sep/2026"	"Reescribir conservando solo descripción respaldada; límites y propuesta explícitos."	""
"CONF-V1-L119-S04"	"v1"	"corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md"	"6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54"	"119"	"119"	""	"Tercera, la evidencia de que la confianza institucional en México responde rápidamente a cambios políticos (subió con la transición democrática de 2000, cayó con la desilusión posterior, subió nuevamente con AMLO) indica que no es fija sino contextualmente sensible."	"mecanismo"	"MATIZA"	""	"Adaptación es hipótesis compatible con riesgo observado, no resultado de maximización demostrada. Información incorrecta, exclusión y persistencia de hábitos son rivales; la prudencia puede tener costos."	"[""CONF-C42"", ""CONF-C35"", ""CONF-CARBON24""]"	"No hay adopción del juicio editorial; PROPUESTO-POR-EJECUTOR. Pisos citados adoptados por FP ac7b-01/02/04; fuentes externas publicadas."	"Corte inicial main 2c646cba93eebc9189a8135a5369bb45e8d29b89; literatura recuperada 26/sep/2026"	"Reescribir conservando solo descripción respaldada; límites y propuesta explícitos."	""
"CONF-V1-L123-S01"	"v1"	"corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md"	"6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54"	"123"	"123"	""	"El *familismo* —la orientación que sitúa a la familia como centro de identidad, lealtad y apoyo— funciona en México como un **sistema operativo alternativo de confianza** que sustituye parcialmente las funciones que en sociedades de alta confianza institucional cumplen los contratos, los tribunales, la policía y las redes de seguridad social."	"mecanismo"	"SIN-CIFRA"	"instrumento inadecuado"	"Redes pueden complementar o sustituir servicios según acceso, ingreso y obligaciones; el report no identifica cuánto ni efectos netos. No toda persona pobre depende de la misma red ni toda élite tiene seguro privado."	"[]"	"No hay adopción del juicio editorial; PROPUESTO-POR-EJECUTOR. Pisos citados adoptados por FP ac7b-01/02/04; fuentes externas publicadas."	"Corte inicial main 2c646cba93eebc9189a8135a5369bb45e8d29b89; literatura recuperada 26/sep/2026"	"Reescribir conservando solo descripción respaldada; límites y propuesta explícitos."	""
"CONF-V1-L125-S01"	"v1"	"corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md"	"6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54"	"125"	"125"	""	"Cuando el sistema de salud pública es percibido como ""saturado, ineficiente y de menor calidad"" (BMC Public Health), la familia organiza y financia la atención médica privada."	"mecanismo"	"SIN-CIFRA"	"instrumento inadecuado"	"Redes pueden complementar o sustituir servicios según acceso, ingreso y obligaciones; el report no identifica cuánto ni efectos netos. No toda persona pobre depende de la misma red ni toda élite tiene seguro privado."	"[]"	"No hay adopción del juicio editorial; PROPUESTO-POR-EJECUTOR. Pisos citados adoptados por FP ac7b-01/02/04; fuentes externas publicadas."	"Corte inicial main 2c646cba93eebc9189a8135a5369bb45e8d29b89; literatura recuperada 26/sep/2026"	"Reescribir conservando solo descripción respaldada; límites y propuesta explícitos."	""
"CONF-V1-L125-S02"	"v1"	"corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md"	"6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54"	"125"	"125"	""	"Cuando el sistema financiero cobra comisiones abusivas y tres bancos controlan el 50% de los activos, la familia presta dinero."	"mecanismo"	"SIN-CIFRA"	"instrumento inadecuado"	"Redes pueden complementar o sustituir servicios según acceso, ingreso y obligaciones; el report no identifica cuánto ni efectos netos. No toda persona pobre depende de la misma red ni toda élite tiene seguro privado."	"[]"	"No hay adopción del juicio editorial; PROPUESTO-POR-EJECUTOR. Pisos citados adoptados por FP ac7b-01/02/04; fuentes externas publicadas."	"Corte inicial main 2c646cba93eebc9189a8135a5369bb45e8d29b89; literatura recuperada 26/sep/2026"	"Reescribir conservando solo descripción respaldada; límites y propuesta explícitos."	""
"CONF-V1-L125-S03"	"v1"	"corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md"	"6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54"	"125"	"125"	""	"Cuando las instituciones educativas fallan, la familia invierte en educación privada."	"mecanismo"	"SIN-CIFRA"	"instrumento inadecuado"	"Redes pueden complementar o sustituir servicios según acceso, ingreso y obligaciones; el report no identifica cuánto ni efectos netos. No toda persona pobre depende de la misma red ni toda élite tiene seguro privado."	"[]"	"No hay adopción del juicio editorial; PROPUESTO-POR-EJECUTOR. Pisos citados adoptados por FP ac7b-01/02/04; fuentes externas publicadas."	"Corte inicial main 2c646cba93eebc9189a8135a5369bb45e8d29b89; literatura recuperada 26/sep/2026"	"Reescribir conservando solo descripción respaldada; límites y propuesta explícitos."	""
"CONF-V1-L125-S04"	"v1"	"corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md"	"6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54"	"125"	"125"	""	"Cuando el sistema legal no protege, la familia protege."	"mecanismo"	"SIN-CIFRA"	"instrumento inadecuado"	"Redes pueden complementar o sustituir servicios según acceso, ingreso y obligaciones; el report no identifica cuánto ni efectos netos. No toda persona pobre depende de la misma red ni toda élite tiene seguro privado."	"[]"	"No hay adopción del juicio editorial; PROPUESTO-POR-EJECUTOR. Pisos citados adoptados por FP ac7b-01/02/04; fuentes externas publicadas."	"Corte inicial main 2c646cba93eebc9189a8135a5369bb45e8d29b89; literatura recuperada 26/sep/2026"	"Reescribir conservando solo descripción respaldada; límites y propuesta explícitos."	""
"CONF-V1-L127-S01"	"v1"	"corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md"	"6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54"	"127"	"127"	""	"El *compadrazgo* extiende este sistema más allá de la sangre mediante el parentesco ritual."	"mecanismo"	"SIN-CIFRA"	"adquisición pendiente"	"Compadrazgo y palanca son hipótesis etnográficas plausibles; faltan referencias completas y población del estudio. No se infiere ausencia de compensación o cobertura de seguro para todos."	"[]"	"No hay adopción del juicio editorial; PROPUESTO-POR-EJECUTOR. Pisos citados adoptados por FP ac7b-01/02/04; fuentes externas publicadas."	"Corte inicial main 2c646cba93eebc9189a8135a5369bb45e8d29b89; literatura recuperada 26/sep/2026"	"Reescribir conservando solo descripción respaldada; límites y propuesta explícitos."	""
"CONF-V1-L127-S02"	"v1"	"corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md"	"6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54"	"127"	"127"	""	"Los padrinos de bautizo, primera comunión, confirmación y boda asumen obligaciones reales de apoyo mutuo."	"mecanismo"	"SIN-CIFRA"	"adquisición pendiente"	"Compadrazgo y palanca son hipótesis etnográficas plausibles; faltan referencias completas y población del estudio. No se infiere ausencia de compensación o cobertura de seguro para todos."	"[]"	"No hay adopción del juicio editorial; PROPUESTO-POR-EJECUTOR. Pisos citados adoptados por FP ac7b-01/02/04; fuentes externas publicadas."	"Corte inicial main 2c646cba93eebc9189a8135a5369bb45e8d29b89; literatura recuperada 26/sep/2026"	"Reescribir conservando solo descripción respaldada; límites y propuesta explícitos."	""
"CONF-V1-L127-S03"	"v1"	"corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md"	"6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54"	"127"	"127"	""	"Lomnitz & Sheinbaum documentan que los favores dentro de este sistema se intercambian **sin compensación material directa** —la compensación monetaria erosionaría la relación al señalar inferioridad social."	"mecanismo"	"SIN-CIFRA"	"adquisición pendiente"	"Compadrazgo y palanca son hipótesis etnográficas plausibles; faltan referencias completas y población del estudio. No se infiere ausencia de compensación o cobertura de seguro para todos."	"[]"	"No hay adopción del juicio editorial; PROPUESTO-POR-EJECUTOR. Pisos citados adoptados por FP ac7b-01/02/04; fuentes externas publicadas."	"Corte inicial main 2c646cba93eebc9189a8135a5369bb45e8d29b89; literatura recuperada 26/sep/2026"	"Reescribir conservando solo descripción respaldada; límites y propuesta explícitos."	""
"CONF-V1-L127-S04"	"v1"	"corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md"	"6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54"	"127"	"127"	""	"El *compadrazgo* crea lo que funcionalmente es una **red de seguro social informal basada en deuda de honor**."	"mecanismo"	"SIN-CIFRA"	"adquisición pendiente"	"Compadrazgo y palanca son hipótesis etnográficas plausibles; faltan referencias completas y población del estudio. No se infiere ausencia de compensación o cobertura de seguro para todos."	"[]"	"No hay adopción del juicio editorial; PROPUESTO-POR-EJECUTOR. Pisos citados adoptados por FP ac7b-01/02/04; fuentes externas publicadas."	"Corte inicial main 2c646cba93eebc9189a8135a5369bb45e8d29b89; literatura recuperada 26/sep/2026"	"Reescribir conservando solo descripción respaldada; límites y propuesta explícitos."	""
"CONF-V1-L131-S01"	"v1"	"corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md"	"6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54"	"131"	"131"	""	"En el entorno mexicano, la confianza no se otorga; se construye progresivamente a través de interacciones repetidas que demuestran consistencia, reciprocidad y lealtad."	"mecanismo"	"SIN-CIFRA"	"instrumento inadecuado"	"Referencias y repetición pueden reducir incertidumbre, pero no se midió requisito universal, superioridad sobre contratos, ROI o tiempo mínimo. Se transforma en propuesta de prueba local con costos/precio/calidad controlados."	"[]"	"No hay adopción del juicio editorial; PROPUESTO-POR-EJECUTOR. Pisos citados adoptados por FP ac7b-01/02/04; fuentes externas publicadas."	"Corte inicial main 2c646cba93eebc9189a8135a5369bb45e8d29b89; literatura recuperada 26/sep/2026"	"Reescribir conservando solo descripción respaldada; límites y propuesta explícitos."	""
"CONF-V1-L131-S02"	"v1"	"corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md"	"6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54"	"131"	"131"	""	"Una vez establecida, la *confianza* genera **obligaciones recíprocas de lealtad** que pueden ser más vinculantes que cualquier contrato legal."	"mecanismo"	"SIN-CIFRA"	"instrumento inadecuado"	"Referencias y repetición pueden reducir incertidumbre, pero no se midió requisito universal, superioridad sobre contratos, ROI o tiempo mínimo. Se transforma en propuesta de prueba local con costos/precio/calidad controlados."	"[]"	"No hay adopción del juicio editorial; PROPUESTO-POR-EJECUTOR. Pisos citados adoptados por FP ac7b-01/02/04; fuentes externas publicadas."	"Corte inicial main 2c646cba93eebc9189a8135a5369bb45e8d29b89; literatura recuperada 26/sep/2026"	"Reescribir conservando solo descripción respaldada; límites y propuesta explícitos."	""
"CONF-V1-L133-S01"	"v1"	"corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md"	"6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54"	"133"	"133"	""	"En el ámbito laboral, esto se traduce en que los empleados que perciben que su jefe se preocupa genuinamente por su bienestar son **2.7 veces más propensos** a quedarse en la organización (Great Place to Work México, 1.3 millones de empleados encuestados)."	"mecanismo"	"SIN-CIFRA"	"adquisición pendiente"	"Encuestas empresariales seleccionan empresas/empleados; razones de permanencia y liderazgo no prueban 2.7x causal. Jerarquía y paternalismo no son requisitos nacionales; rol, salario y condiciones rivales no fueron aislados."	"[]"	"No hay adopción del juicio editorial; PROPUESTO-POR-EJECUTOR. Pisos citados adoptados por FP ac7b-01/02/04; fuentes externas publicadas."	"Corte inicial main 2c646cba93eebc9189a8135a5369bb45e8d29b89; literatura recuperada 26/sep/2026"	"Reescribir conservando solo descripción respaldada; límites y propuesta explícitos."	""
"CONF-V1-L133-S02"	"v1"	"corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md"	"6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54"	"133"	"133"	""	"En los negocios, romper la lealtad personal —criticar duramente, presionar con plazos artificiales, cambiar al equipo negociador— puede terminar una relación comercial independientemente de las consideraciones financieras."	"mecanismo"	"SIN-CIFRA"	"adquisición pendiente"	"Encuestas empresariales seleccionan empresas/empleados; razones de permanencia y liderazgo no prueban 2.7x causal. Jerarquía y paternalismo no son requisitos nacionales; rol, salario y condiciones rivales no fueron aislados."	"[]"	"No hay adopción del juicio editorial; PROPUESTO-POR-EJECUTOR. Pisos citados adoptados por FP ac7b-01/02/04; fuentes externas publicadas."	"Corte inicial main 2c646cba93eebc9189a8135a5369bb45e8d29b89; literatura recuperada 26/sep/2026"	"Reescribir conservando solo descripción respaldada; límites y propuesta explícitos."	""
"CONF-V1-L141-S01"	"v1"	"corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md"	"6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54"	"141"	"141"	""	"El PRI gobernó México ininterrumpidamente de 1929 a 2000, creando el sistema de partido hegemónico más longevo de América Latina."	"mecanismo"	"SIN-CIFRA"	"instrumento inadecuado"	"Cronología política sirve como contexto; duración hegemónica y densidades asociativas no identifican supresión causal ni trayectoria de confianza. Falta serie enlazada y contrafactual para atribuir a Fox o PRI."	"[]"	"No hay adopción del juicio editorial; PROPUESTO-POR-EJECUTOR. Pisos citados adoptados por FP ac7b-01/02/04; fuentes externas publicadas."	"Corte inicial main 2c646cba93eebc9189a8135a5369bb45e8d29b89; literatura recuperada 26/sep/2026"	"Reescribir conservando solo descripción respaldada; límites y propuesta explícitos."	""
"CONF-V1-L141-S02"	"v1"	"corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md"	"6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54"	"141"	"141"	""	"Este periodo no solo produjo corrupción sistémica sino que **reconfiguró fundamentalmente la relación ciudadano-Estado**."	"mecanismo"	"SIN-CIFRA"	"instrumento inadecuado"	"Cronología política sirve como contexto; duración hegemónica y densidades asociativas no identifican supresión causal ni trayectoria de confianza. Falta serie enlazada y contrafactual para atribuir a Fox o PRI."	"[]"	"No hay adopción del juicio editorial; PROPUESTO-POR-EJECUTOR. Pisos citados adoptados por FP ac7b-01/02/04; fuentes externas publicadas."	"Corte inicial main 2c646cba93eebc9189a8135a5369bb45e8d29b89; literatura recuperada 26/sep/2026"	"Reescribir conservando solo descripción respaldada; límites y propuesta explícitos."	""
"CONF-V1-L141-S03"	"v1"	"corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md"	"6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54"	"141"	"141"	""	"El corporativismo priista organizó a la sociedad en sectores controlados (campesinos vía CNC, obreros vía CTM, clases medias vía CNOP), convirtiendo la ciudadanía en una relación de intercambio clientelar: lealtad política a cambio de beneficios materiales."	"mecanismo"	"SIN-CIFRA"	"instrumento inadecuado"	"Cronología política sirve como contexto; duración hegemónica y densidades asociativas no identifican supresión causal ni trayectoria de confianza. Falta serie enlazada y contrafactual para atribuir a Fox o PRI."	"[]"	"No hay adopción del juicio editorial; PROPUESTO-POR-EJECUTOR. Pisos citados adoptados por FP ac7b-01/02/04; fuentes externas publicadas."	"Corte inicial main 2c646cba93eebc9189a8135a5369bb45e8d29b89; literatura recuperada 26/sep/2026"	"Reescribir conservando solo descripción respaldada; límites y propuesta explícitos."	""
