variante	escala	eje	categoria	objetivo	metodo	olas_previas	pronostico	observado	ic_lo	ic_hi	n	error	error_relativo	cobertura_ic_piso	cobertura_proxy	piso_ic_lo	piso_ic_hi	nota
MIN	media	ESCOLARIDAD	MEDIA-SUPERIOR	2024	V2-TENDENCIA-2-OLAS	2014+2019	12.475038	9.821695	9.396084	10.260734	17693	-2.653343	-0.212692		0			
MIN	media	ESCOLARIDAD	MEDIA-SUPERIOR	2024	V3-TENDENCIA-SERIE	2009+2014+2019	13.292914	9.821695	9.396084	10.260734	17693	-3.471219	-0.261133		0			
MIN	media	ESCOLARIDAD	SUPERIOR	2024	V1-PERSISTENCIA	2019	11.418879	8.278518	7.829548	8.757845	14153	-3.140362	-0.275015	0	0	10.842280	12.013975	
MIN	media	ESCOLARIDAD	SUPERIOR	2024	V2-TENDENCIA-2-OLAS	2014+2019	11.034348	8.278518	7.829548	8.757845	14153	-2.755831	-0.249750		0			
MIN	media	ESCOLARIDAD	SUPERIOR	2024	V3-TENDENCIA-SERIE	2009+2014+2019	13.273776	8.278518	7.829548	8.757845	14153	-4.995258	-0.376325		0			
MIN	media	LOCALIDAD	URBANO	2024	V1-PERSISTENCIA	2019	11.273022	8.185078	7.909045	8.464053	55388	-3.087945	-0.273923	0	0	10.934421	11.611329	
MIN	media	LOCALIDAD	URBANO	2024	V2-TENDENCIA-2-OLAS	2014+2019	10.585413	8.185078	7.909045	8.464053	55388	-2.400336	-0.226759		0			
MIN	media	LOCALIDAD	URBANO	2024	V3-TENDENCIA-SERIE	2009+2014+2019	12.489493	8.185078	7.909045	8.464053	55388	-4.304416	-0.344643		0			
MIN	media	LOCALIDAD	RURAL	2024	V1-PERSISTENCIA	2019	13.319977	9.800605	9.055927	10.546023	18665	-3.519372	-0.264218	0	0	12.591422	14.052647	
MIN	media	LOCALIDAD	RURAL	2024	V2-TENDENCIA-2-OLAS	2014+2019	14.247384	9.800605	9.055927	10.546023	18665	-4.446780	-0.312112		0			
MIN	media	LOCALIDAD	RURAL	2024	V3-TENDENCIA-SERIE	2009+2014+2019	14.934268	9.800605	9.055927	10.546023	18665	-5.133663	-0.343751		0			
MIN	razon	NACIONAL	NAC	2019	V1-PERSISTENCIA	2014	0.217900	0.237473	0.229746	0.245476	27214	0.019573	0.089826	0	0	0.208970	0.227165	
MIN	razon	NACIONAL	NAC	2019	V2-TENDENCIA-2-OLAS	2009+2014	0.238550	0.237473	0.229746	0.245476	27214	-0.001077	-0.004514		1			
MIN	razon	NACIONAL	NAC	2019	V3-TENDENCIA-SERIE			0.237473	0.229746	0.245476	27214							NO-APLICA: olas previas insuficientes
MIN	razon	NACIONAL	NAC	2024	V1-PERSISTENCIA	2019	0.237473	0.224685	0.215126	0.234315	29181	-0.012788	-0.053850	0	0	0.229746	0.245476	
MIN	razon	NACIONAL	NAC	2024	V2-TENDENCIA-2-OLAS	2014+2019	0.257046	0.224685	0.215126	0.234315	29181	-0.032361	-0.125896		0			
MIN	razon	NACIONAL	NAC	2024	V3-TENDENCIA-SERIE	2009+2014+2019	0.257764	0.224685	0.215126	0.234315	29181	-0.033079	-0.128330		0			
CONCP-vs-NUCLEO	media	NACIONAL	NAC	2024	DELTA-INSTRUMENTO	2024	8.737153	11.096165	10.783628	11.412284	74053	2.359013	0.269998			8.460062	9.015826	horas que la definición sellada añade al núcleo (emocionales + esperas + pasivo presente)
CONCP-vs-NUCLEO	media	SEXO	HOMBRE	2024	DELTA-INSTRUMENTO	2024	4.709042	6.635859	6.419071	6.862015	34143	1.926817	0.409174			4.531411	4.894260	horas que la definición sellada añade al núcleo (emocionales + esperas + pasivo presente)
CONCP-vs-NUCLEO	media	SEXO	MUJER	2024	DELTA-INSTRUMENTO	2024	12.239730	14.974552	14.528411	15.417427	39910	2.734822	0.223438			11.836636	12.642446	horas que la definición sellada añade al núcleo (emocionales + esperas + pasivo presente)
CONCP-vs-NUCLEO	media	EDAD	12-17	2024	DELTA-INSTRUMENTO	2024	3.748633	5.614258	5.261459	6.007867	9696	1.865625	0.497681			3.463043	4.064603	horas que la definición sellada añade al núcleo (emocionales + esperas + pasivo presente)
CONCP-vs-NUCLEO	media	EDAD	18-29	2024	DELTA-INSTRUMENTO	2024	11.610601	14.249008	13.637687	14.857806	16048	2.638407	0.227241			11.071167	12.145517	horas que la definición sellada añade al núcleo (emocionales + esperas + pasivo presente)
CONCP-vs-NUCLEO	media	EDAD	30-39	2024	DELTA-INSTRUMENTO	2024	16.561099	20.698803	19.918571	21.497566	13044	4.137704	0.249845			15.880420	17.263925	horas que la definición sellada añade al núcleo (emocionales + esperas + pasivo presente)
CONCP-vs-NUCLEO	media	EDAD	40-59	2024	DELTA-INSTRUMENTO	2024	6.790386	8.631067	8.258645	9.022171	22075	1.840681	0.271072			6.450958	7.151834	horas que la definición sellada añade al núcleo (emocionales + esperas + pasivo presente)
CONCP-vs-NUCLEO	media	EDAD	60-MAS	2024	DELTA-INSTRUMENTO	2024	4.486871	6.009059	5.642538	6.382413	13190	1.522188	0.339254			4.173713	4.809264	horas que la definición sellada añade al núcleo (emocionales + esperas + pasivo presente)
CONCP-vs-NUCLEO	media	ESCOLARIDAD	HASTA-PRIMARIA	2024	DELTA-INSTRUMENTO	2024	6.350887	8.192819	7.771814	8.619426	19773	1.841932	0.290028			5.969644	6.738717	horas que la definición sellada añade al núcleo (emocionales + esperas + pasivo presente)
CONCP-vs-NUCLEO	media	ESCOLARIDAD	SECUNDARIA	2024	DELTA-INSTRUMENTO	2024	9.676591	12.116190	11.589558	12.649944	22433	2.439600	0.252114			9.206654	10.149536	horas que la definición sellada añade al núcleo (emocionales + esperas + pasivo presente)
CONCP-vs-NUCLEO	media	ESCOLARIDAD	MEDIA-SUPERIOR	2024	DELTA-INSTRUMENTO	2024	10.097645	12.697898	12.194914	13.208108	17693	2.600253	0.257511			9.659619	10.546582	horas que la definición sellada añade al núcleo (emocionales + esperas + pasivo presente)
CONCP-vs-NUCLEO	media	ESCOLARIDAD	SUPERIOR	2024	DELTA-INSTRUMENTO	2024	8.534749	11.090656	10.545284	11.668227	14153	2.555907	0.299471			8.079811	9.022188	horas que la definición sellada añade al núcleo (emocionales + esperas + pasivo presente)
CONCP-vs-NUCLEO	media	LOCALIDAD	URBANO	2024	DELTA-INSTRUMENTO	2024	8.404092	10.740320	10.418564	11.067588	55388	2.336228	0.277987			8.124033	8.687978	horas que la definición sellada añade al núcleo (emocionales + esperas + pasivo presente)
CONCP-vs-NUCLEO	media	LOCALIDAD	RURAL	2024	DELTA-INSTRUMENTO	2024	10.039328	12.487425	11.644769	13.319938	18665	2.448097	0.243851			9.291654	10.786259	horas que la definición sellada añade al núcleo (emocionales + esperas + pasivo presente)
CONCP-vs-NUCLEO	razon	NACIONAL	NAC	2024	DELTA-INSTRUMENTO	2024	0.225534	0.221481	0.212911	0.229981	29181	-0.004052	-0.017967			0.215970	0.235196	razón: escala [0,1]
