serie_id	instrumento	dominio	conducta_texto	eje	segmento	unidad	dictamen	direccion	k	olas	delta_pp	pares_fuera	causa_sin_serie	calc	result
ENDIREH-COMUNITARIA-DENUNCIA-ENTIDAD-27	ENDIREH	genero	ENDIREH PISOS :: comunitaria_denuncia	entidad	27	proporcion_0_1	SIN-SERIE	NINGUNA	1	2016		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENDIREH-SERIE-DICTAMEN-0001	RESULT-DC-ENDIREH-TABLA#serie_id=ENDIREH-COMUNITARIA-DENUNCIA-ENTIDAD-27
ENDIREH-COMUNITARIA-DENUNCIA-ENTIDAD-28	ENDIREH	genero	ENDIREH PISOS :: comunitaria_denuncia	entidad	28	proporcion_0_1	SIN-SERIE	NINGUNA	1	2016		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENDIREH-SERIE-DICTAMEN-0001	RESULT-DC-ENDIREH-TABLA#serie_id=ENDIREH-COMUNITARIA-DENUNCIA-ENTIDAD-28
ENDIREH-COMUNITARIA-DENUNCIA-ENTIDAD-29	ENDIREH	genero	ENDIREH PISOS :: comunitaria_denuncia	entidad	29	proporcion_0_1	SIN-SERIE	NINGUNA	1	2016		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENDIREH-SERIE-DICTAMEN-0001	RESULT-DC-ENDIREH-TABLA#serie_id=ENDIREH-COMUNITARIA-DENUNCIA-ENTIDAD-29
ENDIREH-COMUNITARIA-DENUNCIA-ENTIDAD-30	ENDIREH	genero	ENDIREH PISOS :: comunitaria_denuncia	entidad	30	proporcion_0_1	SIN-SERIE	NINGUNA	1	2016		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENDIREH-SERIE-DICTAMEN-0001	RESULT-DC-ENDIREH-TABLA#serie_id=ENDIREH-COMUNITARIA-DENUNCIA-ENTIDAD-30
ENDIREH-COMUNITARIA-DENUNCIA-ENTIDAD-31	ENDIREH	genero	ENDIREH PISOS :: comunitaria_denuncia	entidad	31	proporcion_0_1	SIN-SERIE	NINGUNA	1	2016		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENDIREH-SERIE-DICTAMEN-0001	RESULT-DC-ENDIREH-TABLA#serie_id=ENDIREH-COMUNITARIA-DENUNCIA-ENTIDAD-31
ENDIREH-COMUNITARIA-DENUNCIA-ENTIDAD-32	ENDIREH	genero	ENDIREH PISOS :: comunitaria_denuncia	entidad	32	proporcion_0_1	SIN-SERIE	NINGUNA	1	2016		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENDIREH-SERIE-DICTAMEN-0001	RESULT-DC-ENDIREH-TABLA#serie_id=ENDIREH-COMUNITARIA-DENUNCIA-ENTIDAD-32
ENDIREH-COMUNITARIA-DENUNCIA-ESCOLARIDAD-BASICA	ENDIREH	genero	ENDIREH PISOS :: comunitaria_denuncia	escolaridad	basica	proporcion_0_1	SIN-SERIE	NINGUNA	1	2016		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENDIREH-SERIE-DICTAMEN-0001	RESULT-DC-ENDIREH-TABLA#serie_id=ENDIREH-COMUNITARIA-DENUNCIA-ESCOLARIDAD-BASICA
ENDIREH-COMUNITARIA-DENUNCIA-ESCOLARIDAD-MEDIA-SUPERIOR	ENDIREH	genero	ENDIREH PISOS :: comunitaria_denuncia	escolaridad	media_superior	proporcion_0_1	SIN-SERIE	NINGUNA	1	2016		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENDIREH-SERIE-DICTAMEN-0001	RESULT-DC-ENDIREH-TABLA#serie_id=ENDIREH-COMUNITARIA-DENUNCIA-ESCOLARIDAD-MEDIA-SUPERIOR
ENDIREH-COMUNITARIA-DENUNCIA-ESCOLARIDAD-NINGUNO	ENDIREH	genero	ENDIREH PISOS :: comunitaria_denuncia	escolaridad	ninguno	proporcion_0_1	SIN-SERIE	NINGUNA	1	2016		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENDIREH-SERIE-DICTAMEN-0001	RESULT-DC-ENDIREH-TABLA#serie_id=ENDIREH-COMUNITARIA-DENUNCIA-ESCOLARIDAD-NINGUNO
ENDIREH-COMUNITARIA-DENUNCIA-ESCOLARIDAD-SUPERIOR	ENDIREH	genero	ENDIREH PISOS :: comunitaria_denuncia	escolaridad	superior	proporcion_0_1	SIN-SERIE	NINGUNA	1	2016		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENDIREH-SERIE-DICTAMEN-0001	RESULT-DC-ENDIREH-TABLA#serie_id=ENDIREH-COMUNITARIA-DENUNCIA-ESCOLARIDAD-SUPERIOR
ENDIREH-COMUNITARIA-DENUNCIA-LOCALIDAD-C	ENDIREH	genero	ENDIREH PISOS :: comunitaria_denuncia	localidad	C	proporcion_0_1	SIN-SERIE	NINGUNA	1	2016		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENDIREH-SERIE-DICTAMEN-0001	RESULT-DC-ENDIREH-TABLA#serie_id=ENDIREH-COMUNITARIA-DENUNCIA-LOCALIDAD-C
ENDIREH-COMUNITARIA-DENUNCIA-LOCALIDAD-R	ENDIREH	genero	ENDIREH PISOS :: comunitaria_denuncia	localidad	R	proporcion_0_1	SIN-SERIE	NINGUNA	1	2016		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENDIREH-SERIE-DICTAMEN-0001	RESULT-DC-ENDIREH-TABLA#serie_id=ENDIREH-COMUNITARIA-DENUNCIA-LOCALIDAD-R
ENDIREH-COMUNITARIA-DENUNCIA-LOCALIDAD-U	ENDIREH	genero	ENDIREH PISOS :: comunitaria_denuncia	localidad	U	proporcion_0_1	SIN-SERIE	NINGUNA	1	2016		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENDIREH-SERIE-DICTAMEN-0001	RESULT-DC-ENDIREH-TABLA#serie_id=ENDIREH-COMUNITARIA-DENUNCIA-LOCALIDAD-U
ENDIREH-COMUNITARIA-DENUNCIA-NACIONAL-MX	ENDIREH	genero	ENDIREH PISOS :: comunitaria_denuncia	nacional	MX	proporcion_0_1	SIN-SERIE	NINGUNA	1	2016		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENDIREH-SERIE-DICTAMEN-0001	RESULT-DC-ENDIREH-TABLA#serie_id=ENDIREH-COMUNITARIA-DENUNCIA-NACIONAL-MX
ENDIREH-COMUNITARIA-DENUNCIA-PAREJA-A1	ENDIREH	genero	ENDIREH PISOS :: comunitaria_denuncia	pareja	A1	proporcion_0_1	SIN-SERIE	NINGUNA	1	2016		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENDIREH-SERIE-DICTAMEN-0001	RESULT-DC-ENDIREH-TABLA#serie_id=ENDIREH-COMUNITARIA-DENUNCIA-PAREJA-A1
ENDIREH-COMUNITARIA-DENUNCIA-PAREJA-A2	ENDIREH	genero	ENDIREH PISOS :: comunitaria_denuncia	pareja	A2	proporcion_0_1	SIN-SERIE	NINGUNA	1	2016		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENDIREH-SERIE-DICTAMEN-0001	RESULT-DC-ENDIREH-TABLA#serie_id=ENDIREH-COMUNITARIA-DENUNCIA-PAREJA-A2
ENDIREH-COMUNITARIA-DENUNCIA-PAREJA-B1	ENDIREH	genero	ENDIREH PISOS :: comunitaria_denuncia	pareja	B1	proporcion_0_1	SIN-SERIE	NINGUNA	1	2016		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENDIREH-SERIE-DICTAMEN-0001	RESULT-DC-ENDIREH-TABLA#serie_id=ENDIREH-COMUNITARIA-DENUNCIA-PAREJA-B1
ENDIREH-COMUNITARIA-DENUNCIA-PAREJA-B2	ENDIREH	genero	ENDIREH PISOS :: comunitaria_denuncia	pareja	B2	proporcion_0_1	SIN-SERIE	NINGUNA	1	2016		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENDIREH-SERIE-DICTAMEN-0001	RESULT-DC-ENDIREH-TABLA#serie_id=ENDIREH-COMUNITARIA-DENUNCIA-PAREJA-B2
ENDIREH-COMUNITARIA-DENUNCIA-PAREJA-C1	ENDIREH	genero	ENDIREH PISOS :: comunitaria_denuncia	pareja	C1	proporcion_0_1	SIN-SERIE	NINGUNA	1	2016		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENDIREH-SERIE-DICTAMEN-0001	RESULT-DC-ENDIREH-TABLA#serie_id=ENDIREH-COMUNITARIA-DENUNCIA-PAREJA-C1
ENDIREH-COMUNITARIA-DENUNCIA-PAREJA-C2	ENDIREH	genero	ENDIREH PISOS :: comunitaria_denuncia	pareja	C2	proporcion_0_1	SIN-SERIE	NINGUNA	1	2016		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENDIREH-SERIE-DICTAMEN-0001	RESULT-DC-ENDIREH-TABLA#serie_id=ENDIREH-COMUNITARIA-DENUNCIA-PAREJA-C2
ENDIREH-COMUNITARIA-EDAD-15-29-VENTANA-DESDE-OCTUBRE-2020	ENDIREH	genero	ENDIREH PISOS :: comunitaria	edad	15-29|VENTANA:desde_octubre_2020	proporcion_0_1	SIN-SERIE	NINGUNA	1	2021		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENDIREH-SERIE-DICTAMEN-0001	RESULT-DC-ENDIREH-TABLA#serie_id=ENDIREH-COMUNITARIA-EDAD-15-29-VENTANA-DESDE-OCTUBRE-2020
ENDIREH-COMUNITARIA-EDAD-15-29-VENTANA-VIDA	ENDIREH	genero	ENDIREH PISOS :: comunitaria	edad	15-29|VENTANA:vida	proporcion_0_1	SIN-SERIE	NINGUNA	1	2021		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENDIREH-SERIE-DICTAMEN-0001	RESULT-DC-ENDIREH-TABLA#serie_id=ENDIREH-COMUNITARIA-EDAD-15-29-VENTANA-VIDA
ENDIREH-COMUNITARIA-EDAD-30-44-VENTANA-DESDE-OCTUBRE-2020	ENDIREH	genero	ENDIREH PISOS :: comunitaria	edad	30-44|VENTANA:desde_octubre_2020	proporcion_0_1	SIN-SERIE	NINGUNA	1	2021		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENDIREH-SERIE-DICTAMEN-0001	RESULT-DC-ENDIREH-TABLA#serie_id=ENDIREH-COMUNITARIA-EDAD-30-44-VENTANA-DESDE-OCTUBRE-2020
ENDIREH-COMUNITARIA-EDAD-30-44-VENTANA-VIDA	ENDIREH	genero	ENDIREH PISOS :: comunitaria	edad	30-44|VENTANA:vida	proporcion_0_1	SIN-SERIE	NINGUNA	1	2021		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENDIREH-SERIE-DICTAMEN-0001	RESULT-DC-ENDIREH-TABLA#serie_id=ENDIREH-COMUNITARIA-EDAD-30-44-VENTANA-VIDA
ENDIREH-COMUNITARIA-EDAD-45-59-VENTANA-DESDE-OCTUBRE-2020	ENDIREH	genero	ENDIREH PISOS :: comunitaria	edad	45-59|VENTANA:desde_octubre_2020	proporcion_0_1	SIN-SERIE	NINGUNA	1	2021		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENDIREH-SERIE-DICTAMEN-0001	RESULT-DC-ENDIREH-TABLA#serie_id=ENDIREH-COMUNITARIA-EDAD-45-59-VENTANA-DESDE-OCTUBRE-2020
ENDIREH-COMUNITARIA-EDAD-45-59-VENTANA-VIDA	ENDIREH	genero	ENDIREH PISOS :: comunitaria	edad	45-59|VENTANA:vida	proporcion_0_1	SIN-SERIE	NINGUNA	1	2021		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENDIREH-SERIE-DICTAMEN-0001	RESULT-DC-ENDIREH-TABLA#serie_id=ENDIREH-COMUNITARIA-EDAD-45-59-VENTANA-VIDA
ENDIREH-COMUNITARIA-EDAD-60-VENTANA-DESDE-OCTUBRE-2020	ENDIREH	genero	ENDIREH PISOS :: comunitaria	edad	60+|VENTANA:desde_octubre_2020	proporcion_0_1	SIN-SERIE	NINGUNA	1	2021		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENDIREH-SERIE-DICTAMEN-0001	RESULT-DC-ENDIREH-TABLA#serie_id=ENDIREH-COMUNITARIA-EDAD-60-VENTANA-DESDE-OCTUBRE-2020
ENDIREH-COMUNITARIA-EDAD-60-VENTANA-VIDA	ENDIREH	genero	ENDIREH PISOS :: comunitaria	edad	60+|VENTANA:vida	proporcion_0_1	SIN-SERIE	NINGUNA	1	2021		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENDIREH-SERIE-DICTAMEN-0001	RESULT-DC-ENDIREH-TABLA#serie_id=ENDIREH-COMUNITARIA-EDAD-60-VENTANA-VIDA
ENDIREH-COMUNITARIA-ENTIDAD-01-VENTANA-DESDE-OCTUBRE-2020	ENDIREH	genero	ENDIREH PISOS :: comunitaria	entidad	01|VENTANA:desde_octubre_2020	proporcion_0_1	SIN-SERIE	NINGUNA	1	2021		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENDIREH-SERIE-DICTAMEN-0001	RESULT-DC-ENDIREH-TABLA#serie_id=ENDIREH-COMUNITARIA-ENTIDAD-01-VENTANA-DESDE-OCTUBRE-2020
ENDIREH-COMUNITARIA-ENTIDAD-01-VENTANA-VIDA	ENDIREH	genero	ENDIREH PISOS :: comunitaria	entidad	01|VENTANA:vida	proporcion_0_1	SIN-SERIE	NINGUNA	1	2021		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENDIREH-SERIE-DICTAMEN-0001	RESULT-DC-ENDIREH-TABLA#serie_id=ENDIREH-COMUNITARIA-ENTIDAD-01-VENTANA-VIDA
ENDIREH-COMUNITARIA-ENTIDAD-02-VENTANA-DESDE-OCTUBRE-2020	ENDIREH	genero	ENDIREH PISOS :: comunitaria	entidad	02|VENTANA:desde_octubre_2020	proporcion_0_1	SIN-SERIE	NINGUNA	1	2021		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENDIREH-SERIE-DICTAMEN-0001	RESULT-DC-ENDIREH-TABLA#serie_id=ENDIREH-COMUNITARIA-ENTIDAD-02-VENTANA-DESDE-OCTUBRE-2020
ENDIREH-COMUNITARIA-ENTIDAD-02-VENTANA-VIDA	ENDIREH	genero	ENDIREH PISOS :: comunitaria	entidad	02|VENTANA:vida	proporcion_0_1	SIN-SERIE	NINGUNA	1	2021		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENDIREH-SERIE-DICTAMEN-0001	RESULT-DC-ENDIREH-TABLA#serie_id=ENDIREH-COMUNITARIA-ENTIDAD-02-VENTANA-VIDA
ENDIREH-COMUNITARIA-ENTIDAD-03-VENTANA-DESDE-OCTUBRE-2020	ENDIREH	genero	ENDIREH PISOS :: comunitaria	entidad	03|VENTANA:desde_octubre_2020	proporcion_0_1	SIN-SERIE	NINGUNA	1	2021		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENDIREH-SERIE-DICTAMEN-0001	RESULT-DC-ENDIREH-TABLA#serie_id=ENDIREH-COMUNITARIA-ENTIDAD-03-VENTANA-DESDE-OCTUBRE-2020
ENDIREH-COMUNITARIA-ENTIDAD-03-VENTANA-VIDA	ENDIREH	genero	ENDIREH PISOS :: comunitaria	entidad	03|VENTANA:vida	proporcion_0_1	SIN-SERIE	NINGUNA	1	2021		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENDIREH-SERIE-DICTAMEN-0001	RESULT-DC-ENDIREH-TABLA#serie_id=ENDIREH-COMUNITARIA-ENTIDAD-03-VENTANA-VIDA
ENDIREH-COMUNITARIA-ENTIDAD-04-VENTANA-DESDE-OCTUBRE-2020	ENDIREH	genero	ENDIREH PISOS :: comunitaria	entidad	04|VENTANA:desde_octubre_2020	proporcion_0_1	SIN-SERIE	NINGUNA	1	2021		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENDIREH-SERIE-DICTAMEN-0001	RESULT-DC-ENDIREH-TABLA#serie_id=ENDIREH-COMUNITARIA-ENTIDAD-04-VENTANA-DESDE-OCTUBRE-2020
ENDIREH-COMUNITARIA-ENTIDAD-04-VENTANA-VIDA	ENDIREH	genero	ENDIREH PISOS :: comunitaria	entidad	04|VENTANA:vida	proporcion_0_1	SIN-SERIE	NINGUNA	1	2021		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENDIREH-SERIE-DICTAMEN-0001	RESULT-DC-ENDIREH-TABLA#serie_id=ENDIREH-COMUNITARIA-ENTIDAD-04-VENTANA-VIDA
ENDIREH-COMUNITARIA-ENTIDAD-05-VENTANA-DESDE-OCTUBRE-2020	ENDIREH	genero	ENDIREH PISOS :: comunitaria	entidad	05|VENTANA:desde_octubre_2020	proporcion_0_1	SIN-SERIE	NINGUNA	1	2021		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENDIREH-SERIE-DICTAMEN-0001	RESULT-DC-ENDIREH-TABLA#serie_id=ENDIREH-COMUNITARIA-ENTIDAD-05-VENTANA-DESDE-OCTUBRE-2020
ENDIREH-COMUNITARIA-ENTIDAD-05-VENTANA-VIDA	ENDIREH	genero	ENDIREH PISOS :: comunitaria	entidad	05|VENTANA:vida	proporcion_0_1	SIN-SERIE	NINGUNA	1	2021		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENDIREH-SERIE-DICTAMEN-0001	RESULT-DC-ENDIREH-TABLA#serie_id=ENDIREH-COMUNITARIA-ENTIDAD-05-VENTANA-VIDA
ENDIREH-COMUNITARIA-ENTIDAD-06-VENTANA-DESDE-OCTUBRE-2020	ENDIREH	genero	ENDIREH PISOS :: comunitaria	entidad	06|VENTANA:desde_octubre_2020	proporcion_0_1	SIN-SERIE	NINGUNA	1	2021		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENDIREH-SERIE-DICTAMEN-0001	RESULT-DC-ENDIREH-TABLA#serie_id=ENDIREH-COMUNITARIA-ENTIDAD-06-VENTANA-DESDE-OCTUBRE-2020
ENDIREH-COMUNITARIA-ENTIDAD-06-VENTANA-VIDA	ENDIREH	genero	ENDIREH PISOS :: comunitaria	entidad	06|VENTANA:vida	proporcion_0_1	SIN-SERIE	NINGUNA	1	2021		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENDIREH-SERIE-DICTAMEN-0001	RESULT-DC-ENDIREH-TABLA#serie_id=ENDIREH-COMUNITARIA-ENTIDAD-06-VENTANA-VIDA
ENDIREH-COMUNITARIA-ENTIDAD-07-VENTANA-DESDE-OCTUBRE-2020	ENDIREH	genero	ENDIREH PISOS :: comunitaria	entidad	07|VENTANA:desde_octubre_2020	proporcion_0_1	SIN-SERIE	NINGUNA	1	2021		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENDIREH-SERIE-DICTAMEN-0001	RESULT-DC-ENDIREH-TABLA#serie_id=ENDIREH-COMUNITARIA-ENTIDAD-07-VENTANA-DESDE-OCTUBRE-2020
ENDIREH-COMUNITARIA-ENTIDAD-07-VENTANA-VIDA	ENDIREH	genero	ENDIREH PISOS :: comunitaria	entidad	07|VENTANA:vida	proporcion_0_1	SIN-SERIE	NINGUNA	1	2021		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENDIREH-SERIE-DICTAMEN-0001	RESULT-DC-ENDIREH-TABLA#serie_id=ENDIREH-COMUNITARIA-ENTIDAD-07-VENTANA-VIDA
ENDIREH-COMUNITARIA-ENTIDAD-08-VENTANA-DESDE-OCTUBRE-2020	ENDIREH	genero	ENDIREH PISOS :: comunitaria	entidad	08|VENTANA:desde_octubre_2020	proporcion_0_1	SIN-SERIE	NINGUNA	1	2021		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENDIREH-SERIE-DICTAMEN-0001	RESULT-DC-ENDIREH-TABLA#serie_id=ENDIREH-COMUNITARIA-ENTIDAD-08-VENTANA-DESDE-OCTUBRE-2020
ENDIREH-COMUNITARIA-ENTIDAD-08-VENTANA-VIDA	ENDIREH	genero	ENDIREH PISOS :: comunitaria	entidad	08|VENTANA:vida	proporcion_0_1	SIN-SERIE	NINGUNA	1	2021		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENDIREH-SERIE-DICTAMEN-0001	RESULT-DC-ENDIREH-TABLA#serie_id=ENDIREH-COMUNITARIA-ENTIDAD-08-VENTANA-VIDA
ENDIREH-COMUNITARIA-ENTIDAD-09-VENTANA-DESDE-OCTUBRE-2020	ENDIREH	genero	ENDIREH PISOS :: comunitaria	entidad	09|VENTANA:desde_octubre_2020	proporcion_0_1	SIN-SERIE	NINGUNA	1	2021		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENDIREH-SERIE-DICTAMEN-0001	RESULT-DC-ENDIREH-TABLA#serie_id=ENDIREH-COMUNITARIA-ENTIDAD-09-VENTANA-DESDE-OCTUBRE-2020
ENDIREH-COMUNITARIA-ENTIDAD-09-VENTANA-VIDA	ENDIREH	genero	ENDIREH PISOS :: comunitaria	entidad	09|VENTANA:vida	proporcion_0_1	SIN-SERIE	NINGUNA	1	2021		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENDIREH-SERIE-DICTAMEN-0001	RESULT-DC-ENDIREH-TABLA#serie_id=ENDIREH-COMUNITARIA-ENTIDAD-09-VENTANA-VIDA
ENDIREH-COMUNITARIA-ENTIDAD-10-VENTANA-DESDE-OCTUBRE-2020	ENDIREH	genero	ENDIREH PISOS :: comunitaria	entidad	10|VENTANA:desde_octubre_2020	proporcion_0_1	SIN-SERIE	NINGUNA	1	2021		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENDIREH-SERIE-DICTAMEN-0001	RESULT-DC-ENDIREH-TABLA#serie_id=ENDIREH-COMUNITARIA-ENTIDAD-10-VENTANA-DESDE-OCTUBRE-2020
ENDIREH-COMUNITARIA-ENTIDAD-10-VENTANA-VIDA	ENDIREH	genero	ENDIREH PISOS :: comunitaria	entidad	10|VENTANA:vida	proporcion_0_1	SIN-SERIE	NINGUNA	1	2021		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENDIREH-SERIE-DICTAMEN-0001	RESULT-DC-ENDIREH-TABLA#serie_id=ENDIREH-COMUNITARIA-ENTIDAD-10-VENTANA-VIDA
ENDIREH-COMUNITARIA-ENTIDAD-11-VENTANA-DESDE-OCTUBRE-2020	ENDIREH	genero	ENDIREH PISOS :: comunitaria	entidad	11|VENTANA:desde_octubre_2020	proporcion_0_1	SIN-SERIE	NINGUNA	1	2021		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENDIREH-SERIE-DICTAMEN-0001	RESULT-DC-ENDIREH-TABLA#serie_id=ENDIREH-COMUNITARIA-ENTIDAD-11-VENTANA-DESDE-OCTUBRE-2020
ENDIREH-COMUNITARIA-ENTIDAD-11-VENTANA-VIDA	ENDIREH	genero	ENDIREH PISOS :: comunitaria	entidad	11|VENTANA:vida	proporcion_0_1	SIN-SERIE	NINGUNA	1	2021		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENDIREH-SERIE-DICTAMEN-0001	RESULT-DC-ENDIREH-TABLA#serie_id=ENDIREH-COMUNITARIA-ENTIDAD-11-VENTANA-VIDA
ENDIREH-COMUNITARIA-ENTIDAD-12-VENTANA-DESDE-OCTUBRE-2020	ENDIREH	genero	ENDIREH PISOS :: comunitaria	entidad	12|VENTANA:desde_octubre_2020	proporcion_0_1	SIN-SERIE	NINGUNA	1	2021		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENDIREH-SERIE-DICTAMEN-0001	RESULT-DC-ENDIREH-TABLA#serie_id=ENDIREH-COMUNITARIA-ENTIDAD-12-VENTANA-DESDE-OCTUBRE-2020
ENDIREH-COMUNITARIA-ENTIDAD-12-VENTANA-VIDA	ENDIREH	genero	ENDIREH PISOS :: comunitaria	entidad	12|VENTANA:vida	proporcion_0_1	SIN-SERIE	NINGUNA	1	2021		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENDIREH-SERIE-DICTAMEN-0001	RESULT-DC-ENDIREH-TABLA#serie_id=ENDIREH-COMUNITARIA-ENTIDAD-12-VENTANA-VIDA
ENDIREH-COMUNITARIA-ENTIDAD-13-VENTANA-DESDE-OCTUBRE-2020	ENDIREH	genero	ENDIREH PISOS :: comunitaria	entidad	13|VENTANA:desde_octubre_2020	proporcion_0_1	SIN-SERIE	NINGUNA	1	2021		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENDIREH-SERIE-DICTAMEN-0001	RESULT-DC-ENDIREH-TABLA#serie_id=ENDIREH-COMUNITARIA-ENTIDAD-13-VENTANA-DESDE-OCTUBRE-2020
ENDIREH-COMUNITARIA-ENTIDAD-13-VENTANA-VIDA	ENDIREH	genero	ENDIREH PISOS :: comunitaria	entidad	13|VENTANA:vida	proporcion_0_1	SIN-SERIE	NINGUNA	1	2021		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENDIREH-SERIE-DICTAMEN-0001	RESULT-DC-ENDIREH-TABLA#serie_id=ENDIREH-COMUNITARIA-ENTIDAD-13-VENTANA-VIDA
ENDIREH-COMUNITARIA-ENTIDAD-14-VENTANA-DESDE-OCTUBRE-2020	ENDIREH	genero	ENDIREH PISOS :: comunitaria	entidad	14|VENTANA:desde_octubre_2020	proporcion_0_1	SIN-SERIE	NINGUNA	1	2021		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENDIREH-SERIE-DICTAMEN-0001	RESULT-DC-ENDIREH-TABLA#serie_id=ENDIREH-COMUNITARIA-ENTIDAD-14-VENTANA-DESDE-OCTUBRE-2020
ENDIREH-COMUNITARIA-ENTIDAD-14-VENTANA-VIDA	ENDIREH	genero	ENDIREH PISOS :: comunitaria	entidad	14|VENTANA:vida	proporcion_0_1	SIN-SERIE	NINGUNA	1	2021		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENDIREH-SERIE-DICTAMEN-0001	RESULT-DC-ENDIREH-TABLA#serie_id=ENDIREH-COMUNITARIA-ENTIDAD-14-VENTANA-VIDA
ENDIREH-COMUNITARIA-ENTIDAD-15-VENTANA-DESDE-OCTUBRE-2020	ENDIREH	genero	ENDIREH PISOS :: comunitaria	entidad	15|VENTANA:desde_octubre_2020	proporcion_0_1	SIN-SERIE	NINGUNA	1	2021		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENDIREH-SERIE-DICTAMEN-0001	RESULT-DC-ENDIREH-TABLA#serie_id=ENDIREH-COMUNITARIA-ENTIDAD-15-VENTANA-DESDE-OCTUBRE-2020
