conducta	ola	ambito	ventana	instrumento	dictamen	publicacion_nacional	calc_id	result_id	resultados_sha256	evidencia
pareja_emocional_control_vida	2011	pareja		A/B/C según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
pareja_fisica_desde_octubre_2010	2011	pareja		A/B/C según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
pareja_fisica_vida	2011	pareja		A/B/C según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
pareja_informo_familia	2011	pareja		A/B/C según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
pareja_institucion_01	2011	pareja		A/B/C según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
pareja_institucion_02	2011	pareja		A/B/C según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
pareja_institucion_03	2011	pareja		A/B/C según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
pareja_institucion_04	2011	pareja		A/B/C según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
pareja_institucion_05	2011	pareja		A/B/C según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
pareja_institucion_06	2011	pareja		A/B/C según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
pareja_razon_01	2011	pareja		A/B/C según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
pareja_razon_02	2011	pareja		A/B/C según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
pareja_razon_03	2011	pareja		A/B/C según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
pareja_razon_04	2011	pareja		A/B/C según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
pareja_razon_05	2011	pareja		A/B/C según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
pareja_razon_06	2011	pareja		A/B/C según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
pareja_razon_07	2011	pareja		A/B/C según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
pareja_razon_08	2011	pareja		A/B/C según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
pareja_razon_09	2011	pareja		A/B/C según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
pareja_razon_10	2011	pareja		A/B/C según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
pareja_razon_11	2011	pareja		A/B/C según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
pareja_razon_12	2011	pareja		A/B/C según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
pareja_razon_13	2011	pareja		A/B/C según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
pareja_sexual_desde_octubre_2010	2011	pareja		A/B/C según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
pareja_sexual_vida	2011	pareja		A/B/C según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
comunitaria_ayuda	2016	comunitario		A1/A2/B1/B2/C1/C2 según elegibilidad	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2016-RESTANTES-0001	RESULT-ENDIREH2016-REST-TABLA	15bc446bc8dc1efc182b770d53726e842db71eeeab9a16ff1cad36eda0a06388	spec.md + RESULT sellado
comunitaria_denuncia	2016	comunitario		A1/A2/B1/B2/C1/C2 según elegibilidad	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2016-RESTANTES-0001	RESULT-ENDIREH2016-REST-TABLA	15bc446bc8dc1efc182b770d53726e842db71eeeab9a16ff1cad36eda0a06388	spec.md + RESULT sellado
comunitaria_institucion_01	2016	comunitario		A1/A2/B1/B2/C1/C2 según elegibilidad	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2016-RESTANTES-0001	RESULT-ENDIREH2016-REST-TABLA	15bc446bc8dc1efc182b770d53726e842db71eeeab9a16ff1cad36eda0a06388	spec.md + RESULT sellado
comunitaria_institucion_02	2016	comunitario		A1/A2/B1/B2/C1/C2 según elegibilidad	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2016-RESTANTES-0001	RESULT-ENDIREH2016-REST-TABLA	15bc446bc8dc1efc182b770d53726e842db71eeeab9a16ff1cad36eda0a06388	spec.md + RESULT sellado
comunitaria_institucion_03	2016	comunitario		A1/A2/B1/B2/C1/C2 según elegibilidad	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2016-RESTANTES-0001	RESULT-ENDIREH2016-REST-TABLA	15bc446bc8dc1efc182b770d53726e842db71eeeab9a16ff1cad36eda0a06388	spec.md + RESULT sellado
comunitaria_institucion_04	2016	comunitario		A1/A2/B1/B2/C1/C2 según elegibilidad	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2016-RESTANTES-0001	RESULT-ENDIREH2016-REST-TABLA	15bc446bc8dc1efc182b770d53726e842db71eeeab9a16ff1cad36eda0a06388	spec.md + RESULT sellado
comunitaria_institucion_05	2016	comunitario		A1/A2/B1/B2/C1/C2 según elegibilidad	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2016-RESTANTES-0001	RESULT-ENDIREH2016-REST-TABLA	15bc446bc8dc1efc182b770d53726e842db71eeeab9a16ff1cad36eda0a06388	spec.md + RESULT sellado
comunitaria_institucion_06	2016	comunitario		A1/A2/B1/B2/C1/C2 según elegibilidad	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2016-RESTANTES-0001	RESULT-ENDIREH2016-REST-TABLA	15bc446bc8dc1efc182b770d53726e842db71eeeab9a16ff1cad36eda0a06388	spec.md + RESULT sellado
comunitaria_institucion_07	2016	comunitario		A1/A2/B1/B2/C1/C2 según elegibilidad	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2016-RESTANTES-0001	RESULT-ENDIREH2016-REST-TABLA	15bc446bc8dc1efc182b770d53726e842db71eeeab9a16ff1cad36eda0a06388	spec.md + RESULT sellado
comunitaria_institucion_08	2016	comunitario		A1/A2/B1/B2/C1/C2 según elegibilidad	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2016-RESTANTES-0001	RESULT-ENDIREH2016-REST-TABLA	15bc446bc8dc1efc182b770d53726e842db71eeeab9a16ff1cad36eda0a06388	spec.md + RESULT sellado
comunitaria_institucion_09	2016	comunitario		A1/A2/B1/B2/C1/C2 según elegibilidad	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2016-RESTANTES-0001	RESULT-ENDIREH2016-REST-TABLA	15bc446bc8dc1efc182b770d53726e842db71eeeab9a16ff1cad36eda0a06388	spec.md + RESULT sellado
comunitaria_institucion_10	2016	comunitario		A1/A2/B1/B2/C1/C2 según elegibilidad	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2016-RESTANTES-0001	RESULT-ENDIREH2016-REST-TABLA	15bc446bc8dc1efc182b770d53726e842db71eeeab9a16ff1cad36eda0a06388	spec.md + RESULT sellado
comunitaria_razon_01	2016	comunitario		A1/A2/B1/B2/C1/C2 según elegibilidad	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2016-RESTANTES-0001	RESULT-ENDIREH2016-REST-TABLA	15bc446bc8dc1efc182b770d53726e842db71eeeab9a16ff1cad36eda0a06388	spec.md + RESULT sellado
comunitaria_razon_02	2016	comunitario		A1/A2/B1/B2/C1/C2 según elegibilidad	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2016-RESTANTES-0001	RESULT-ENDIREH2016-REST-TABLA	15bc446bc8dc1efc182b770d53726e842db71eeeab9a16ff1cad36eda0a06388	spec.md + RESULT sellado
comunitaria_razon_03	2016	comunitario		A1/A2/B1/B2/C1/C2 según elegibilidad	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2016-RESTANTES-0001	RESULT-ENDIREH2016-REST-TABLA	15bc446bc8dc1efc182b770d53726e842db71eeeab9a16ff1cad36eda0a06388	spec.md + RESULT sellado
comunitaria_razon_04	2016	comunitario		A1/A2/B1/B2/C1/C2 según elegibilidad	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2016-RESTANTES-0001	RESULT-ENDIREH2016-REST-TABLA	15bc446bc8dc1efc182b770d53726e842db71eeeab9a16ff1cad36eda0a06388	spec.md + RESULT sellado
comunitaria_razon_05	2016	comunitario		A1/A2/B1/B2/C1/C2 según elegibilidad	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2016-RESTANTES-0001	RESULT-ENDIREH2016-REST-TABLA	15bc446bc8dc1efc182b770d53726e842db71eeeab9a16ff1cad36eda0a06388	spec.md + RESULT sellado
comunitaria_razon_06	2016	comunitario		A1/A2/B1/B2/C1/C2 según elegibilidad	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2016-RESTANTES-0001	RESULT-ENDIREH2016-REST-TABLA	15bc446bc8dc1efc182b770d53726e842db71eeeab9a16ff1cad36eda0a06388	spec.md + RESULT sellado
comunitaria_razon_07	2016	comunitario		A1/A2/B1/B2/C1/C2 según elegibilidad	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2016-RESTANTES-0001	RESULT-ENDIREH2016-REST-TABLA	15bc446bc8dc1efc182b770d53726e842db71eeeab9a16ff1cad36eda0a06388	spec.md + RESULT sellado
comunitaria_razon_08	2016	comunitario		A1/A2/B1/B2/C1/C2 según elegibilidad	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2016-RESTANTES-0001	RESULT-ENDIREH2016-REST-TABLA	15bc446bc8dc1efc182b770d53726e842db71eeeab9a16ff1cad36eda0a06388	spec.md + RESULT sellado
comunitaria_razon_09	2016	comunitario		A1/A2/B1/B2/C1/C2 según elegibilidad	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2016-RESTANTES-0001	RESULT-ENDIREH2016-REST-TABLA	15bc446bc8dc1efc182b770d53726e842db71eeeab9a16ff1cad36eda0a06388	spec.md + RESULT sellado
comunitaria_razon_10	2016	comunitario		A1/A2/B1/B2/C1/C2 según elegibilidad	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2016-RESTANTES-0001	RESULT-ENDIREH2016-REST-TABLA	15bc446bc8dc1efc182b770d53726e842db71eeeab9a16ff1cad36eda0a06388	spec.md + RESULT sellado
comunitaria_razon_11	2016	comunitario		A1/A2/B1/B2/C1/C2 según elegibilidad	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2016-RESTANTES-0001	RESULT-ENDIREH2016-REST-TABLA	15bc446bc8dc1efc182b770d53726e842db71eeeab9a16ff1cad36eda0a06388	spec.md + RESULT sellado
comunitaria_reciente	2016	comunitario		A1/A2/B1/B2/C1/C2 según elegibilidad	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2016-RESTANTES-0001	RESULT-ENDIREH2016-REST-TABLA	15bc446bc8dc1efc182b770d53726e842db71eeeab9a16ff1cad36eda0a06388	spec.md + RESULT sellado
comunitaria_vida	2016	comunitario		A1/A2/B1/B2/C1/C2 según elegibilidad	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2016-RESTANTES-0001	RESULT-ENDIREH2016-REST-TABLA	15bc446bc8dc1efc182b770d53726e842db71eeeab9a16ff1cad36eda0a06388	spec.md + RESULT sellado
despido_embarazo	2016	discriminacion_laboral	octubre_2011_a_entrevista	A1/A2/B1/B2/C1/C2 según elegibilidad	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2016-DISCRIMINACION-0001	RESULT-ENDIREH2016-DIS-TABLA	9478e84886d372142ff7635143516d9eca7faffd285934e6cca2e6f95c93ebd6	spec.md + RESULT sellado
embarazo_no_ocurrido_como_no_discriminacion	2016	discriminacion_laboral	2011–entrevista	no embarazada	EXCLUIDO_POR_DISEÑO	NO_APLICA				Código 3 de 7.3 indica no estuvo embarazada, fuera del denominador entre embarazadas
no_renovacion_embarazo	2016	discriminacion_laboral	octubre_2011_a_entrevista	A1/A2/B1/B2/C1/C2 según elegibilidad	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2016-DISCRIMINACION-0001	RESULT-ENDIREH2016-DIS-TABLA	9478e84886d372142ff7635143516d9eca7faffd285934e6cca2e6f95c93ebd6	spec.md + RESULT sellado
perjuicio_embarazo_alguno	2016	discriminacion_laboral	octubre_2011_a_entrevista	A1/A2/B1/B2/C1/C2 según elegibilidad	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2016-DISCRIMINACION-0001	RESULT-ENDIREH2016-DIS-TABLA	9478e84886d372142ff7635143516d9eca7faffd285934e6cca2e6f95c93ebd6	spec.md + RESULT sellado
prueba_alguna	2016	discriminacion_laboral	octubre_2011_a_entrevista	A1/A2/B1/B2/C1/C2 según elegibilidad	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2016-DISCRIMINACION-0001	RESULT-ENDIREH2016-DIS-TABLA	9478e84886d372142ff7635143516d9eca7faffd285934e6cca2e6f95c93ebd6	spec.md + RESULT sellado
prueba_continuidad	2016	discriminacion_laboral	octubre_2011_a_entrevista	A1/A2/B1/B2/C1/C2 según elegibilidad	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2016-DISCRIMINACION-0001	RESULT-ENDIREH2016-DIS-TABLA	9478e84886d372142ff7635143516d9eca7faffd285934e6cca2e6f95c93ebd6	spec.md + RESULT sellado
prueba_ingreso	2016	discriminacion_laboral	octubre_2011_a_entrevista	A1/A2/B1/B2/C1/C2 según elegibilidad	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2016-DISCRIMINACION-0001	RESULT-ENDIREH2016-DIS-TABLA	9478e84886d372142ff7635143516d9eca7faffd285934e6cca2e6f95c93ebd6	spec.md + RESULT sellado
reduccion_embarazo	2016	discriminacion_laboral	octubre_2011_a_entrevista	A1/A2/B1/B2/C1/C2 según elegibilidad	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2016-DISCRIMINACION-0001	RESULT-ENDIREH2016-DIS-TABLA	9478e84886d372142ff7635143516d9eca7faffd285934e6cca2e6f95c93ebd6	spec.md + RESULT sellado
decision_ahorro	2016	economia_decisiones		A1/A2	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2016-RESTANTES-0001	RESULT-ENDIREH2016-REST-TABLA	15bc446bc8dc1efc182b770d53726e842db71eeeab9a16ff1cad36eda0a06388	spec.md + RESULT sellado
decision_gasto	2016	economia_decisiones		A1/A2	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2016-RESTANTES-0001	RESULT-ENDIREH2016-REST-TABLA	15bc446bc8dc1efc182b770d53726e842db71eeeab9a16ff1cad36eda0a06388	spec.md + RESULT sellado
decision_su_dinero	2016	economia_decisiones		A1/A2	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2016-RESTANTES-0001	RESULT-ENDIREH2016-REST-TABLA	15bc446bc8dc1efc182b770d53726e842db71eeeab9a16ff1cad36eda0a06388	spec.md + RESULT sellado
dinero_libre	2016	economia_decisiones		A1/A2	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2016-RESTANTES-0001	RESULT-ENDIREH2016-REST-TABLA	15bc446bc8dc1efc182b770d53726e842db71eeeab9a16ff1cad36eda0a06388	spec.md + RESULT sellado
escolar_ayuda	2016	escolar		A1/A2/B1/B2/C1/C2 según elegibilidad	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2016-RESTANTES-0001	RESULT-ENDIREH2016-REST-TABLA	15bc446bc8dc1efc182b770d53726e842db71eeeab9a16ff1cad36eda0a06388	spec.md + RESULT sellado
escolar_denuncia	2016	escolar		A1/A2/B1/B2/C1/C2 según elegibilidad	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2016-RESTANTES-0001	RESULT-ENDIREH2016-REST-TABLA	15bc446bc8dc1efc182b770d53726e842db71eeeab9a16ff1cad36eda0a06388	spec.md + RESULT sellado
escolar_institucion_01	2016	escolar		A1/A2/B1/B2/C1/C2 según elegibilidad	MEDIDO	SUPRIMIDA	CALC-ENDIREH-PISOS-2016-RESTANTES-0001	RESULT-ENDIREH2016-REST-TABLA	15bc446bc8dc1efc182b770d53726e842db71eeeab9a16ff1cad36eda0a06388	spec.md + RESULT sellado
escolar_institucion_02	2016	escolar		A1/A2/B1/B2/C1/C2 según elegibilidad	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2016-RESTANTES-0001	RESULT-ENDIREH2016-REST-TABLA	15bc446bc8dc1efc182b770d53726e842db71eeeab9a16ff1cad36eda0a06388	spec.md + RESULT sellado
escolar_institucion_03	2016	escolar		A1/A2/B1/B2/C1/C2 según elegibilidad	MEDIDO	SUPRIMIDA	CALC-ENDIREH-PISOS-2016-RESTANTES-0001	RESULT-ENDIREH2016-REST-TABLA	15bc446bc8dc1efc182b770d53726e842db71eeeab9a16ff1cad36eda0a06388	spec.md + RESULT sellado
escolar_institucion_04	2016	escolar		A1/A2/B1/B2/C1/C2 según elegibilidad	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2016-RESTANTES-0001	RESULT-ENDIREH2016-REST-TABLA	15bc446bc8dc1efc182b770d53726e842db71eeeab9a16ff1cad36eda0a06388	spec.md + RESULT sellado
escolar_institucion_05	2016	escolar		A1/A2/B1/B2/C1/C2 según elegibilidad	MEDIDO	SUPRIMIDA	CALC-ENDIREH-PISOS-2016-RESTANTES-0001	RESULT-ENDIREH2016-REST-TABLA	15bc446bc8dc1efc182b770d53726e842db71eeeab9a16ff1cad36eda0a06388	spec.md + RESULT sellado
escolar_institucion_06	2016	escolar		A1/A2/B1/B2/C1/C2 según elegibilidad	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2016-RESTANTES-0001	RESULT-ENDIREH2016-REST-TABLA	15bc446bc8dc1efc182b770d53726e842db71eeeab9a16ff1cad36eda0a06388	spec.md + RESULT sellado
escolar_institucion_07	2016	escolar		A1/A2/B1/B2/C1/C2 según elegibilidad	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2016-RESTANTES-0001	RESULT-ENDIREH2016-REST-TABLA	15bc446bc8dc1efc182b770d53726e842db71eeeab9a16ff1cad36eda0a06388	spec.md + RESULT sellado
escolar_institucion_08	2016	escolar		A1/A2/B1/B2/C1/C2 según elegibilidad	MEDIDO	SUPRIMIDA	CALC-ENDIREH-PISOS-2016-RESTANTES-0001	RESULT-ENDIREH2016-REST-TABLA	15bc446bc8dc1efc182b770d53726e842db71eeeab9a16ff1cad36eda0a06388	spec.md + RESULT sellado
escolar_institucion_09	2016	escolar		A1/A2/B1/B2/C1/C2 según elegibilidad	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2016-RESTANTES-0001	RESULT-ENDIREH2016-REST-TABLA	15bc446bc8dc1efc182b770d53726e842db71eeeab9a16ff1cad36eda0a06388	spec.md + RESULT sellado
escolar_institucion_10	2016	escolar		A1/A2/B1/B2/C1/C2 según elegibilidad	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2016-RESTANTES-0001	RESULT-ENDIREH2016-REST-TABLA	15bc446bc8dc1efc182b770d53726e842db71eeeab9a16ff1cad36eda0a06388	spec.md + RESULT sellado
escolar_razon_01	2016	escolar		A1/A2/B1/B2/C1/C2 según elegibilidad	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2016-RESTANTES-0001	RESULT-ENDIREH2016-REST-TABLA	15bc446bc8dc1efc182b770d53726e842db71eeeab9a16ff1cad36eda0a06388	spec.md + RESULT sellado
escolar_razon_02	2016	escolar		A1/A2/B1/B2/C1/C2 según elegibilidad	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2016-RESTANTES-0001	RESULT-ENDIREH2016-REST-TABLA	15bc446bc8dc1efc182b770d53726e842db71eeeab9a16ff1cad36eda0a06388	spec.md + RESULT sellado
escolar_razon_03	2016	escolar		A1/A2/B1/B2/C1/C2 según elegibilidad	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2016-RESTANTES-0001	RESULT-ENDIREH2016-REST-TABLA	15bc446bc8dc1efc182b770d53726e842db71eeeab9a16ff1cad36eda0a06388	spec.md + RESULT sellado
escolar_razon_04	2016	escolar		A1/A2/B1/B2/C1/C2 según elegibilidad	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2016-RESTANTES-0001	RESULT-ENDIREH2016-REST-TABLA	15bc446bc8dc1efc182b770d53726e842db71eeeab9a16ff1cad36eda0a06388	spec.md + RESULT sellado
escolar_razon_05	2016	escolar		A1/A2/B1/B2/C1/C2 según elegibilidad	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2016-RESTANTES-0001	RESULT-ENDIREH2016-REST-TABLA	15bc446bc8dc1efc182b770d53726e842db71eeeab9a16ff1cad36eda0a06388	spec.md + RESULT sellado
escolar_razon_06	2016	escolar		A1/A2/B1/B2/C1/C2 según elegibilidad	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2016-RESTANTES-0001	RESULT-ENDIREH2016-REST-TABLA	15bc446bc8dc1efc182b770d53726e842db71eeeab9a16ff1cad36eda0a06388	spec.md + RESULT sellado
escolar_razon_07	2016	escolar		A1/A2/B1/B2/C1/C2 según elegibilidad	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2016-RESTANTES-0001	RESULT-ENDIREH2016-REST-TABLA	15bc446bc8dc1efc182b770d53726e842db71eeeab9a16ff1cad36eda0a06388	spec.md + RESULT sellado
escolar_razon_08	2016	escolar		A1/A2/B1/B2/C1/C2 según elegibilidad	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2016-RESTANTES-0001	RESULT-ENDIREH2016-REST-TABLA	15bc446bc8dc1efc182b770d53726e842db71eeeab9a16ff1cad36eda0a06388	spec.md + RESULT sellado
escolar_razon_09	2016	escolar		A1/A2/B1/B2/C1/C2 según elegibilidad	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2016-RESTANTES-0001	RESULT-ENDIREH2016-REST-TABLA	15bc446bc8dc1efc182b770d53726e842db71eeeab9a16ff1cad36eda0a06388	spec.md + RESULT sellado
escolar_razon_10	2016	escolar		A1/A2/B1/B2/C1/C2 según elegibilidad	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2016-RESTANTES-0001	RESULT-ENDIREH2016-REST-TABLA	15bc446bc8dc1efc182b770d53726e842db71eeeab9a16ff1cad36eda0a06388	spec.md + RESULT sellado
escolar_razon_11	2016	escolar		A1/A2/B1/B2/C1/C2 según elegibilidad	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2016-RESTANTES-0001	RESULT-ENDIREH2016-REST-TABLA	15bc446bc8dc1efc182b770d53726e842db71eeeab9a16ff1cad36eda0a06388	spec.md + RESULT sellado
escolar_reciente	2016	escolar		A1/A2/B1/B2/C1/C2 según elegibilidad	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2016-RESTANTES-0001	RESULT-ENDIREH2016-REST-TABLA	15bc446bc8dc1efc182b770d53726e842db71eeeab9a16ff1cad36eda0a06388	spec.md + RESULT sellado
