fuente_canonica	nombre	institucion	dominios	operable	microdatos	acceso	n_urls_portal	slug_portal	n_payloads_disco	n_payloads_integros	reglas_que_gatea	estado_cobertura
PUB	Padrón Único de Beneficiarios de Bienestar	Secretaría de Bienestar `[verificado]`.	clase-fuente	no	?	?	0		1	0	R7.3	EN-DISCO-SIN-VERIFICAR
REDECO	REDECO, REUNE y Buró de Entidades Financieras	Comisión Nacional para la Protección y Defensa de los Usuarios de Servicios Financieros (CONDUSEF).	credito-ahorro-finanzas-hogar	no	?	?	0		0	0		NO-EN-ESTE-APARTADO
REGISTRO ADMINISTRATIVO DE ASO	Registro administrativo de asociaciones religiosas	Secretaría de Gobernación (SEGOB), Subsecretaría de Desarrollo Democrático, Participación Social y Asuntos Religiosos.	cultura_valores_opinion	no	?	?	0		0	0		NO-EN-ESTE-APARTADO
REGISTROS ADMINISTRATIVOS DE E	Registros administrativos de estadísticas vitales y nupcialidad	INEGI, a partir de actas del Registro Civil y de la Secretaría de Salud (SINAC/SEED para nacimientos).	uso_del_tiempo_cuidados_hogar	sí	sí	sí	0		0	0		NO-EN-ESTE-APARTADO
REGISTROS ADMINISTRATIVOS DE S	Registros administrativos de servicios de cuidado infantil y asistencia social	IMSS; SNDIF; Secretaría de Bienestar; en su caso, ISSSTE.	uso_del_tiempo_cuidados_hogar	no	?	?	0		0	0		NO-EN-ESTE-APARTADO
RESULTADOS Y ESTADÍSTICA ELECT	Resultados y estadística electoral	INE.	cultura_valores_opinion	no	?	?	0		0	0		NO-EN-ESTE-APARTADO
RFOSC / CLUNI	Registro Federal de las Organizaciones de la Sociedad Civil	Originalmente INDESOL, conforme a la Ley Federal de Fomento a las Actividades Realizadas por Organizaciones de la Sociedad Civil. Tras la extinción del INDESOL la operación pasó a la Secretaría de Bienestar; cadena institucional y fecha del traspaso **no verificadas**	capital_social	no	?	sí	0		0	0		NO-EN-ESTE-APARTADO
RNID	Registro Nacional de Incidencia Delictiva	Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública (SESNSP), órgano desconcentrado de la Secretaría de Gobernación. Informantes: fiscalías y procuradurías de las 32 entidades y la FGR.	seguridad_justicia	no	no	sí	0		0	0		NO-EN-ESTE-APARTADO
RNPDNO	Registro Nacional de Personas Desaparecidas y No Localizadas	Comisión Nacional de Búsqueda de Personas (CNB), Secretaría de Gobernación.	seguridad_justicia	no	?	sí	0		0	0		NO-EN-ESTE-APARTADO
SAR	Estadísticas del Sistema de Ahorro para el Retiro	Comisión Nacional del Sistema de Ahorro para el Retiro (CONSAR).	credito-ahorro-finanzas-hogar	no	no	sí	0		0	0		NO-EN-ESTE-APARTADO
SERIES DERIVADAS Y COMPILACION	Series derivadas y compilaciones de terceros	Múltiples (entrada-bundle, sin institución única): UISP/INSP; CONEVAL; Plataforma Nacional de Datos Abiertos; repositorios internacionales (OMS, OPS, Banco Mundial, IHME/GBD, OCDE)	salud	no	?	?	0		0	0		NO-EN-ESTE-APARTADO
SIE	Sistema de Información Económica	Banco de México.	credito-ahorro-finanzas-hogar	no	no	?	0		0	0		NO-EN-ESTE-APARTADO
SINERHIAS	Subsistema de Información de Equipamiento, Recursos Humanos e Infraestructura	Dirección General de Información en Salud (DGIS), Secretaría de Salud `[verificado]`.	clase-fuente	no	?	sí	0		0	0		NO-EN-ESTE-APARTADO
SISAI 20	Plataforma Nacional de Transparencia	Antes INAI y organismos garantes locales. Ahora la Secretaría Anticorrupción y Buen Gobierno administra, implementa y pone en funcionamiento la PNT, con Transparencia para el Pueblo a cargo de administrarla y supervisarla	tramites_estado	no	?	?	0		0	0		NO-EN-ESTE-APARTADO
SISVEA	Sistema de Vigilancia Epidemiológica de las Adicciones	Dirección General de Epidemiología (DGE) / Dirección de Investigación Epidemiológica (DIE), Secretaría de Salud `[verificado]`. Información complementaria concentrada por CONASAMA `[verificado]`.	salud	no	?	sí	0		0	0		NO-EN-ESTE-APARTADO
UPMRIP	Boletines estadísticos de la Unidad de Política Migratoria, Registro e Identidad de Personas	UPMRIP, Subsecretaría de Derechos Humanos, Población y Migración, SEGOB. Con base en registros administrativos del Instituto Nacional de Migración generados en puntos de internación, oficinas y estaciones migratorias	migracion	no	no	sí	0		0	0		NO-EN-ESTE-APARTADO
VABCOEL	Valor Agregado Bruto del Comercio Electrónico	INEGI. Medición de la economía digital; estadística derivada de tipo cuenta satélite.	tecnologia-digital	no	no	sí	0		0	0		NO-EN-ESTE-APARTADO
ÍNDICES DE INTENSIDAD MIGRATOR	Índices de intensidad migratoria México-Estados Unidos	Secretaría Técnica del CONAPO, SEGOB	migracion	no	no	sí	0		0	0		NO-EN-ESTE-APARTADO
ENGASTO	Encuesta Nacional de Gasto en los Hogares	INEGI	fuera-de-128-canonicas	no	indeterminado (2012-2013, no catalogado)	sin verificar en este acto	0		28	28		EN-DISCO-NO-CUBRE
ENASIC	Encuesta Nacional para el Sistema de Cuidados	INEGI	fuera-de-128-canonicas	no	indeterminado (2022, no catalogado)	sin verificar en este acto	0		3	3		EN-DISCO-NO-CUBRE
ECCO	Reporte General ECCO (SE) 2023	Secretaría de Economía	fuera-de-128-canonicas	no	no (percepción 0-100, no microdato persona)	sin verificar en este acto	0		1	1	R2.1; R10.2	EN-DISCO-NO-CUBRE
CONTRALORIA_SOCIAL_SICS	Sistema de Información de la Contraloría Social (SICS)	Función Pública	fuera-de-128-canonicas	no	indeterminado (nivel comité)	sin verificar en este acto	0		1	0	R8.1	EN-DISCO-SIN-VERIFICAR
ACLED_HDX	ACLED / Humanitarian Data Exchange — demonstration events México	ACLED / HDX (no gubernamental)	fuera-de-128-canonicas	no	no (eventos, no microdato persona)	sin verificar en este acto	0		1	1	R7.4; R7.5	EN-DISCO-NO-CUBRE
BANXICO	Series SPEI/CoDi (Banxico)	Banco de México	fuera-de-128-canonicas	no	no (series agregadas, no microdato persona)	sin verificar en este acto	0		0	0	R3.4	NO-EN-ESTE-APARTADO
