puerta	url	http_sin_override	http_con_override	cabecera_diagnostica	quien_puede	receta_manual	fuentes_que_sirve	fecha_sondeo	universo_declarado	estado_triaje
WorldBank_MEX_ParentalEmpowerment_2010_catalogo1039	https://microdata.worldbank.org/catalog/1039/study-description	200	no_probado (ya alcanzable sin override)	cf-ray presente sin cf-mitigated -- portada libre; "Get Microdata" exige login NADA	USUARIO_REGISTRO	Ir a https://microdata.worldbank.org/catalog/1039/get-microdata, iniciar sesion con la cuenta ya activa (jonieqsa@gmail.com) y descargar.	N28	2026-08-13	Sondeado en ACTO VERIFICA-PUERTAS (2026-08-13), evidencia fresca de esta sesion (curl -D -, GET -r 0-0 donde aplica). Misma cuenta NADA que catalogo 2661/2049 -- ya activa.	
openICPSR_Microcredit_MexicoPlacement_proj116334	https://www.openicpsr.org/openicpsr/project/116334/version/V1/view	403	403 (identico con dangerouslyDisableSandbox en SONDA-1)	cf-mitigated: challenge, server: cloudflare -- reto JS genuino	USUARIO_NAVEGADOR	Abrir https://www.openicpsr.org/openicpsr/project/116334/version/V1/view en un navegador real -- el reto Cloudflare se resuelve solo (JS). Verificar si pide cuenta openICPSR gratuita.	N3	2026-08-13	Sondeado en ACTO VERIFICA-PUERTAS (2026-08-13), evidencia fresca de esta sesion (curl -D -, GET -r 0-0 donde aplica). No confirmado aun si tras el reto pide registro (USUARIO_REGISTRO) o es descarga directa -- el reto bloquea antes de ver esa distincion.	
JPAL_CorruptionInformation_MexicoVoters_2009	https://www.povertyactionlab.org/evaluation/information-dissemination-campaign-and-voters-behavior-2009-municipal-elections-mexico	206	no_probado (ya alcanzable sin override)	content-range: bytes 0-0/30225; enlace de descarga directa .zip (545KB) ya verificado integro en SONDA-1	AGENTE		N25	2026-08-13	Sondeado en ACTO VERIFICA-PUERTAS (2026-08-13), evidencia fresca de esta sesion (curl -D -, GET -r 0-0 donde aplica).	
Zenodo_ElectoralPrecinctLevel_MexicoMunicipal	https://www.nature.com/articles/s41597-025-04918-9	nature.com sin -L=303 (bounce cookie-consent) / con -L=200; zenodo.org=200	no_probado (ya alcanzable sin override)	303 es el mismo bounce de cookie-consent que OSF_InteractingAsEquals, no un paywall; el dato real vive en Zenodo, ya verificado 1 archivo 739952144 bytes access_right=open en SONDA-1	AGENTE		N25	2026-08-13	Sondeado en ACTO VERIFICA-PUERTAS (2026-08-13), evidencia fresca de esta sesion (curl -D -, GET -r 0-0 donde aplica). Mismo patron que OSF: el 303 de nature.com no descalifica AGENTE, es cosmetico.	
Banxico_EncuestaCompetenciasFinancieras	https://www.banxico.org.mx/publicaciones-y-prensa/encuesta-de-competencias-financieras-de-la-poblaci/microdatos/competencias-financieras-mi.html	206	no_probado (ya alcanzable sin override)	content-range: bytes 0-0/16537; 6 enlaces .xlsx directos 2019-2024 ya verificados	AGENTE		N29	2026-08-13	Sondeado en ACTO VERIFICA-PUERTAS (2026-08-13), evidencia fresca de esta sesion (curl -D -, GET -r 0-0 donde aplica).	
OECD_TrustSurveyData	https://www.oecd.org/en/data/datasets/oecd-trust-survey-data.html	403	403 (identico con dangerouslyDisableSandbox en SONDA-1; confirmado persistente con UA de navegador hoy tambien)	cf-mitigated: challenge, server: cloudflare -- reto JS genuino, no cede a cambio de User-Agent (a diferencia de MCCI/PNT)	USUARIO_NAVEGADOR	Abrir https://www.oecd.org/en/data/datasets/oecd-trust-survey-data.html en un navegador real -- el reto Cloudflare se resuelve solo (JS). Verificar en data-explorer.oecd.org si el Trust Survey exige registro.	N30	2026-08-13	Sondeado en ACTO VERIFICA-PUERTAS (2026-08-13), evidencia fresca de esta sesion (curl -D -, GET -r 0-0 donde aplica). Distincion importante frente a MCCI/PNT: este SI trae cf-mitigated:challenge, y persiste con UA de navegador -- es reto JS real, no filtro de huella.	
Cenfri_MicroinsuranceMexico	https://cenfri.org/research-paper/price-and-information-type-in-life-microinsurance-demand-experimental-evidence-from-mexico/	403	403 (identico con dangerouslyDisableSandbox en SONDA-1)	cf-mitigated: challenge, server: cloudflare -- reto JS genuino	USUARIO_NAVEGADOR	Abrir la URL en un navegador real -- el reto Cloudflare se resuelve solo (JS). Cenfri es un think tank; el dataset real (si existe como microdato reusable) puede vivir en un repositorio externo citado dentro del PDF.	N21	2026-08-13	Sondeado en ACTO VERIFICA-PUERTAS (2026-08-13), evidencia fresca de esta sesion (curl -D -, GET -r 0-0 donde aplica). No confirmado si el "dataset" es microdato reusable o solo el paper -- el reto bloquea antes de verlo.	
ACLED		NO_PROBADO	NO_PROBADO	no aplica -- fuera de alcance de este acto (universo interno, no portal)	NO_PROBADO		N17,N27	2026-08-13	Fuera de alcance declarado de VERIFICA-PUERTAS (encargo SS3.2): sondearlas es un lote propio. Etiquetada NO_PROBADO en vez de NO-ENCONTRADO para no leerse como "no existe". Universo original: buscada en el puntero 2026-08-12 y en la cola-adquisicion-2026-08-12 por nombre exacto y por URL, 2026-08-13 (MAP-B)	ADQUIRIDO-PARCIAL
AHORRO FINANCIERO Y FINANCIAMI	https://pnif.cnbv.gob.mx/dnoticia/reporteahorrofinancieroyfinanciamientomarzo2025 (candidato por coincidencia de nombre truncado -- ver cabecera_diagnostica)	000 (curl 60: SSL unable to get local issuer certificate)	000 (identico con override -- mismo host/defecto que fila FINANZAS, no es artefacto de sandbox)	con -k (solo diagnostico): 200 real. Nombre truncado en la tabla original ("...FINANCIAMI", espacio en vez de guion bajo) resuelto por WebSearch a "Reporte de Ahorro Financiero y Financiamiento" (CNBV, PNIF) -- coincidencia de titulo, no de URL previamente registrada; mismo defecto de certificado que pnif.cnbv.gob.mx/ (fila FINANZAS)	AGENTE (con salvedad de certificado -- ver receta)	verificar en navegador real si el AIA fetching resuelve la cadena de certificado; identidad resuelta por coincidencia tematica, no por URL heredada	N19	2026-08-13	Fuera de alcance declarado de VERIFICA-PUERTAS (encargo SS3.2): sondearlas es un lote propio. Etiquetada NO_PROBADO en vez de NO-ENCONTRADO para no leerse como "no existe". Universo original: buscada en el puntero 2026-08-12 y en la cola-adquisicion-2026-08-12 por nombre exacto y por URL, 2026-08-13 (MAP-B) | Sondeo TRIAGE-63 COMMIT 2 (2026-08-13, SONDEO-COMPLETO segun ADR-80(a)/D-M): GET real, sin override primero, con override si fallo; URLs de mapa-fuentes-externas-consolidado-2026-08-06.tsv / mapa-ext-*-2026-08-06.tsv / cola-adquisicion-2026-08-12.tsv cuando existian, WebSearch cuando no.	CANDIDATA-A-SONDEO
BASE_DEL_OBSERVATORIO_DE_CONFLICTOS_POR_EL_AGUA	https://omca.imta.gob.mx/omca/acerca_ocam	200	no_probado (ya alcanzable sin override)	server: cloudflare, portada real (titulo: OMCA). Fuente: mapa-ext-civil-2026-08-06.tsv:5 (IMTA/OMCA)	AGENTE		N27	2026-08-13	Fuera de alcance declarado de VERIFICA-PUERTAS (encargo SS3.2): sondearlas es un lote propio. Etiquetada NO_PROBADO en vez de NO-ENCONTRADO para no leerse como "no existe". Universo original: buscada en el puntero 2026-08-12 y en la cola-adquisicion-2026-08-12 por nombre exacto y por URL, 2026-08-13 (MAP-B) | Sondeo TRIAGE-63 COMMIT 2 (2026-08-13, SONDEO-COMPLETO segun ADR-80(a)/D-M): GET real, sin override primero, con override si fallo; URLs de mapa-fuentes-externas-consolidado-2026-08-06.tsv / mapa-ext-*-2026-08-06.tsv / cola-adquisicion-2026-08-12.tsv cuando existian, WebSearch cuando no.	CANDIDATA-A-SONDEO
BASE_DE_EVENTOS_DE_PROTESTA_EN_MEXICO	https://laoms.org/	200	no_probado (ya alcanzable sin override)	server: Apache/2.4.68 (Debian), portada real (titulo: LAOMS). mapa-ext-civil-2026-08-06.tsv:3 ya declaraba "base restringida/no localizada para descarga" -- portal (portada) distinto de la base misma; no contradicho, no verificado aqui mas alla de la portada	AGENTE	revisar seccion de publicaciones/datos del sitio para la base misma, no solo la portada	N27	2026-08-13	Fuera de alcance declarado de VERIFICA-PUERTAS (encargo SS3.2): sondearlas es un lote propio. Etiquetada NO_PROBADO en vez de NO-ENCONTRADO para no leerse como "no existe". Universo original: buscada en el puntero 2026-08-12 y en la cola-adquisicion-2026-08-12 por nombre exacto y por URL, 2026-08-13 (MAP-B) | Sondeo TRIAGE-63 COMMIT 2 (2026-08-13, SONDEO-COMPLETO segun ADR-80(a)/D-M): GET real, sin override primero, con override si fallo; URLs de mapa-fuentes-externas-consolidado-2026-08-06.tsv / mapa-ext-*-2026-08-06.tsv / cola-adquisicion-2026-08-12.tsv cuando existian, WebSearch cuando no.	CANDIDATA-A-SONDEO
BDIF	https://www.gob.mx/cnbv/acciones-y-programas/bases-de-datos-de-inclusion-financiera	200	no_probado (ya alcanzable sin override)	portada real (h1: Bases de Datos de Inclusion Financiera). Coincide con mapa-ext-oficial-2026-08-06.tsv:EXT-OF-11 (BDIF trimestral, CNBV)	AGENTE		N19	2026-08-13	Fuera de alcance declarado de VERIFICA-PUERTAS (encargo SS3.2): sondearlas es un lote propio. Etiquetada NO_PROBADO en vez de NO-ENCONTRADO para no leerse como "no existe". Universo original: buscada en el puntero 2026-08-12 y en la cola-adquisicion-2026-08-12 por nombre exacto y por URL, 2026-08-13 (MAP-B) | Sondeo TRIAGE-63 COMMIT 2 (2026-08-13, SONDEO-COMPLETO segun ADR-80(a)/D-M): GET real, sin override primero, con override si fallo; URLs de mapa-fuentes-externas-consolidado-2026-08-06.tsv / mapa-ext-*-2026-08-06.tsv / cola-adquisicion-2026-08-12.tsv cuando existian, WebSearch cuando no.	CANDIDATA-A-SONDEO
BIARE		NO_PROBADO	NO_PROBADO	no aplica -- fuera de alcance de este acto (universo interno, no portal)	NO_PROBADO		N30	2026-08-13	Fuera de alcance declarado de VERIFICA-PUERTAS (encargo SS3.2): sondearlas es un lote propio. Etiquetada NO_PROBADO en vez de NO-ENCONTRADO para no leerse como "no existe". Universo original: buscada en el puntero 2026-08-12 y en la cola-adquisicion-2026-08-12 por nombre exacto y por URL, 2026-08-13 (MAP-B)	DUPLICADA-DE-FILA-RESUELTA
CANAL_DE_ADQUISICION_REFERIDOS_FINTECH		NO_PROBADO	NO_PROBADO	no aplica -- fuera de alcance de este acto (universo interno, no portal)	NO_PROBADO		N19	2026-08-13	Fuera de alcance declarado de VERIFICA-PUERTAS (encargo SS3.2): sondearlas es un lote propio. Etiquetada NO_PROBADO en vez de NO-ENCONTRADO para no leerse como "no existe". Universo original: buscada en el puntero 2026-08-12 y en la cola-adquisicion-2026-08-12 por nombre exacto y por URL, 2026-08-13 (MAP-B)	NO-RESOLUBLE-POR-NOMBRE
CCPV		NO_PROBADO	NO_PROBADO	no aplica -- fuera de alcance de este acto (universo interno, no portal)	NO_PROBADO		N31	2026-08-13	Fuera de alcance declarado de VERIFICA-PUERTAS (encargo SS3.2): sondearlas es un lote propio. Etiquetada NO_PROBADO en vez de NO-ENCONTRADO para no leerse como "no existe". Universo original: buscada en el puntero 2026-08-12 y en la cola-adquisicion-2026-08-12 por nombre exacto y por URL, 2026-08-13 (MAP-B)	ADQUIRIDO
CNGMD		NO_PROBADO	NO_PROBADO	no aplica -- fuera de alcance de este acto (universo interno, no portal)	NO_PROBADO		N28	2026-08-13	Fuera de alcance declarado de VERIFICA-PUERTAS (encargo SS3.2): sondearlas es un lote propio. Etiquetada NO_PROBADO en vez de NO-ENCONTRADO para no leerse como "no existe". Universo original: buscada en el puntero 2026-08-12 y en la cola-adquisicion-2026-08-12 por nombre exacto y por URL, 2026-08-13 (MAP-B)	DUPLICADA-DE-FILA-RESUELTA
COMPARATIVE_STUDY_OF_ELECTORAL_SYSTEMS_MEXICO_2018		NO_PROBADO	NO_PROBADO	no aplica -- fuera de alcance de este acto (universo interno, no portal)	NO_PROBADO		N25	2026-08-13	Fuera de alcance declarado de VERIFICA-PUERTAS (encargo SS3.2): sondearlas es un lote propio. Etiquetada NO_PROBADO en vez de NO-ENCONTRADO para no leerse como "no existe". Universo original: buscada en el puntero 2026-08-12 y en la cola-adquisicion-2026-08-12 por nombre exacto y por URL, 2026-08-13 (MAP-B)	ADQUIRIDO-PARCIAL
DENUNCIA_VINCULADA_CON_TENENCIA_DE_SEGURO	https://www.amis.com.mx/ (candidato via mapa-fuentes-externas-consolidado-2026-08-06.tsv:41, ya clasificado NO-ENCONTRADO/negativa por esa via)	000 (curl 28: Connection timed out)	000 (identico con override)	NO OBTENIDO POR ESTE AGENTE. Consistente con clasificacion previa (mapa-fuentes-externas-consolidado:41: "busqueda negativa"; cola-adquisicion-2026-08-12.tsv:22: "requeriria convenio con aseguradora")	NADIE	NO OBTENIDO POR ESTE AGENTE EN 1 INTENTO. Receta <1min: abrir https://www.amis.com.mx/ en navegador real; AMIS (Asociacion Mexicana de Instituciones de Seguros) es candidato tematico, no confirmado como fuente exacta del nombre de la fila	N20	2026-08-13	Fuera de alcance declarado de VERIFICA-PUERTAS (encargo SS3.2): sondearlas es un lote propio. Etiquetada NO_PROBADO en vez de NO-ENCONTRADO para no leerse como "no existe". Universo original: buscada en el puntero 2026-08-12 y en la cola-adquisicion-2026-08-12 por nombre exacto y por URL, 2026-08-13 (MAP-B) | Sondeo TRIAGE-63 COMMIT 2 (2026-08-13, SONDEO-COMPLETO segun ADR-80(a)/D-M): GET real, sin override primero, con override si fallo; URLs de mapa-fuentes-externas-consolidado-2026-08-06.tsv / mapa-ext-*-2026-08-06.tsv / cola-adquisicion-2026-08-12.tsv cuando existian, WebSearch cuando no.	CANDIDATA-A-SONDEO
DOES_CORRUPTION_INFORMATION_INSPIRE_THE_FIGHT_OR_QUASH_THE_HOPE		NO_PROBADO	NO_PROBADO	no aplica -- fuera de alcance de este acto (universo interno, no portal)	NO_PROBADO		N25	2026-08-13	Fuera de alcance declarado de VERIFICA-PUERTAS (encargo SS3.2): sondearlas es un lote propio. Etiquetada NO_PROBADO en vez de NO-ENCONTRADO para no leerse como "no existe". Universo original: buscada en el puntero 2026-08-12 y en la cola-adquisicion-2026-08-12 por nombre exacto y por URL, 2026-08-13 (MAP-B)	DUPLICADA-DE-FILA-RESUELTA
ELECTORAL_PRECINCT_LEVEL_DATABASE_FOR_MEXICAN_MUNICIPAL_ELECTION		NO_PROBADO	NO_PROBADO	no aplica -- fuera de alcance de este acto (universo interno, no portal)	NO_PROBADO		N25	2026-08-13	Fuera de alcance declarado de VERIFICA-PUERTAS (encargo SS3.2): sondearlas es un lote propio. Etiquetada NO_PROBADO en vez de NO-ENCONTRADO para no leerse como "no existe". Universo original: buscada en el puntero 2026-08-12 y en la cola-adquisicion-2026-08-12 por nombre exacto y por URL, 2026-08-13 (MAP-B)	DUPLICADA-DE-FILA-RESUELTA
ENAFIN	https://www.inegi.org.mx/rnm/index.php/catalog/1106	200	no_probado (ya alcanzable sin override)	portada real (titulo: Mexico - Encuesta Nacional de Financiamiento de las Empresas 2024). Catalogo RNM/INEGI; ediciones previas tambien indexadas (2015 catalog/482, 2018 catalog/517, 2021 catalog/799) -- se probo la mas reciente	AGENTE	microdato confidencial per busqueda externa ("acceso restringido al publico general, laboratorio de analisis de datos") -- portal/catalogo alcanzable, dato mismo NO-ACCESIBLE sin verificar aqui mas alla del catalogo	N19	2026-08-13	Fuera de alcance declarado de VERIFICA-PUERTAS (encargo SS3.2): sondearlas es un lote propio. Etiquetada NO_PROBADO en vez de NO-ENCONTRADO para no leerse como "no existe". Universo original: buscada en el puntero 2026-08-12 y en la cola-adquisicion-2026-08-12 por nombre exacto y por URL, 2026-08-13 (MAP-B) | Sondeo TRIAGE-63 COMMIT 2 (2026-08-13, SONDEO-COMPLETO segun ADR-80(a)/D-M): GET real, sin override primero, con override si fallo; URLs de mapa-fuentes-externas-consolidado-2026-08-06.tsv / mapa-ext-*-2026-08-06.tsv / cola-adquisicion-2026-08-12.tsv cuando existian, WebSearch cuando no.	CANDIDATA-A-SONDEO
ENCIG		NO_PROBADO	NO_PROBADO	no aplica -- fuera de alcance de este acto (universo interno, no portal)	NO_PROBADO		N1,N16,N8	2026-08-13	Fuera de alcance declarado de VERIFICA-PUERTAS (encargo SS3.2): sondearlas es un lote propio. Etiquetada NO_PROBADO en vez de NO-ENCONTRADO para no leerse como "no existe". Universo original: buscada en el puntero 2026-08-12 y en la cola-adquisicion-2026-08-12 por nombre exacto y por URL, 2026-08-13 (MAP-B)	ADQUIRIDO
ENCOAP		NO_PROBADO	NO_PROBADO	no aplica -- fuera de alcance de este acto (universo interno, no portal)	NO_PROBADO		N15,N16,N2,N30	2026-08-13	Fuera de alcance declarado de VERIFICA-PUERTAS (encargo SS3.2): sondearlas es un lote propio. Etiquetada NO_PROBADO en vez de NO-ENCONTRADO para no leerse como "no existe". Universo original: buscada en el puntero 2026-08-12 y en la cola-adquisicion-2026-08-12 por nombre exacto y por URL, 2026-08-13 (MAP-B)	DUPLICADA-DE-FILA-RESUELTA
ENCUESTA_ANUAL_DE_COMPETENCIAS_FINANCIERAS_2019_2024	https://www.banxico.org.mx/publicaciones-y-prensa/encuesta-de-competencias-financieras-de-la-poblaci/microdatos/competencias-financieras-mi.html	200	no_probado (ya alcanzable sin override)	sin cabecera Server expuesta, portada real (titulo: Competencias financieras, microdatos, Banco de Mexico). Coincide con mapa-ext-general-2026-08-06.tsv:MAPA-EXT-001 ("manuales abiertos"/ABIERTO-SIN-MAPEO)	AGENTE		N29	2026-08-13	Fuera de alcance declarado de VERIFICA-PUERTAS (encargo SS3.2): sondearlas es un lote propio. Etiquetada NO_PROBADO en vez de NO-ENCONTRADO para no leerse como "no existe". Universo original: buscada en el puntero 2026-08-12 y en la cola-adquisicion-2026-08-12 por nombre exacto y por URL, 2026-08-13 (MAP-B) | Sondeo TRIAGE-63 COMMIT 2 (2026-08-13, SONDEO-COMPLETO segun ADR-80(a)/D-M): GET real, sin override primero, con override si fallo; URLs de mapa-fuentes-externas-consolidado-2026-08-06.tsv / mapa-ext-*-2026-08-06.tsv / cola-adquisicion-2026-08-12.tsv cuando existian, WebSearch cuando no.	CANDIDATA-A-SONDEO
ENCUESTA_ANUAL_DE_COMPETENCIAS_FINANCIERAS_DE_LA_POBLACION		NO_PROBADO	NO_PROBADO	no aplica -- fuera de alcance de este acto (universo interno, no portal)	NO_PROBADO		N29	2026-08-13	Fuera de alcance declarado de VERIFICA-PUERTAS (encargo SS3.2): sondearlas es un lote propio. Etiquetada NO_PROBADO en vez de NO-ENCONTRADO para no leerse como "no existe". Universo original: buscada en el puntero 2026-08-12 y en la cola-adquisicion-2026-08-12 por nombre exacto y por URL, 2026-08-13 (MAP-B)	DUPLICADA-DE-FILA-RESUELTA
ENCUP		NO_PROBADO	NO_PROBADO	no aplica -- fuera de alcance de este acto (universo interno, no portal)	NO_PROBADO		N25	2026-08-13	Fuera de alcance declarado de VERIFICA-PUERTAS (encargo SS3.2): sondearlas es un lote propio. Etiquetada NO_PROBADO en vez de NO-ENCONTRADO para no leerse como "no existe". Universo original: buscada en el puntero 2026-08-12 y en la cola-adquisicion-2026-08-12 por nombre exacto y por URL, 2026-08-13 (MAP-B)	ADQUIRIDO
ENIF		NO_PROBADO	NO_PROBADO	no aplica -- fuera de alcance de este acto (universo interno, no portal)	NO_PROBADO		N19,N20,N24,N26,N7	2026-08-13	Fuera de alcance declarado de VERIFICA-PUERTAS (encargo SS3.2): sondearlas es un lote propio. Etiquetada NO_PROBADO en vez de NO-ENCONTRADO para no leerse como "no existe". Universo original: buscada en el puntero 2026-08-12 y en la cola-adquisicion-2026-08-12 por nombre exacto y por URL, 2026-08-13 (MAP-B)	ADQUIRIDO
ENIGH		NO_PROBADO	NO_PROBADO	no aplica -- fuera de alcance de este acto (universo interno, no portal)	NO_PROBADO		N18	2026-08-13	Fuera de alcance declarado de VERIFICA-PUERTAS (encargo SS3.2): sondearlas es un lote propio. Etiquetada NO_PROBADO en vez de NO-ENCONTRADO para no leerse como "no existe". Universo original: buscada en el puntero 2026-08-12 y en la cola-adquisicion-2026-08-12 por nombre exacto y por URL, 2026-08-13 (MAP-B)	ADQUIRIDO
ENNVIH		NO_PROBADO	NO_PROBADO	no aplica -- fuera de alcance de este acto (universo interno, no portal)	NO_PROBADO		N5	2026-08-13	Fuera de alcance declarado de VERIFICA-PUERTAS (encargo SS3.2): sondearlas es un lote propio. Etiquetada NO_PROBADO en vez de NO-ENCONTRADO para no leerse como "no existe". Universo original: buscada en el puntero 2026-08-12 y en la cola-adquisicion-2026-08-12 por nombre exacto y por URL, 2026-08-13 (MAP-B)	ADQUIRIDO
ENOE		NO_PROBADO	NO_PROBADO	no aplica -- fuera de alcance de este acto (universo interno, no portal)	NO_PROBADO		N18	2026-08-13	Fuera de alcance declarado de VERIFICA-PUERTAS (encargo SS3.2): sondearlas es un lote propio. Etiquetada NO_PROBADO en vez de NO-ENCONTRADO para no leerse como "no existe". Universo original: buscada en el puntero 2026-08-12 y en la cola-adquisicion-2026-08-12 por nombre exacto y por URL, 2026-08-13 (MAP-B)	ADQUIRIDO
ENVIPE		NO_PROBADO	NO_PROBADO	no aplica -- fuera de alcance de este acto (universo interno, no portal)	NO_PROBADO		N20,N8,N9	2026-08-13	Fuera de alcance declarado de VERIFICA-PUERTAS (encargo SS3.2): sondearlas es un lote propio. Etiquetada NO_PROBADO en vez de NO-ENCONTRADO para no leerse como "no existe". Universo original: buscada en el puntero 2026-08-12 y en la cola-adquisicion-2026-08-12 por nombre exacto y por URL, 2026-08-13 (MAP-B)	ADQUIRIDO
ESTUDIOS_DE_RECHAZOS_Y_CORPUS_PRAGMATICO_DE_FELIX_BRASDEFER	https://pragmatics.indiana.edu/textbook/corpus/Encdeserv.html	200	no_probado (ya alcanzable sin override)	sin cabecera Server expuesta, portada real, titulo coincide (Encuentros de servicio: Corpus). URL ya conocida en forense/notas/2026-08-13-triage-63.md:113	AGENTE		N15,N31	2026-08-13	Fuera de alcance declarado de VERIFICA-PUERTAS (encargo SS3.2): sondearlas es un lote propio. Etiquetada NO_PROBADO en vez de NO-ENCONTRADO para no leerse como "no existe". Universo original: buscada en el puntero 2026-08-12 y en la cola-adquisicion-2026-08-12 por nombre exacto y por URL, 2026-08-13 (MAP-B) | Sondeo TRIAGE-63 COMMIT 2 (2026-08-13, SONDEO-COMPLETO segun ADR-80(a)/D-M): GET real, sin override primero, con override si fallo; URLs de mapa-fuentes-externas-consolidado-2026-08-06.tsv / mapa-ext-*-2026-08-06.tsv / cola-adquisicion-2026-08-12.tsv cuando existian, WebSearch cuando no.	CANDIDATA-A-SONDEO
EXPERIMENTO_DE_INFORMACION_ELECTORAL_2009	https://www.povertyactionlab.org/evaluation/information-dissemination-campaign-and-voters-behavior-2009-municipal-elections-mexico	200	no_probado (ya alcanzable sin override)	server: cloudflare, portada real, titulo coincide con el nombre. Probable mismo estudio que DOES_CORRUPTION_INFORMATION_INSPIRE_THE_FIGHT_OR_QUASH_THE_HOPE (bucket A de TRIAGE-63, Chong/De La O/Karlan/Wantchekon, Journal of Politics) -- misma ambiguedad que triage-63.md fila 10 ya declaro; hoy con URL J-PAL confirmando tema exacto (elecciones municipales 2009, Jalisco/Morelos/Tabasco). No se fusiona, fuera de perimetro de este acto (no toca estado_triaje)	AGENTE		N25	2026-08-13	Fuera de alcance declarado de VERIFICA-PUERTAS (encargo SS3.2): sondearlas es un lote propio. Etiquetada NO_PROBADO en vez de NO-ENCONTRADO para no leerse como "no existe". Universo original: buscada en el puntero 2026-08-12 y en la cola-adquisicion-2026-08-12 por nombre exacto y por URL, 2026-08-13 (MAP-B) | Sondeo TRIAGE-63 COMMIT 2 (2026-08-13, SONDEO-COMPLETO segun ADR-80(a)/D-M): GET real, sin override primero, con override si fallo; URLs de mapa-fuentes-externas-consolidado-2026-08-06.tsv / mapa-ext-*-2026-08-06.tsv / cola-adquisicion-2026-08-12.tsv cuando existian, WebSearch cuando no.	CANDIDATA-A-SONDEO
FABLE		NO_PROBADO	NO_PROBADO	no aplica -- fuera de alcance de este acto (universo interno, no portal)	NO_PROBADO		N5	2026-08-13	Fuera de alcance declarado de VERIFICA-PUERTAS (encargo SS3.2): sondearlas es un lote propio. Etiquetada NO_PROBADO en vez de NO-ENCONTRADO para no leerse como "no existe". Universo original: buscada en el puntero 2026-08-12 y en la cola-adquisicion-2026-08-12 por nombre exacto y por URL, 2026-08-13 (MAP-B)	NO-RESOLUBLE-POR-NOMBRE
FINANZAS	https://pnif.cnbv.gob.mx/ (candidato mas plausible por tema -- CNBV Portal Nacional de Inclusion Financiera; identidad NO confirmada 1:1 con el nombre generico "FINANZAS")	000 (curl 60: SSL unable to get local issuer certificate)	000 (identico con override -- no es artefacto de sandbox, cadena de certificado incompleta del lado del servidor)	server: nginx/1.28.0; con -k (solo diagnostico, no oficial): 200 real, portal vivo. "FINANZAS" es nombre generico sin match 1:1 -- manifiesto.yaml ya declaraba "SIN PAYLOAD" (TRIAGE-63 COMMIT 1)	AGENTE (con salvedad de certificado -- ver receta)	verificar en navegador real si el AIA fetching resuelve la cadena de certificado; identidad del nombre "FINANZAS" sigue sin confirmar	N14,N19,N29,N5,N6	2026-08-13	Fuera de alcance declarado de VERIFICA-PUERTAS (encargo SS3.2): sondearlas es un lote propio. Etiquetada NO_PROBADO en vez de NO-ENCONTRADO para no leerse como "no existe". Universo original: buscada en el puntero 2026-08-12 y en la cola-adquisicion-2026-08-12 por nombre exacto y por URL, 2026-08-13 (MAP-B) | Sondeo TRIAGE-63 COMMIT 2 (2026-08-13, SONDEO-COMPLETO segun ADR-80(a)/D-M): GET real, sin override primero, con override si fallo; URLs de mapa-fuentes-externas-consolidado-2026-08-06.tsv / mapa-ext-*-2026-08-06.tsv / cola-adquisicion-2026-08-12.tsv cuando existian, WebSearch cuando no.	CANDIDATA-A-SONDEO
FINTECH_LENDING_TO_BORROWERS_WITH_NO_CREDIT_HISTORY	https://www.kellogg.northwestern.edu/academics-research/research/detail/2026/gender-differentiated-digital-credit-algorithms-using-machine-learning/	200	no_probado (ya alcanzable sin override)	portada real, titulo coincide exacto (FinTech Lending to Borrowers with No Credit History | Kellogg School of Management). Coincide con mapa-ext-civil-2026-08-06.tsv:11 (NO-ACCESIBLE ya declarado: "dato propietario de investigacion")	AGENTE (pagina de investigacion; dato propietario NO-ACCESIBLE per fuente previa)		N19	2026-08-13	Fuera de alcance declarado de VERIFICA-PUERTAS (encargo SS3.2): sondearlas es un lote propio. Etiquetada NO_PROBADO en vez de NO-ENCONTRADO para no leerse como "no existe". Universo original: buscada en el puntero 2026-08-12 y en la cola-adquisicion-2026-08-12 por nombre exacto y por URL, 2026-08-13 (MAP-B) | Sondeo TRIAGE-63 COMMIT 2 (2026-08-13, SONDEO-COMPLETO segun ADR-80(a)/D-M): GET real, sin override primero, con override si fallo; URLs de mapa-fuentes-externas-consolidado-2026-08-06.tsv / mapa-ext-*-2026-08-06.tsv / cola-adquisicion-2026-08-12.tsv cuando existian, WebSearch cuando no.	CANDIDATA-A-SONDEO
GDELT		NO_PROBADO	NO_PROBADO	no aplica -- fuera de alcance de este acto (universo interno, no portal)	NO_PROBADO		N17,N27	2026-08-13	Fuera de alcance declarado de VERIFICA-PUERTAS (encargo SS3.2): sondearlas es un lote propio. Etiquetada NO_PROBADO en vez de NO-ENCONTRADO para no leerse como "no existe". Universo original: buscada en el puntero 2026-08-12 y en la cola-adquisicion-2026-08-12 por nombre exacto y por URL, 2026-08-13 (MAP-B)	DUPLICADA-DE-FILA-RESUELTA
