objeto	objeto_texto	ola	comparado_con	veredicto	alcance_del_veredicto	reactivo	texto_literal	opciones_y_codigos	filtro_y_flujo	unidad	poblacion_base	ponderador_y_diseno	fuente	secciones_fd_recorridas	componentes_no_estimables	texto_buscado	limite_fd	nota
E-ESC	Eje escolaridad (ancla 2021: NIV / P3_1_1, nivel aprobado, colapsado a tramos)	2021	2021 (ancla)	MISMO-INSTRUMENTO	Fila ancla. Diez niveles 00-09 más 99 No sabe.	NIV (TSDEM) / P3_1_1 (TModulo)	2.6 / 3.1 ¿Hasta qué año o grado aprobó (NOMBRE) en la escuela?	00 Ninguno · 01 Preescolar o kínder · 02 Primaria · 03 Secundaria · 04 Estudios técnicos con secundaria terminada · 05 Normal básica · 06 Preparatoria o bachillerato · 07 Estudios técnicos con preparatoria terminada · 08 Licenciatura o ingeniería (profesional) · 09 Maestría o doctorado · 99 No sabe	Se pregunta a todo integrante (2.6) y se repregunta a la persona elegida (3.1). GRA acompaña con el grado.	categoría ordinal (10 niveles), colapsada a tramos por la spec	Persona elegida de 18 años y más (FD TModulo fila 1535, EDAD 18-96 + 98 centinela); TModulo	FAC_ELE (factor del elegido, TModulo fila 1543; NO existe FAC_PER) · EST_DIS 001-235 · UPM_DIS 0000001-0002013	enif_2021_fd_pdf.zip sha256/16(zip)=6f4e3aab705ddb69 :: enif_2021_estructura_del_archivo.xlsx · enif_2021_cuestionario.pdf sha256/16=2fe495a58f2eae73 :: TSDEM filas 121-133, TModulo filas 175-185	FD hojas TVivienda/THogar/TSDEM/TModulo completas (1 539 filas); cuestionario secciones 1-11				En el módulo el nemónico es P3_1_1, no NIV: otro nemónico desplazado.
E-ESC	Eje escolaridad (ancla 2021: NIV / P3_1_1, nivel aprobado, colapsado a tramos)	2024	2021 (ancla)	CAMBIO-DE-INSTRUMENTO	LOS CÓDIGOS NO SIGNIFICAN LO MISMO. 04 y 05 están INTERCAMBIADOS respecto de 2012-2021, y el nivel 09 («Maestría o doctorado») se parte en 09 Especialidad · 10 Maestría · 11 Doctorado. El catálogo pasa de 10 a 12 posiciones. Un recodificado por número de código produce cifras falsas; el emparejamiento tiene que ser por ETIQUETA.	NIV (TSDEM y TMODULO)	2.6 / 3.1 ¿Hasta qué año o grado aprobó (NOMBRE) en la escuela?	00 Ninguno · 01 Preescolar o kínder · 02 Primaria · 03 Secundaria · 04 Normal básica · 05 Estudios técnicos con secundaria terminada · 06 Preparatoria o bachillerato · 07 Estudios técnicos con preparatoria terminada · 08 Licenciatura o ingeniería (profesional) · 09 Especialidad · 10 Maestría · 11 Doctorado · 99 No sabe	Igual que 2021: 2.6 a todo integrante, 3.1 a la persona elegida.	categoría ordinal (12 niveles), colapsada a tramos por la spec	Persona elegida de 18 años y más (FD TMODULO fila 235, EDAD_V 18-95 + 98 centinela); TMODULO	FAC_PER (factor de expansión a nivel persona, TMODULO fila 1677) · EST_DIS 001-190 · UPM_DIS 00001-02172	enif_2024_fd.xlsx sha256/16=17e2ad86ce9e4fd5 · enif_2024_cuestionario.pdf sha256/16=32e37cc13da38691 :: TSDEM filas 169-183, TMODULO filas 238-251	FD hojas TVIVIENDA/THOGAR/TSDEM/TMODULO completas (1 673 filas); cuestionario secciones 1-11				HALLAZGO DE ESTE ACTO, no heredado. El colapso a tramos absorbe el problema SI Y SÓLO SI el corte no cae entre 04 y 05 ni dentro de 09-11; la spec del lote tiene que declarar el mapa por etiqueta, y lo declara.
E-ESC	Eje escolaridad (ancla 2021: NIV / P3_1_1, nivel aprobado, colapsado a tramos)	2018	2021 (ancla)	MISMO-INSTRUMENTO	Catálogo de 10 niveles idéntico al de 2021, código por código. Acotado a 18-70.	NIV	3.4 ¿Hasta qué año o grado aprobó usted en la escuela?	00 Ninguno · 01 Preescolar o kínder · 02 Primaria · 03 Secundaria · 04 Estudios técnicos con secundaria terminada · 05 Normal básica · 06 Preparatoria o bachillerato · 07 Estudios técnicos con preparatoria terminada · 08 Licenciatura o ingeniería (profesional) · 09 Maestría o doctorado · 99 No sabe	Se pregunta directamente a la persona elegida en la sección 3 del módulo.	categoría ordinal (10 niveles)	Persona elegida de 18 a 70 años (FD TModulo fila 684, EDAD 18..70); TModulo/TModulo2	FAC_PER (factor persona, TModulo fila 702) · EST_DIS 001-012 · UPM_DIS 00001-01914	enif_2018_fd.xlsx sha256/16=dd8d5c92a7a03150 · enif_2018_cuestionario.pdf sha256/16=cda9a0283a39514e :: TModulo filas 126-137	FD hojas TVivienda/TSDem/TModulo/TModulo2 completas (1 237 filas); cuestionario secciones 1-12				La numeración baja de 3.4 (2018) a 2.6/3.1 (2021); el catálogo no se mueve.
E-ESC	Eje escolaridad (ancla 2021: NIV / P3_1_1, nivel aprobado, colapsado a tramos)	2015	2021 (ancla)	CAMBIO-MENOR	Mismas diez etiquetas y en el mismo orden, pero el campo es de UN dígito ([0-9]) y no de dos ([00-09]): el emparejamiento es por etiqueta y el ancho del campo cambia.	NIV	3.4 ¿Hasta qué año o grado aprobó usted en la escuela?	[0-9]: 0 Ninguno · 1 Preescolar o kínder · 2 Primaria · 3 Secundaria · 4 Estudios técnicos con secundaria terminada · 5 Normal básica · 6 Preparatoria o bachillerato · 7 Estudios técnicos con preparatoria terminada · 8 Licenciatura o ingeniería (profesional) · 9 Maestría o doctorado	Sección 3 del módulo, persona elegida.	categoría ordinal (10 niveles)	Persona elegida de 18 a 70 años (FD TModulo1 fila 686, EDAD [18-70]); TModulo1/2/3	FAC_PER (factor personas, TModulo1 fila 687) · EST_DIS 001-012 · UPM_DIS 00001-00826	enif_2015_fd.xlsx sha256/16=8233cf53f5904966 · enif_2015_cuestionario.pdf sha256/16=10688412391ecd5e :: TModulo1 filas 75-85	FD hojas Índice/TVivienda/TSDem/TModulo1/TModulo2/TModulo3 completas (1 886 filas); cuestionario secciones 1-11				Sin código 99 declarado en el dominio.
E-ESC	Eje escolaridad (ancla 2021: NIV / P3_1_1, nivel aprobado, colapsado a tramos)	2012	2021 (ancla)	CAMBIO-MENOR	Mismo orden de niveles que 2015-2021, con dos etiquetas redactadas distinto («Carrera técnica» por «Estudios técnicos»).	NIV	3.4 ¿Cuál es el último año o grado que aprobó usted en la escuela?	00 Ninguno · 01 Preescolar · 02 Primaria · 03 Secundaria · 04 Carrera técnica con secundaria terminada · 05 Normal básica · 06 Preparatoria o bachillerato · 07 Carrera técnica con preparatoria terminada · 08 Licenciatura o profesional · 09 Maestría o doctorado · 99 No Especificado	Sección 3 del módulo, persona elegida.	categoría ordinal (10 niveles)	Persona elegida de 18 a 70 años del hogar (cuestionario 2012 pdf-pág. línea 200 «PARA PERSONAS DE 18 A 70 AÑOS»); TMODULO1/TMODULO2	FAC_PER (factor persona, TMODULO1/TMODULO2, FD filas 995-996) · EST_DIS 11-14,21,22,31,32,41,42 · UPM_DIS 00001-00847	fd_enif2012.xlsx sha256/16=f03d8e7c82f511e7 · enif_2012_cuestionario.pdf sha256/16=b7fc1f4a2363a609 :: TMODULO1 filas 200-215	FD hojas TVIVIENDA/TSDEM/TMODULO1/TMODULO2 completas (1 594 filas); cuestionario secciones 1-9				El stem es «¿Cuál es el último año o grado…?» y no «¿Hasta qué año o grado…?»: redacción, mismo referente.
E-LOC	Eje localidad (ancla 2021: TLOC, corte ≥ 15 000 / < 15 000 habitantes)	2021	2021 (ancla)	MISMO-INSTRUMENTO	Fila ancla. Cuatro clases; el corte del modelo cae en la frontera de una clase del catálogo.	TLOC	Tamaño de localidad (variable de diseño, no es pregunta al informante)	1 100 000 y más habitantes · 2 15 000 a 99 999 · 3 2 500 a 14 999 · 4 Menor de 2 500	Se asigna a toda la vivienda; viaja a TModulo.	categoría (4 clases, colapsada a 2)	Persona elegida de 18 años y más (FD TModulo fila 1535, EDAD 18-96 + 98 centinela); TModulo	FAC_ELE (factor del elegido, TModulo fila 1543; NO existe FAC_PER) · EST_DIS 001-235 · UPM_DIS 0000001-0002013	enif_2021_fd_pdf.zip sha256/16(zip)=6f4e3aab705ddb69 :: enif_2021_estructura_del_archivo.xlsx · enif_2021_cuestionario.pdf sha256/16=2fe495a58f2eae73 :: TVivienda fila 44, TModulo fila 1523	FD hojas TVivienda/THogar/TSDEM/TModulo completas (1 539 filas); cuestionario secciones 1-11				spec v1_2 §0.5: el corte 15 000 es exacto, sin recodificación aproximada.
E-LOC	Eje localidad (ancla 2021: TLOC, corte ≥ 15 000 / < 15 000 habitantes)	2024	2021 (ancla)	MISMO-INSTRUMENTO	Mismas cuatro clases y mismos umbrales.	TLOC	TAMAÑO DE LOCALIDAD	1 100 000 y más habitantes · 2 15 000 a 99 999 · 3 2 500 a 14 999 · 4 Menor a 2 500	Variable de diseño a nivel vivienda.	categoría (4 clases, colapsada a 2)	Persona elegida de 18 años y más (FD TMODULO fila 235, EDAD_V 18-95 + 98 centinela); TMODULO	FAC_PER (factor de expansión a nivel persona, TMODULO fila 1677) · EST_DIS 001-190 · UPM_DIS 00001-02172	enif_2024_fd.xlsx sha256/16=17e2ad86ce9e4fd5 · enif_2024_cuestionario.pdf sha256/16=32e37cc13da38691 :: TVIVIENDA fila 82, TMODULO fila 1662	FD hojas TVIVIENDA/THOGAR/TSDEM/TMODULO completas (1 673 filas); cuestionario secciones 1-11				«Menor de» / «Menor a» en la clase 4: cosmético, mismo umbral (spec v1_2 §0.5).
E-LOC	Eje localidad (ancla 2021: TLOC, corte ≥ 15 000 / < 15 000 habitantes)	2018	2021 (ancla)	MISMO-INSTRUMENTO	Mismas cuatro clases y mismos umbrales.	TLOC	Tamaño de la Localidad	1..4: 1 100 000 y más habitantes · 2 15 000 a 99 999 · 3 2 500 a 14 999 · 4 Menor de 2 500	Variable de diseño a nivel vivienda; viaja a TModulo.	categoría (4 clases, colapsada a 2)	Persona elegida de 18 a 70 años (FD TModulo fila 684, EDAD 18..70); TModulo/TModulo2	FAC_PER (factor persona, TModulo fila 702) · EST_DIS 001-012 · UPM_DIS 00001-01914	enif_2018_fd.xlsx sha256/16=dd8d5c92a7a03150 · enif_2018_cuestionario.pdf sha256/16=cda9a0283a39514e :: TVivienda fila 33, TModulo fila 696	FD hojas TVivienda/TSDem/TModulo/TModulo2 completas (1 237 filas); cuestionario secciones 1-12				Sin cambios.
E-LOC	Eje localidad (ancla 2021: TLOC, corte ≥ 15 000 / < 15 000 habitantes)	2015	2021 (ancla)	MISMO-INSTRUMENTO	Mismas cuatro clases y mismos umbrales.	TLOC	Tamaño de localidad	[1-4]: 1 100,000 y más habitantes · 2 15,000 a 99,999 · 3 2,500 a 14,999 · 4 Menor de 2,500	Variable de diseño a nivel vivienda; viaja a TModulo1/2/3.	categoría (4 clases, colapsada a 2)	Persona elegida de 18 a 70 años (FD TModulo1 fila 686, EDAD [18-70]); TModulo1/2/3	FAC_PER (factor personas, TModulo1 fila 687) · EST_DIS 001-012 · UPM_DIS 00001-00826	enif_2015_fd.xlsx sha256/16=8233cf53f5904966 · enif_2015_cuestionario.pdf sha256/16=10688412391ecd5e :: TVivienda fila 23, TModulo1 fila 677	FD hojas Índice/TVivienda/TSDem/TModulo1/TModulo2/TModulo3 completas (1 886 filas); cuestionario secciones 1-11				Sin cambios.
E-LOC	Eje localidad (ancla 2021: TLOC, corte ≥ 15 000 / < 15 000 habitantes)	2012	2021 (ancla)	CAMBIO-MENOR	Mismas cuatro clases y mismos umbrales, pero el nemónico es TL y no TLOC. Un negativo por nombre de variable sería falso.	TL	Tamaño de Localidad	1 localidades de 100 000 y mas habitantes · 2 localidades de 15,000 a 99 999 · 3 localidades de 2500 a 14 999 · 4 localidades menores de 2499	Variable de diseño a nivel vivienda; viaja a TMODULO1/TMODULO2.	categoría (4 clases, colapsada a 2)	Persona elegida de 18 a 70 años del hogar (cuestionario 2012 pdf-pág. línea 200 «PARA PERSONAS DE 18 A 70 AÑOS»); TMODULO1/TMODULO2	FAC_PER (factor persona, TMODULO1/TMODULO2, FD filas 995-996) · EST_DIS 11-14,21,22,31,32,41,42 · UPM_DIS 00001-00847	fd_enif2012.xlsx sha256/16=f03d8e7c82f511e7 · enif_2012_cuestionario.pdf sha256/16=b7fc1f4a2363a609 :: TVIVIENDA filas 69-73, TSDEM filas 129-133	FD hojas TVIVIENDA/TSDEM/TMODULO1/TMODULO2 completas (1 594 filas); cuestionario secciones 1-9				La clase 4 dice «menores de 2499» y no «menor de 2 500»: el FD 2012 describe el mismo corte con la cota escrita del otro lado. No cambia la partición.
E-FOR	Eje formalidad (ancla 2021: P3_10, derecho a servicios médicos POR PARTE DE SU TRABAJO; 1-5 con seguridad social, 6 sin)	2021	2021 (ancla)	MISMO-INSTRUMENTO	Fila ancla. Universo restringido a quien trabajó o tuvo trabajo y no es trabajador sin pago (cobertura 0.69 según C2-COMPUESTO-RESERVADAS-spec-v1_0.md:129-132).	P3_10	3.10 Por parte de su trabajo, ¿usted tiene derecho a los servicios médicos...	1 del IMSS o Seguro Social · 2 del ISSSTE Federal o Estatal · 3 de PEMEX, SEDENA o SEMAR · 4 de un seguro médico privado · 5 de otra institución · 6 No tiene servicio médico (incluye Seguro Popular, Instituto de Salud para el Bienestar) · 9 No sabe · b Blanco por secuencia	Universo = (P3_5∈{1,2} ∨ P3_6∈{1..5}) ∧ P3_7∈{2..5}. 3.5 códigos 3-8 y 3.7 código 1 (sin pago) pasan a 3.11.	categoría (2 clases tras el mapa), sobre subpoblación	Persona elegida de 18 años y más (FD TModulo fila 1535, EDAD 18-96 + 98 centinela); TModulo	FAC_ELE (factor del elegido, TModulo fila 1543; NO existe FAC_PER) · EST_DIS 001-235 · UPM_DIS 0000001-0002013	enif_2021_fd_pdf.zip sha256/16(zip)=6f4e3aab705ddb69 :: enif_2021_estructura_del_archivo.xlsx · enif_2021_cuestionario.pdf sha256/16=2fe495a58f2eae73 :: TModulo filas 230-238	FD hojas TVivienda/THogar/TSDEM/TModulo completas (1 539 filas); cuestionario secciones 1-11				Mapa congelado (PISOS-ENIF2021-formalidad-spec-v1_0.md:57-58): 1-5 con seguridad social, 6 sin, 9 y blanco fuera.
E-FOR	Eje formalidad (ancla 2021: P3_10, derecho a servicios médicos POR PARTE DE SU TRABAJO; 1-5 con seguridad social, 6 sin)	2024	2021 (ancla)	CAMBIO-MENOR	Misma pregunta y mismo universo lógico, pero el catálogo tiene SIETE posiciones y no seis: «de otra institución» pasa de 5 a 6 y el «carece» pasa de 6 a 7. El mapa por número de código NO se hereda.	P3_13	3.13 Por parte de su trabajo, ¿usted tiene derecho a los servicios médicos...	1 del Seguro Social (IMSS) · 2 del ISSSTE · 3 del ISSSTE estatal · 4 de PEMEX, Defensa o Marina · 5 de un seguro privado de gastos médicos · 6 de otra institución · 7 Entonces, ¿carece de derecho a servicios médicos por parte de su trabajo (incluye IMSS-Bienestar, antes Seguro Popular, Instituto de Salud para el Bienestar)? · 9 No sabe · b Blanco por secuencia	Universo = (P3_8∈{1,2} ∨ P3_9∈{1..6}) ∧ P3_10∈{1..5}.	categoría (2 clases tras el mapa), sobre subpoblación	Persona elegida de 18 años y más (FD TMODULO fila 235, EDAD_V 18-95 + 98 centinela); TMODULO	FAC_PER (factor de expansión a nivel persona, TMODULO fila 1677) · EST_DIS 001-190 · UPM_DIS 00001-02172	enif_2024_fd.xlsx sha256/16=17e2ad86ce9e4fd5 · enif_2024_cuestionario.pdf sha256/16=32e37cc13da38691 :: TMODULO filas 345-354	FD hojas TVIVIENDA/THOGAR/TSDEM/TMODULO completas (1 673 filas); cuestionario secciones 1-11				Mapa ya congelado por el acto de pisos: P3_13∈{1..6} con, 7 sin. 2021 parte ISSSTE federal y estatal en un solo código y 2024 en dos; el colapso a dos clases lo absorbe.
E-FOR	Eje formalidad (ancla 2021: P3_10, derecho a servicios médicos POR PARTE DE SU TRABAJO; 1-5 con seguridad social, 6 sin)	2018	2021 (ancla)	MISMO-INSTRUMENTO	El catálogo es idéntico al de 2021, código por código, y el stem también. Es la ÚNICA ola histórica donde el eje formalidad se construye igual que en el ancla. Acotado a 18-70.	P3_11	3.11 Por parte de su trabajo, ¿usted tiene derecho a servicios médicos…	1..6,9: 1 del IMSS o Seguro Social · 2 del ISSSTE Federal o Estatal · 3 de PEMEX, SEDENA o SEMAR · 4 de un seguro médico privado · 5 de otra institución · 6 No tiene servicio médico (incluye Seguro Popular) · 9 No sabe	Universo = (P3_5∈{1,2} ∨ P3_6∈{1..4}) ∧ P3_7∈{2..5}. Misma arquitectura que 2021; 3.6 tiene cuatro opciones en 2018 y cinco en 2021.	categoría (2 clases tras el mapa), sobre subpoblación	Persona elegida de 18 a 70 años (FD TModulo fila 684, EDAD 18..70); TModulo/TModulo2	FAC_PER (factor persona, TModulo fila 702) · EST_DIS 001-012 · UPM_DIS 00001-01914	enif_2018_fd.xlsx sha256/16=dd8d5c92a7a03150 · enif_2018_cuestionario.pdf sha256/16=cda9a0283a39514e :: TModulo filas 176-183 (catálogo), 29-45 (flujo)	FD hojas TVivienda/TSDem/TModulo/TModulo2 completas (1 237 filas); cuestionario secciones 1-12				La etiqueta 6 de 2018 dice «(incluye Seguro Popular)» y la de 2021 añade «Instituto de Salud para el Bienestar»: es el mismo programa renombrado en 2019. No cambia la partición.
E-FOR	Eje formalidad (ancla 2021: P3_10, derecho a servicios médicos POR PARTE DE SU TRABAJO; 1-5 con seguridad social, 6 sin)	2015	2021 (ancla)	CAMBIO-DE-INSTRUMENTO	La pregunta NO dice «por parte de su trabajo»: pregunta derechohabiencia a servicios médicos en general, y pone el Seguro Popular como primera opción afirmativa. Lo que mide es acceso a salud, no formalidad laboral. Colapsarla al mapa del ancla convertiría a todo afiliado al Seguro Popular en «con seguridad social».	P3_10	3.10 ¿Usted tiene derecho a los servicios médicos…	[1-7], 9, b: 1 del Seguro Popular · 2 del IMSS o Seguro Social · 3 del ISSSTE Federal o Estatal · 4 de PEMEX, SEDENA o SEMAR · 5 de un seguro médico privado · 6 de otra institución · 7 No tiene servicio médico · 9 No sabe	Sección 3 del módulo; el FD no declara el filtro de actividad que 2018-2024 sí traen.	categoría de derechohabiencia (7 clases) — NO es el eje formalidad del ancla	Persona elegida de 18 a 70 años (FD TModulo1 fila 686, EDAD [18-70]); TModulo1/2/3	FAC_PER (factor personas, TModulo1 fila 687) · EST_DIS 001-012 · UPM_DIS 00001-00826	enif_2015_fd.xlsx sha256/16=8233cf53f5904966 · enif_2015_cuestionario.pdf sha256/16=10688412391ecd5e :: TModulo1 filas 118-126	FD hojas Índice/TVivienda/TSDem/TModulo1/TModulo2/TModulo3 completas (1 886 filas); cuestionario secciones 1-11	la restricción «por parte de su trabajo», que es lo que define el eje	«Por parte de su trabajo» · «por parte de su trabajo» en las 1 886 filas del FD 2015 y en las 2 900 líneas del cuestionario 2015: NO-ENCONTRADO. «prestaciones» · «seguridad social»: NO-ENCONTRADO en la sección 3.		EXISTE-NO-SATISFACE, no NO-ENCONTRADO: la pregunta está, y mide otra cosa. Los dos hallazgos no se colapsan.
E-FOR	Eje formalidad (ancla 2021: P3_10, derecho a servicios médicos POR PARTE DE SU TRABAJO; 1-5 con seguridad social, 6 sin)	2012	2021 (ancla)	CAMBIO-DE-INSTRUMENTO	Igual que 2015: 3.9 pregunta derecho a atención médica en general, con el Seguro Popular como primera opción. No es el eje del ancla.	P3_9	3.9 ¿Usted tiene derecho a atención médica en...	1 el Seguro Popular · 2 el Seguro Social (IMSS) · 3 el ISSSTE · 4 el ISSSTE estatal (ISSSTELEÓN, ISSEMYM) · 5 el hospital o clínica de Pemex, Defensa o Marina · 6 otra institución médica (especifique) · 8 No responde	Sección 3 del módulo; 3.7 tiene pases a 3.10 (cuestionario líneas 434-486).	categoría de derechohabiencia (6 clases + no responde) — NO es el eje formalidad del ancla	Persona elegida de 18 a 70 años del hogar (cuestionario 2012 pdf-pág. línea 200 «PARA PERSONAS DE 18 A 70 AÑOS»); TMODULO1/TMODULO2	FAC_PER (factor persona, TMODULO1/TMODULO2, FD filas 995-996) · EST_DIS 11-14,21,22,31,32,41,42 · UPM_DIS 00001-00847	fd_enif2012.xlsx sha256/16=f03d8e7c82f511e7 · enif_2012_cuestionario.pdf sha256/16=b7fc1f4a2363a609 :: cuestionario líneas 488, 509-540; FD TMODULO1 sección 3	FD hojas TVIVIENDA/TSDEM/TMODULO1/TMODULO2 completas (1 594 filas); cuestionario secciones 1-9	la restricción «por parte de su trabajo»	«Por parte de su trabajo» · «por parte de su trabajo» · «prestaciones» · «seguridad social» en las 1 594 filas del FD 2012 y en las 1 733 líneas del cuestionario 2012: NO-ENCONTRADO.		El FD 2012 ni siquiera trae el texto de 3.9 en sus filas de catálogo; se leyó del cuestionario, y se declara (LATITUD del encargo §6).
E-CTA	Eje cuenta_formal (ancla 2021: tiene alguna de las nueve cuentas, P5_4_1..P5_4_9)	2021	2021 (ancla)	MISMO-INSTRUMENTO	Fila ancla. Nueve preguntas de tenencia, una por tipo de cuenta.	P5_4_1..P5_4_9	5.4 ¿Usted tiene cuenta o tarjeta de nómina (1) · de pensión (2) · para recibir apoyos de gobierno (3) · cuenta de ahorro (4) · cuenta de cheques (5) · depósito a plazo fijo (6) · fondo de inversión (7) · cuenta contratada por Internet o aplicación como Mercado Pago o Albo (8) · otro tipo de cuenta (9)?	1 Sí · 2 No · b Blanco por secuencia	Sin filtro previo; gatea a 5.5/5.6/5.7 por posición.	dicotomía por persona (alguna = 1)	Persona elegida de 18 años y más (FD TModulo fila 1535, EDAD 18-96 + 98 centinela); TModulo	FAC_ELE (factor del elegido, TModulo fila 1543; NO existe FAC_PER) · EST_DIS 001-235 · UPM_DIS 0000001-0002013	enif_2021_fd_pdf.zip sha256/16(zip)=6f4e3aab705ddb69 :: enif_2021_estructura_del_archivo.xlsx · enif_2021_cuestionario.pdf sha256/16=2fe495a58f2eae73 :: TModulo filas 415-489	FD hojas TVivienda/THogar/TSDEM/TModulo completas (1 539 filas); cuestionario secciones 1-11				Este eje es el que vuelve casi tautológico el cruce con el desenlace: sin cuenta, el desenlace se reduce por construcción del cuestionario a «ahorra informal». Es estructura de acceso, no conducta.
E-CTA	Eje cuenta_formal (ancla 2021: tiene alguna de las nueve cuentas, P5_4_1..P5_4_9)	2024	2021 (ancla)	MISMO-INSTRUMENTO	Las mismas nueve preguntas, mismo orden, mismos códigos.	P5_4_1..P5_4_9	5.4 ¿Usted tiene cuenta o tarjeta de nómina (1) … cuenta contratada por internet o aplicación (no bancaria) como Mercado Pago, Nu o Spin de Oxxo (8) · otro tipo de cuenta (9)?	1 Sí · 2 No	Sin filtro previo; gatea a 5.5/5.6 por posición.	dicotomía por persona (alguna = 1)	Persona elegida de 18 años y más (FD TMODULO fila 235, EDAD_V 18-95 + 98 centinela); TMODULO	FAC_PER (factor de expansión a nivel persona, TMODULO fila 1677) · EST_DIS 001-190 · UPM_DIS 00001-02172	enif_2024_fd.xlsx sha256/16=17e2ad86ce9e4fd5 · enif_2024_cuestionario.pdf sha256/16=32e37cc13da38691 :: TMODULO filas 584-642	FD hojas TVIVIENDA/THOGAR/TSDEM/TMODULO completas (1 673 filas); cuestionario secciones 1-11				CONFIRMADO POR EL FLUJO DEL CUESTIONARIO, que es lo que este acto podía leer: la premisa [REPORTADO] de PRODUCTO-DINERO se sostiene. Sin cuenta no hay pregunta 5.6, luego ninguna vía formal puede valer 1, luego ahorra_solo_informal = informal_cualquiera en la celda «sin cuenta». No es tautología de definición: es el pase del cuestionario.
E-CTA	Eje cuenta_formal (ancla 2021: tiene alguna de las nueve cuentas, P5_4_1..P5_4_9)	2018	2021 (ancla)	CAMBIO-MENOR	OCHO preguntas de tenencia, no nueve (falta la cuenta contratada por Internet). Además la tenencia se pregunta en dos escalones: 5.4/5.5 agregadas y 5.9 por tipo.	P5_9_1..P5_9_8 (por tipo); P5_4 y P5_5 (agregadas)	5.9 ¿Usted tiene… 1 cuenta o tarjeta de nómina · 2 de pensión · 3 para recibir apoyos de gobierno · 4 cuenta de ahorro · 5 cuenta de cheques · 6 depósito a plazo fijo · 7 fondo de inversión · 8 Otro tipo de cuenta	1,2: 1 Sí · 2 No	5.4 («¿Usted tiene alguna cuenta o tarjeta de nómina, ahorro o pensión…?») y 5.5 («…donde reciba apoyos de gobierno?») gatean a 5.9; 5.9 gatea a 5.10-5.13 por posición.	dicotomía por persona (alguna = 1)	Persona elegida de 18 a 70 años (FD TModulo fila 684, EDAD 18..70); TModulo/TModulo2	FAC_PER (factor persona, TModulo fila 702) · EST_DIS 001-012 · UPM_DIS 00001-01914	enif_2018_fd.xlsx sha256/16=dd8d5c92a7a03150 · enif_2018_cuestionario.pdf sha256/16=cda9a0283a39514e :: TModulo filas 297-299 y 321-387	FD hojas TVivienda/TSDem/TModulo/TModulo2 completas (1 237 filas); cuestionario secciones 1-12	tenencia de cuenta contratada por Internet o aplicación	«contratada por Internet» · «aplicación» · «Mercado Pago» en las 1 237 filas del FD 2018: NO-ENCONTRADO.		Para el indicador dicotómico «tiene alguna cuenta» la falta de la vía 8 casi no muerde en 2018 (el producto apenas existía), pero eso es un juicio sobre el mundo, no sobre el archivo: la fila declara el hueco y no lo redondea.
E-CTA	Eje cuenta_formal (ancla 2021: tiene alguna de las nueve cuentas, P5_4_1..P5_4_9)	2015	2021 (ancla)	CAMBIO-DE-INSTRUMENTO	SEIS posiciones de tenencia con nómina y pensión colapsadas y sin apoyos de gobierno como tipo propio. La dicotomía «tiene alguna» sigue siendo construible, pero sobre otro conjunto de tipos.	P5_11_1..P5_11_6 (por tipo); P5_4 (agregada)	5.11 ¿Usted tiene… [1 cuenta de nómina o pensión · 2 cuenta de ahorro · 3 cuenta de cheques · 4 depósito a plazo fijo · 5 fondo de inversión · 6 otra]; 5.4 ¿Usted tiene alguna cuenta o tarjeta de nómina, ahorro, pensión o donde reciba apoyos de gobierno en algún banco o institución financiera?	[1-2], b: 1 Sí · 2 No · b blanco	5.4 gatea a 5.11; 5.11 gatea a 5.12-5.16 por posición.	dicotomía por persona (alguna = 1), sobre seis tipos	Persona elegida de 18 a 70 años (FD TModulo1 fila 686, EDAD [18-70]); TModulo1/2/3	FAC_PER (factor personas, TModulo1 fila 687) · EST_DIS 001-012 · UPM_DIS 00001-00826	enif_2015_fd.xlsx sha256/16=8233cf53f5904966 · enif_2015_cuestionario.pdf sha256/16=10688412391ecd5e :: TModulo1 filas 245 y 322-409	FD hojas Índice/TVivienda/TSDem/TModulo1/TModulo2/TModulo3 completas (1 886 filas); cuestionario secciones 1-11	tenencia de cuenta para apoyos de gobierno como tipo propio · de cuenta contratada por Internet · la partición nómina/pensión	«contratada por Internet» · «aplicación»: NO-ENCONTRADO en las 1 886 filas del FD 2015. «apoyos de gobierno» aparece sólo dentro del stem agregado 5.4, no como posición de 5.11.		La agregada 5.4 de 2015 SÍ nombra apoyos de gobierno; la batería por tipo no. Las dos no son el mismo objeto y no se suman.
