# GENERADO por tools/p0_calendario_pel.py (ACTO MAESTRA34-L6, P0). Fuente: acuerdos del Consejo General del INE, repositoriodocumental.ine.mx. No editar a mano.
entidad	anio_jornada	concurrente_con_federal	ayuntamientos	n_actividades_municipales	cargos_declarados	ejemplo_actividad	fuente_archivo	fuente_hoja	fuente_acuerdo_ine	handle_dspace	nota_concurrencia
Sinaloa	2018	SI	SI	9		Precampaña para Ayuntamientos	pel2017-2018.xlsx	Sinaloa	CG extraordinaria 8/sep/2017, anexo 2	123456789/93570	anio federal, sin excepcion documentada
Sinaloa	2021	SI	SI	15		Aprobación de topes de gastos de precampaña Ayuntamientos	pel2020-2021_CGex202008-07-ap-2-a1.xlsm	Sinaloa	CG extraordinaria 7/ago/2020, anexo 1	123456789/114312	anio federal, sin excepcion documentada
Sinaloa	2024	SI	SI	19	Diputaciones y ayuntamientos	Aprobación de topes de gastos de precampaña Ayuntamientos	pel2023-2024.xlsx	Sinaloa	CG extraordinaria 20/jul/2023, anexo 2	123456789/152565	anio federal, sin excepcion documentada
Sonora	2015	SI	INDETERMINADO	-1	NO-DETERMINADO-POR-ESTA-FUENTE (el acuerdo enumera entidades, no cargos)		pel2014-2015_CGor201412-18_ap13.pdf.txt	punto de acuerdo	CG ordinaria 18/dic/2014	123456789/87134	anio federal, sin excepcion documentada
Sonora	2018	SI	SI	9		Precampaña para Ayuntamientos	pel2017-2018.xlsx	Sonora 	CG extraordinaria 8/sep/2017, anexo 2	123456789/93570	anio federal, sin excepcion documentada
Sonora	2021	SI	SI	15		Aprobación de topes de gastos de precampaña Ayuntamientos	pel2020-2021_CGex202008-07-ap-2-a1.xlsm	Sonora	CG extraordinaria 7/ago/2020, anexo 1	123456789/114312	anio federal, sin excepcion documentada
Sonora	2024	SI	SI	19	Diputaciones y ayuntamientos	Aprobación de topes de gastos de precampaña Ayuntamientos	pel2023-2024.xlsx	Sonora	CG extraordinaria 20/jul/2023, anexo 2	123456789/152565	anio federal, sin excepcion documentada
Tabasco	2015	SI	INDETERMINADO	-1	NO-DETERMINADO-POR-ESTA-FUENTE (el acuerdo enumera entidades, no cargos)		pel2014-2015_CGor201412-18_ap13.pdf.txt	punto de acuerdo	CG ordinaria 18/dic/2014	123456789/87134	anio federal, sin excepcion documentada
Tabasco	2018	SI	SI	11		Precampaña para Ayuntamientos	pel2017-2018.xlsx	Tabasco	CG extraordinaria 8/sep/2017, anexo 2	123456789/93570	anio federal, sin excepcion documentada
Tabasco	2021	SI	SI	15		Aprobación de topes de gastos de precampaña Ayuntamientos	pel2020-2021_CGex202008-07-ap-2-a1.xlsm	Tabasco	CG extraordinaria 7/ago/2020, anexo 1	123456789/114312	anio federal, sin excepcion documentada
Tabasco	2024	SI	SI	19	Gubernatura, diputaciones y ayuntamientos	Aprobación de topes de gastos de precampaña Ayuntamientos	pel2023-2024.xlsx	Tabasco	CG extraordinaria 20/jul/2023, anexo 2	123456789/152565	anio federal, sin excepcion documentada
Tamaulipas	2016	NO	SI	1	Ayuntamientos=43 DipMR=22 DipRP=14 Gub=1 (cuadro verbatim del considerando 20)	cuadro del acuerdo: Tamaulipas Ayuntamientos=43	pel2015-2016_CGex1_201512-16_ap25.pdf.txt	considerando 20	CG extraordinaria 16/dic/2015, considerando 20	123456789/87457	anio no federal
Tamaulipas	2018	SI	SI	11		Precampaña para Ayuntamientos	pel2017-2018.xlsx	Tamaulipas	CG extraordinaria 8/sep/2017, anexo 2	123456789/93570	anio federal, sin excepcion documentada
Tamaulipas	2019	NO	NO	0			pel2018-2019ord_CGex201808-6-ap-6-a5.xlsx	TAMAULIPAS	CG extraordinaria 6/ago/2018, anexo 5 (Tamaulipas)	123456789/97991	anio no federal
Tamaulipas	2021	SI	SI	15		Aprobación de topes de gastos de precampaña Ayuntamientos	pel2020-2021_CGex202008-07-ap-2-a1.xlsm	Tamaulipas	CG extraordinaria 7/ago/2020, anexo 1	123456789/114312	anio federal, sin excepcion documentada
Tamaulipas	2022	NO	NO	0			pel2021-2022.xlsx	Concentrado	CG ordinaria 28/jul/2021, anexo 1	123456789/122210	anio no federal
Tamaulipas	2024	SI	SI	17	Diputaciones y ayuntamientos	Aprobación de topes de gastos de precampaña Ayuntamientos	pel2023-2024.xlsx	Tamaulipas	CG extraordinaria 20/jul/2023, anexo 2	123456789/152565	anio federal, sin excepcion documentada
Tlaxcala	2016	NO	SI	1	Ayuntamientos=60 DipMR=15 DipRP=10 Gub=1 (cuadro verbatim del considerando 20)	cuadro del acuerdo: Tlaxcala Ayuntamientos=60	pel2015-2016_CGex1_201512-16_ap25.pdf.txt	considerando 20	CG extraordinaria 16/dic/2015, considerando 20	123456789/87457	anio no federal
Tlaxcala	2018	SI	NO	0			pel2017-2018.xlsx	Tlaxcala	CG extraordinaria 8/sep/2017, anexo 2	123456789/93570	anio federal, sin excepcion documentada
Tlaxcala	2021	SI	SI	15		Aprobación de topes de gastos de precampaña Ayuntamientos	pel2020-2021_CGex202008-07-ap-2-a1.xlsm	Tlaxcala	CG extraordinaria 7/ago/2020, anexo 1	123456789/114312	anio federal, sin excepcion documentada
Tlaxcala	2024	SI	SI	19	Diputaciones, ayuntamientos y presidencias de comunidad	Aprobación de topes de gastos de precampaña Ayuntamientos	pel2023-2024.xlsx	Tlaxcala	CG extraordinaria 20/jul/2023, anexo 2	123456789/152565	anio federal, sin excepcion documentada
Veracruz	2016	NO	NO	0	Ayuntamientos=-- DipMR=30 DipRP=20 Gub=1 (cuadro verbatim del considerando 20)	cuadro del acuerdo: Veracruz Ayuntamientos=--	pel2015-2016_CGex1_201512-16_ap25.pdf.txt	considerando 20	CG extraordinaria 16/dic/2015, considerando 20	123456789/87457	anio no federal
Veracruz	2017	NO	SI	4		31 Precampaña para Ayuntamientos UTVOPL OPL 05/02/2017 12/03/2017	pel2016-2017_CGex201609-7-ap-9-a1.pdf.txt	pel2016-2017_CGex201609-7-ap-9-a1.pdf.txt	CG extraordinaria 7/sep/2016, anexo 1	123456789/85998	anio no federal
Veracruz	2018	SI	NO	0			pel2017-2018.xlsx	Veracruz 	CG extraordinaria 8/sep/2017, anexo 2	123456789/93570	anio federal, sin excepcion documentada
Veracruz	2021	SI	SI	13		Aprobación de topes de gastos de precampaña Ayuntamientos	pel2020-2021_CGex202008-07-ap-2-a1.xlsm	Veracruz	CG extraordinaria 7/ago/2020, anexo 1	123456789/114312	anio federal, sin excepcion documentada
Veracruz	2024	SI	NO	0	Gubernatura, y ayuntamientos		pel2023-2024.xlsx	Veracruz	CG extraordinaria 20/jul/2023, anexo 2	123456789/152565	anio federal, sin excepcion documentada
Veracruz	2025	NO	SI	17		Enviar a la UTIGyND a través de la UTVOPL base de excel con datos de candidaturas para Ayuntamientos desagregadas por sexo (hombre, mujer, persona no binaria)	pel2024-2025_CGor202409-26-ap-03-a2.xlsx	Calendario	CG ordinaria 26/sep/2024, anexo 2	123456789/176887	anio no federal
Yucatán	2015	SI	INDETERMINADO	-1	NO-DETERMINADO-POR-ESTA-FUENTE (el acuerdo enumera entidades, no cargos)		pel2014-2015_CGor201412-18_ap13.pdf.txt	punto de acuerdo	CG ordinaria 18/dic/2014	123456789/87134	anio federal, sin excepcion documentada
Yucatán	2018	SI	SI	11		Precampaña para Ayuntamientos	pel2017-2018.xlsx	Yucatán	CG extraordinaria 8/sep/2017, anexo 2	123456789/93570	anio federal, sin excepcion documentada
Yucatán	2021	SI	SI	15		Aprobación de topes de gastos de precampaña Ayuntamientos	pel2020-2021_CGex202008-07-ap-2-a1.xlsm	Yucatán	CG extraordinaria 7/ago/2020, anexo 1	123456789/114312	anio federal, sin excepcion documentada
Yucatán	2024	SI	SI	17	Gubernatura, diputaciones y ayuntamientos	Aprobación de topes de gastos de precampaña Ayuntamientos	pel2023-2024.xlsx	Yucatán	CG extraordinaria 20/jul/2023, anexo 2	123456789/152565	anio federal, sin excepcion documentada
Zacatecas	2016	NO	SI	1	Ayuntamientos=58 DipMR=18 DipRP=12 Gub=1 (cuadro verbatim del considerando 20)	cuadro del acuerdo: Zacatecas Ayuntamientos=58	pel2015-2016_CGex1_201512-16_ap25.pdf.txt	considerando 20	CG extraordinaria 16/dic/2015, considerando 20	123456789/87457	anio no federal
Zacatecas	2018	SI	SI	12		Aprobación de topes de gastos de precampaña para Ayuntamientos	pel2017-2018.xlsx	Zacatecas	CG extraordinaria 8/sep/2017, anexo 2	123456789/93570	anio federal, sin excepcion documentada
Zacatecas	2021	SI	SI	13		Aprobación de topes de gastos de precampaña Ayuntamientos	pel2020-2021_CGex202008-07-ap-2-a1.xlsm	Zacatecas	CG extraordinaria 7/ago/2020, anexo 1	123456789/114312	anio federal, sin excepcion documentada
Zacatecas	2024	SI	SI	17	Diputaciones y Ayuntamientos	Aprobación de topes de gastos de precampaña Ayuntamientos	pel2023-2024.xlsx	Zacatecas	CG extraordinaria 20/jul/2023, anexo 2	123456789/152565	anio federal, sin excepcion documentada
