# data/l3-ensanut2024-catalogos-v1_0.tsv -- ACTO MAESTRA37-L3, P0(b), COMMIT-1.
# Censo de los catalogos de valores de ENSANUT 2024 en la raiz descargas_mx
# (data/raices.local.yaml). Se lee TODO el catalogo: no se eligen terminos.
# Fuente: los .Catlogo.xlsx de INEGI, hojas "Variables" (etiqueta de variable)
# y "Valores" (codigo -> etiqueta de respuesta). Extraido con openpyxl 3.1.5.
# adultos entra SOLO por catalogo: adultos_ensanut2024_w.stata.stata.zip esta
# AUSENTE-EN-RAIZ (verificado al arrancar el acto, 3/sep/2026).
# utilizadores utilizadores_ensanut2024_w.Catlogo.xlsx       variables=122 filas_valor=398 variables_sin_catalogo=81
# hogar        hogar_ensanut2024_w_ICB.Catlogo.xlsx          variables=204 filas_valor=550 variables_sin_catalogo=68
# integrantes  integrantes_ensanut2024_w_ICB.Catlogo.xlsx    variables=261 filas_valor=2353 variables_sin_catalogo=65
# adultos      adultos_ensanut2024_w.Catlogo.xlsx            variables=843 filas_valor=3332 variables_sin_catalogo=244
# menores      menores_ensanut2024_w.Catlogo.xlsx            variables=484 filas_valor=1546 variables_sin_catalogo=153
modulo	variable_id	etiqueta_variable	codigo	etiqueta_valor
hogar	veri_selec	VERIFICACION DE SELECCION		(sin catalogo de valores: continua, abierta o identificador)
hogar	h08a01esp	H08A01ESP Especifique		(sin catalogo de valores: continua, abierta o identificador)
hogar	h08a02	H08A02 ENTREVISTADOR SELECCIONA EL NÚMERO DE RENGLÓN DEL INTEGRANTE		(sin catalogo de valores: continua, abierta o identificador)
hogar	h08a05	H08A05 En promedio, ¿durante cuántas horas al día llegó el agua entubada, en los días que llegó en las últimas 4 semanas?		(sin catalogo de valores: continua, abierta o identificador)
hogar	h08a09ies	H08A09IES ¿En esta vivienda que otro tipo de almacenamiento usan para el agua? Especifica		(sin catalogo de valores: continua, abierta o identificador)
hogar	h08a10es	H08A10ES ¿El agua que se usa para beber en este hogar, le aplica otro tratamiento? Especifique		(sin catalogo de valores: continua, abierta o identificador)
hogar	h08a11esp	H08A11ESP Otra Fuente ESPECIFICA		(sin catalogo de valores: continua, abierta o identificador)
hogar	h08a12esp	H08A12ESP Otra Fuente ESPECIFICA		(sin catalogo de valores: continua, abierta o identificador)
hogar	h08a13esp	H08A13ESP Otra Fuente ESPECIFICA		(sin catalogo de valores: continua, abierta o identificador)
hogar	h08b01	H08B01 Piense por favor en el pago de agua potable en este hogar, ¿cuánto paga en promedio por el suministro de agua potable al bimestre?		(sin catalogo de valores: continua, abierta o identificador)
hogar	h08b04	H08B04 Piense por favor en lo que gasta cada mes en este hogar por agua de garrafones y agua embotellada para beber, ¿cuánto paga en promedio por el agua para beber para usted y su familia?		(sin catalogo de valores: continua, abierta o identificador)
hogar	comentario	¿Algún comentario de la entrevista?		(sin catalogo de valores: continua, abierta o identificador)
hogar	tiempo	Duración de la Entrevista		(sin catalogo de valores: continua, abierta o identificador)
hogar	hora_fin	Hora de termino		(sin catalogo de valores: continua, abierta o identificador)
hogar	fecha_fin	Fecha de Termino		(sin catalogo de valores: continua, abierta o identificador)
hogar	otroent	Especifique otro resultado de entrevista		(sin catalogo de valores: continua, abierta o identificador)
hogar	fol_rem	Folio de remplazo		(sin catalogo de valores: continua, abierta o identificador)
hogar	x_region	Entidad		(sin catalogo de valores: continua, abierta o identificador)
hogar	ponde_f	ponderador de hogar		(sin catalogo de valores: continua, abierta o identificador)
hogar	est_sel	Estrato de seleccion		(sin catalogo de valores: continua, abierta o identificador)
hogar	indice1	Índice de bienestar (1er CP)		(sin catalogo de valores: continua, abierta o identificador)
hogar	Variables en el archivo de trabajo			(sin catalogo de valores: continua, abierta o identificador)
integrantes	h0302	Sexo	1	Hombre
integrantes	h0302	Sexo	2	Mujer
integrantes	h0304d	Día de Nacimiento	1	01
integrantes	h0304d	Día de Nacimiento	2	02
integrantes	h0304d	Día de Nacimiento	3	03
integrantes	h0304d	Día de Nacimiento	4	04
integrantes	h0304d	Día de Nacimiento	5	05
integrantes	h0304d	Día de Nacimiento	6	06
integrantes	h0304d	Día de Nacimiento	7	07
integrantes	h0304d	Día de Nacimiento	8	08
integrantes	h0304d	Día de Nacimiento	9	09
integrantes	h0304d	Día de Nacimiento	10	10
integrantes	h0304d	Día de Nacimiento	11	11
integrantes	h0304d	Día de Nacimiento	12	12
integrantes	h0304d	Día de Nacimiento	13	13
integrantes	h0304d	Día de Nacimiento	14	14
integrantes	h0304d	Día de Nacimiento	15	15
integrantes	h0304d	Día de Nacimiento	16	16
integrantes	h0304d	Día de Nacimiento	17	17
integrantes	h0304d	Día de Nacimiento	18	18
integrantes	h0304d	Día de Nacimiento	19	19
integrantes	h0304d	Día de Nacimiento	20	20
integrantes	h0304d	Día de Nacimiento	21	21
integrantes	h0304d	Día de Nacimiento	22	22
integrantes	h0304d	Día de Nacimiento	23	23
integrantes	h0304d	Día de Nacimiento	24	24
integrantes	h0304d	Día de Nacimiento	25	25
integrantes	h0304d	Día de Nacimiento	26	26
integrantes	h0304d	Día de Nacimiento	27	27
integrantes	h0304d	Día de Nacimiento	28	28
integrantes	h0304d	Día de Nacimiento	29	29
integrantes	h0304d	Día de Nacimiento	30	30
integrantes	h0304d	Día de Nacimiento	31	31
integrantes	h0304d	Día de Nacimiento	99	No sabe
integrantes	h0304m	Mes de Nacimiento	1	Enero
integrantes	h0304m	Mes de Nacimiento	2	Febrero
integrantes	h0304m	Mes de Nacimiento	3	Marzo
integrantes	h0304m	Mes de Nacimiento	4	Abril
integrantes	h0304m	Mes de Nacimiento	5	Mayo
integrantes	h0304m	Mes de Nacimiento	6	Junio
integrantes	h0304m	Mes de Nacimiento	7	Julio
integrantes	h0304m	Mes de Nacimiento	8	Agosto
integrantes	h0304m	Mes de Nacimiento	9	Septiembre
integrantes	h0304m	Mes de Nacimiento	10	Octubre
integrantes	h0304m	Mes de Nacimiento	11	Noviembre
integrantes	h0304m	Mes de Nacimiento	12	Diciembre
integrantes	h0304m	Mes de Nacimiento	99	No sabe
integrantes	h0305	¿Que es (NOMBRE) de la (del) jefe(a)?	1	Jefa(e)
integrantes	h0305	¿Que es (NOMBRE) de la (del) jefe(a)?	2	Esposa(o) o pareja
integrantes	h0305	¿Que es (NOMBRE) de la (del) jefe(a)?	3	Hija(o)
integrantes	h0305	¿Que es (NOMBRE) de la (del) jefe(a)?	4	Nieta(o)
integrantes	h0305	¿Que es (NOMBRE) de la (del) jefe(a)?	5	Nuera o yerno
integrantes	h0305	¿Que es (NOMBRE) de la (del) jefe(a)?	6	Madre o Padre
integrantes	h0305	¿Que es (NOMBRE) de la (del) jefe(a)?	7	Suegra(o)
integrantes	h0305	¿Que es (NOMBRE) de la (del) jefe(a)?	8	Otro
integrantes	h0305	¿Que es (NOMBRE) de la (del) jefe(a)?	9	Sin parentesco
integrantes	int_nuevo	Existe otro integrante en el hogar	1	Sí
integrantes	int_nuevo	Existe otro integrante en el hogar	2	No
integrantes	h0306	H0306 ¿En qué estado de la República Mexicana o país nació (NOMBRE)?	1	Aquí, en este estado
integrantes	h0306	H0306 ¿En qué estado de la República Mexicana o país nació (NOMBRE)?	2	En otro estado
integrantes	h0306	H0306 ¿En qué estado de la República Mexicana o país nació (NOMBRE)?	3	En Estados Unidos de América
integrantes	h0306	H0306 ¿En qué estado de la República Mexicana o país nació (NOMBRE)?	4	En otro país
integrantes	h0306e	H0306E ¿En cual estado de la República Mexicana? nació (NOMBRE)?	1	01 AGUASCALIENTES
integrantes	h0306e	H0306E ¿En cual estado de la República Mexicana? nació (NOMBRE)?	2	02 BAJA CALIFORNIA
integrantes	h0306e	H0306E ¿En cual estado de la República Mexicana? nació (NOMBRE)?	3	03 BAJA CALIFORNIA SUR
integrantes	h0306e	H0306E ¿En cual estado de la República Mexicana? nació (NOMBRE)?	4	04 CAMPECHE
integrantes	h0306e	H0306E ¿En cual estado de la República Mexicana? nació (NOMBRE)?	5	05 COAHUILA DE ZARAGOZA
integrantes	h0306e	H0306E ¿En cual estado de la República Mexicana? nació (NOMBRE)?	6	06 COLIMA
integrantes	h0306e	H0306E ¿En cual estado de la República Mexicana? nació (NOMBRE)?	7	07 CHIAPAS
integrantes	h0306e	H0306E ¿En cual estado de la República Mexicana? nació (NOMBRE)?	8	08 CHIHUAHUA
integrantes	h0306e	H0306E ¿En cual estado de la República Mexicana? nació (NOMBRE)?	9	09 CIUDAD DE MÉXICO
integrantes	h0306e	H0306E ¿En cual estado de la República Mexicana? nació (NOMBRE)?	10	10 DURANGO
integrantes	h0306e	H0306E ¿En cual estado de la República Mexicana? nació (NOMBRE)?	11	11 GUANAJUATO
integrantes	h0306e	H0306E ¿En cual estado de la República Mexicana? nació (NOMBRE)?	12	12 GUERRERO
integrantes	h0306e	H0306E ¿En cual estado de la República Mexicana? nació (NOMBRE)?	13	13 HIDALGO
integrantes	h0306e	H0306E ¿En cual estado de la República Mexicana? nació (NOMBRE)?	14	14 JALISCO
integrantes	h0306e	H0306E ¿En cual estado de la República Mexicana? nació (NOMBRE)?	15	15 MÉXICO
integrantes	h0306e	H0306E ¿En cual estado de la República Mexicana? nació (NOMBRE)?	16	16 MICHOACÁN DE OCAMPO
integrantes	h0306e	H0306E ¿En cual estado de la República Mexicana? nació (NOMBRE)?	17	17 MORELOS
integrantes	h0306e	H0306E ¿En cual estado de la República Mexicana? nació (NOMBRE)?	18	18 NAYARIT
integrantes	h0306e	H0306E ¿En cual estado de la República Mexicana? nació (NOMBRE)?	19	19 NUEVO LEÓN
integrantes	h0306e	H0306E ¿En cual estado de la República Mexicana? nació (NOMBRE)?	20	20 OAXACA
integrantes	h0306e	H0306E ¿En cual estado de la República Mexicana? nació (NOMBRE)?	21	21 PUEBLA
integrantes	h0306e	H0306E ¿En cual estado de la República Mexicana? nació (NOMBRE)?	22	22 QUERÉTARO
integrantes	h0306e	H0306E ¿En cual estado de la República Mexicana? nació (NOMBRE)?	23	23 QUINTANA ROO
integrantes	h0306e	H0306E ¿En cual estado de la República Mexicana? nació (NOMBRE)?	24	24 SAN LUIS POTOSÍ
integrantes	h0306e	H0306E ¿En cual estado de la República Mexicana? nació (NOMBRE)?	25	25 SINALOA
integrantes	h0306e	H0306E ¿En cual estado de la República Mexicana? nació (NOMBRE)?	26	26 SONORA
integrantes	h0306e	H0306E ¿En cual estado de la República Mexicana? nació (NOMBRE)?	27	27 TABASCO
integrantes	h0306e	H0306E ¿En cual estado de la República Mexicana? nació (NOMBRE)?	28	28 TAMAULIPAS
integrantes	h0306e	H0306E ¿En cual estado de la República Mexicana? nació (NOMBRE)?	29	29 TLAXCALA
integrantes	h0306e	H0306E ¿En cual estado de la República Mexicana? nació (NOMBRE)?	30	30 VERACRUZ DE IGNACIO DE LA LLAVE
integrantes	h0306e	H0306E ¿En cual estado de la República Mexicana? nació (NOMBRE)?	31	31 YUCATÁN
integrantes	h0306e	H0306E ¿En cual estado de la República Mexicana? nació (NOMBRE)?	32	32 ZACATECAS
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	1	Afganistán
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	2	Albania
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	3	Alemania
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	4	Andorra
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	5	Angola
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	6	Antigua y Barbuda
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	7	Arabia Saudita
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	8	Argelia
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	9	Argentina
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	10	Armenia
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	11	Australia
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	12	Austria
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	13	Azerbaiyán
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	14	Bahamas
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	15	Bangladés
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	16	Barbados
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	17	Baréin
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	18	Bélgica
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	19	Belice
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	20	Benín
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	21	Bielorrusia
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	22	Birmania
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	23	Bolivia
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	24	Bosnia y Herzegovina
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	25	Botsuana
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	26	Brasil
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	27	Brunéi
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	28	Bulgaria
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	29	Burkina Faso
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	30	Burundi
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	31	Bután
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	32	Cabo Verde
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	33	Camboya
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	34	Camerún
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	35	Canadá
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	36	Catar
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	37	Chad
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	38	Chile
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	39	China
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	40	Chipre
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	41	Ciudad del Vaticano
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	42	Colombia
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	43	Comoras
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	44	Corea del Norte
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	45	Corea del Sur
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	46	Costa de Marfil
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	47	Costa Rica
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	48	Croacia
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	49	Cuba
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	50	Dinamarca
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	51	Dominica
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	52	Ecuador
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	53	Egipto
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	54	El Salvador
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	55	Emiratos Árabes Unidos
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	56	Eritrea
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	57	Eslovaquia
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	58	Eslovenia
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	59	España
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	60	Estados Unidos
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	61	Estonia
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	62	Etiopía
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	63	Filipinas
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	64	Finlandia
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	65	Fiyi
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	66	Francia
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	67	Gabón
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	68	Gambia
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	69	Georgia
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	70	Ghana
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	71	Granada
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	72	Grecia
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	73	Guatemala
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	74	Guyana
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	75	Guinea
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	76	Guinea ecuatorial
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	77	Guinea-Bisáu
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	78	Haití
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	79	Honduras
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	80	Hungría
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	81	India
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	82	Indonesia
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	83	Irak
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	84	Irán
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	85	Irlanda
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	86	Islandia
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	87	Islas Marshall
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	88	Islas Salomón
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	89	Israel
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	90	Italia
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	91	Jamaica
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	92	Japón
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	93	Jordania
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	94	Kazajistán
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	95	Kenia
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	96	Kirguistán
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	97	Kiribati
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	98	Kuwait
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	99	Laos
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	100	Lesoto
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	101	Letonia
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	102	Líbano
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	103	Liberia
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	104	Libia
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	105	Liechtenstein
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	106	Lituania
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	107	Luxemburgo
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	108	Macedonia del Norte
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	109	Madagascar
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	110	Malasia
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	111	Malaui
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	112	Maldivas
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	113	Malí
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	114	Malta
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	115	Marruecos
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	116	Mauricio
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	117	Mauritania
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	118	México
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	119	Micronesia
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	120	Moldavia
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	121	Mónaco
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	122	Mongolia
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	123	Montenegro
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	124	Mozambique
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	125	Namibia
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	126	Nauru
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	127	Nepal
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	128	Nicaragua
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	129	Níger
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	130	Nigeria
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	131	Noruega
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	132	Nueva Zelanda
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	133	Omán
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	134	Países Bajos
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	135	Pakistán
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	136	Palaos
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	137	Panamá
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	138	Papúa Nueva Guinea
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	139	Paraguay
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	140	Perú
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	141	Polonia
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	142	Portugal
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	143	Reino Unido
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	144	República Centroafricana
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	145	República Checa
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	146	República del Congo
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	147	República Democrática del Congo
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	148	República Dominicana
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	149	Ruanda
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	150	Rumanía
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	151	Rusia
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	152	Samoa
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	153	San Cristóbal y Nieves
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	154	San Marino
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	155	San Vicente y las Granadinas
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	156	Santa Lucía
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	157	Santo Tomé y Príncipe
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	158	Senegal
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	159	Serbia
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	160	Seychelles
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	161	Sierra Leona
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	162	Singapur
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	163	Siria
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	164	Somalia
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	165	Sri Lanka
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	166	Suazilandia
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	167	Sudáfrica
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	168	Sudán
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	169	Sudán del Sur
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	170	Suecia
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	171	Suiza
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	172	Surinam
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	173	Tailandia
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	174	Tanzania
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	175	Tayikistán
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	176	Timor Oriental
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	177	Togo
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	178	Tonga
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	179	Trinidad y Tobago
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	180	Túnez
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	181	Turkmenistán
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	182	Turquía
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	183	Tuvalu
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	184	Ucrania
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	185	Uganda
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	186	Uruguay
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	187	Uzbekistán
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	188	Vanuatu
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	189	Venezuela
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	190	Vietnam
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	191	Yemen
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	192	Yibuti
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	193	Zambia
integrantes	h0306p	H0306P ¿En cual país? nació (NOMBRE)?	194	Zimbabue
integrantes	h0307	H0307 En este hogar, ¿Vive la madre de (NOMBRE)?	1	Sí
integrantes	h0307	H0307 En este hogar, ¿Vive la madre de (NOMBRE)?	2	No, vive en otro lugar
integrantes	h0307	H0307 En este hogar, ¿Vive la madre de (NOMBRE)?	3	No, ya falleció
integrantes	h0307	H0307 En este hogar, ¿Vive la madre de (NOMBRE)?	8	Matrimonio igualitario
integrantes	h0307	H0307 En este hogar, ¿Vive la madre de (NOMBRE)?	9	No sabe
integrantes	h0308	H0308 En este hogar, ¿vive el padre de (NOMBRE)?	1	Sí
