ruta	sha256_recalculado	linea	tier_literal_en_linea	pasaje_candidato
corpus/reports/El_Mexicano_y_el_Tiempo__Estructura__no_Cultura__en_la_Planeación_y_el_Compromiso_Temporal.md	112051b24e5f948f3be0aac62f1ecb476ec101d8d59acfa04daef0264e1b1bb8	209	FUERTE	- SI [informalidad, ingreso volátil, pobreza] ENTONCES [horizonte corto, ahorro informal, foco en emergencia] — PORQUE [adaptación racional + tunneling de escasez] — **[FUERTE]**.
corpus/reports/El_Mexicano_y_el_Tiempo__Estructura__no_Cultura__en_la_Planeación_y_el_Compromiso_Temporal.md	112051b24e5f948f3be0aac62f1ecb476ec101d8d59acfa04daef0264e1b1bb8	214	MEDIA	"- SI [recursos escasos y múltiples urgencias compitiendo] ENTONCES [pospone lo no urgente, improvisa el ""bomberazo""] — PORQUE [bandwidth tax] — **[MEDIA]**."
corpus/reports/El_Mexicano_y_el_Tiempo__Estructura__no_Cultura__en_la_Planeación_y_el_Compromiso_Temporal.md	112051b24e5f948f3be0aac62f1ecb476ec101d8d59acfa04daef0264e1b1bb8	215	MEDIA	- SI [entorno con recursos y previsibilidad, incentivo a planear] ENTONCES [planea y adelanta] — PORQUE [el entorno permite slack] — **[MEDIA]**.
corpus/reports/El_Mexicano_y_el_Tiempo__Estructura__no_Cultura__en_la_Planeación_y_el_Compromiso_Temporal.md	112051b24e5f948f3be0aac62f1ecb476ec101d8d59acfa04daef0264e1b1bb8	220	MEDIA	- SI [cita médica, entrevista, trámite con costo por faltar] ENTONCES [mayor probabilidad de cumplir si hay recordatorio y bajo costo de asistir] — PORQUE [incentivo + reducción de barrera estructural] — **[MEDIA]**.
corpus/reports/El_Mexicano_y_el_Tiempo__Estructura__no_Cultura__en_la_Planeación_y_el_Compromiso_Temporal.md	112051b24e5f948f3be0aac62f1ecb476ec101d8d59acfa04daef0264e1b1bb8	252	MEDIA	"*Nota metodológica: gran parte de la evidencia sobre ""policronía mexicana"" y sobre ""ahorita"" es cualitativa, etnográfica o de hace décadas (Hall, 1959-1983), no medición reciente representativa. Los datos primarios recientes (INEGI ENUT 2024; ENOE 2024-2026; ENIF 2024 INEGI-CNBV; ENSU 4T-2025; CONEVAL/ENIGH 2024; Latinobarómetro 2024) se refieren a uso del tiempo, informalidad, inclusión financiera, inseguridad, pobreza y confianza —contexto estructural— no directamente a ""personalidad temporal"". Toda inferencia entre ambos niveles se marca por tier. Este report ABRE el constructo ""ahorita"" —no cubierto antes en el corpus— y extiende el constructo ancla ""horizonte de planeación"" (Behavioral Finance, evidencia media-fuerte) del terreno financiero al del tiempo social.*"
corpus/reports/El_México_Rural_e_Indígena_en_sus_Propios_Términos__Comunalidad__Autoridad_y_Reciprocidad_como_Sistemas_con_Lógica_Propia.md	546e89ccc00ee6198c8f87594053cd34d395e5e33a39a14ed9f416b57a643472	7	FUERTE	"1. **La comunalidad es un sistema, no un rasgo.** En la Sierra Norte de Oaxaca, la vida se organiza en torno a cuatro pilares interdependientes —territorio comunal, trabajo comunal (tequio), poder/gobierno comunal (asamblea y cargos) y fiesta comunal—. (Evidencia fuerte como práctica; el *concepto* ""comunalidad"" es elaboración intelectual reciente, ver #10.) *Es de los hallazgos más sólidos y más útiles.*"
corpus/reports/El_México_Rural_e_Indígena_en_sus_Propios_Términos__Comunalidad__Autoridad_y_Reciprocidad_como_Sistemas_con_Lógica_Propia.md	546e89ccc00ee6198c8f87594053cd34d395e5e33a39a14ed9f416b57a643472	9	NO-EXPLÍCITO	2. **La autoridad es servicio, no representación remunerada.** En el sistema de cargos, el prestigio y la ciudadanía plena se obtienen sirviendo gratuitamente a la comunidad en una escala de responsabilidades. La autoridad es delegada por la asamblea, rotativa, no remunerada y revocable. *Muy sólido y muy malinterpretado.*
corpus/reports/El_México_Rural_e_Indígena_en_sus_Propios_Términos__Comunalidad__Autoridad_y_Reciprocidad_como_Sistemas_con_Lógica_Propia.md	546e89ccc00ee6198c8f87594053cd34d395e5e33a39a14ed9f416b57a643472	11	NO-EXPLÍCITO	3. **La asamblea comunitaria es órgano soberano.** La toma de decisiones se realiza por deliberación colectiva buscando consenso, no por delegación permanente a representantes. En 417 de los 570 municipios de Oaxaca y en casos como Cherán, esto tiene reconocimiento legal. *Sólido.*
corpus/reports/El_México_Rural_e_Indígena_en_sus_Propios_Términos__Comunalidad__Autoridad_y_Reciprocidad_como_Sistemas_con_Lógica_Propia.md	546e89ccc00ee6198c8f87594053cd34d395e5e33a39a14ed9f416b57a643472	13	NO-EXPLÍCITO	4. **La reciprocidad es una infraestructura económica y moral, no folclor.** El tequio, la gozona, la guelaguetza y la mano vuelta constituyen un sistema de deuda diferida y seguro social mutuo que sostiene obra pública, ciclos agrícolas y protección de vulnerables. *Sólido; frecuentemente romantizado.*
corpus/reports/El_México_Rural_e_Indígena_en_sus_Propios_Términos__Comunalidad__Autoridad_y_Reciprocidad_como_Sistemas_con_Lógica_Propia.md	546e89ccc00ee6198c8f87594053cd34d395e5e33a39a14ed9f416b57a643472	15	NO-EXPLÍCITO	"5. **Los ""usos y costumbres"" son sistemas normativos completos**, con procedimientos, sanciones, mediación y órganos (asamblea, consejo de ancianos), no ausencia de reglas ni informalidad."
corpus/reports/El_México_Rural_e_Indígena_en_sus_Propios_Términos__Comunalidad__Autoridad_y_Reciprocidad_como_Sistemas_con_Lógica_Propia.md	546e89ccc00ee6198c8f87594053cd34d395e5e33a39a14ed9f416b57a643472	17	NO-EXPLÍCITO	6. **La tierra comunal y ejidal es matriz institucional, no solo recurso.** La propiedad social cubre 99,759,455 hectáreas —el 50.7% del territorio nacional— y estructura pertenencia, autoridad y trabajo. Existe una diferencia jurídica precisa entre ejido y comunidad agraria. *Sólido.*
corpus/reports/El_México_Rural_e_Indígena_en_sus_Propios_Términos__Comunalidad__Autoridad_y_Reciprocidad_como_Sistemas_con_Lógica_Propia.md	546e89ccc00ee6198c8f87594053cd34d395e5e33a39a14ed9f416b57a643472	19	MEDIA	7. **La migración transnacional reconfigura —no destruye— el sistema.** Aparecen cargos ejercidos a distancia, cuotas pagadas desde EE. UU., clubes de oriundos y remesas colectivas: la comunidad se vuelve translocal manteniendo su lógica de ciudadanía por servicio. *Evidencia media-fuerte.*
corpus/reports/El_México_Rural_e_Indígena_en_sus_Propios_Términos__Comunalidad__Autoridad_y_Reciprocidad_como_Sistemas_con_Lógica_Propia.md	546e89ccc00ee6198c8f87594053cd34d395e5e33a39a14ed9f416b57a643472	21	NO-EXPLÍCITO	8. **Los pueblos del norte operan con otra lógica**: movilidad, dispersión y rechazo a la autoridad centralizada (rarámuri, yaquis, seris), frente a la densa vida corporativa mesoamericana del sur. *Sólido; el hallazgo que más cambiaría el reporte si el foco fuera el norte.*
corpus/reports/El_México_Rural_e_Indígena_en_sus_Propios_Términos__Comunalidad__Autoridad_y_Reciprocidad_como_Sistemas_con_Lógica_Propia.md	546e89ccc00ee6198c8f87594053cd34d395e5e33a39a14ed9f416b57a643472	23	NO-EXPLÍCITO	"9. **Buena parte de lo que se lee como ""cultura"" es adaptación racional al despojo y a la ausencia estatal.** La cerrazón defensiva, la desconfianza al Estado y al mercado y la autogestión de seguridad (Cherán) responden a incentivos concretos. *Sólido y peligroso si se simplifica.*"
corpus/reports/El_México_Rural_e_Indígena_en_sus_Propios_Términos__Comunalidad__Autoridad_y_Reciprocidad_como_Sistemas_con_Lógica_Propia.md	546e89ccc00ee6198c8f87594053cd34d395e5e33a39a14ed9f416b57a643472	25	NO-EXPLÍCITO	"10. **""Comunalidad"" y ""buen vivir"" son elaboraciones intelectuales y políticas contemporáneas**, no descripciones etnográficas neutras. Nombran prácticas más antiguas pero fueron formuladas en contextos de lucha (Oaxaca desde los años 70; Andes desde los 2000). *Crucial para no reificar.*"
corpus/reports/El_México_Rural_e_Indígena_en_sus_Propios_Términos__Comunalidad__Autoridad_y_Reciprocidad_como_Sistemas_con_Lógica_Propia.md	546e89ccc00ee6198c8f87594053cd34d395e5e33a39a14ed9f416b57a643472	27	NO-EXPLÍCITO	11. **El sistema de cargos y las cofradías tienen origen mayormente colonial y decimonónico, no prehispánico puro.** *Sólido; corrige una narrativa popular común.*
corpus/reports/El_México_Rural_e_Indígena_en_sus_Propios_Términos__Comunalidad__Autoridad_y_Reciprocidad_como_Sistemas_con_Lógica_Propia.md	546e89ccc00ee6198c8f87594053cd34d395e5e33a39a14ed9f416b57a643472	29	NO-EXPLÍCITO	12. **La comunalidad no es armonía.** Hay faccionalismo, cacicazgo, exclusión de mujeres y de avecindados, expulsiones religiosas y control social duro. *Sólido; el correctivo más importante frente a la idealización.*
corpus/reports/El_México_Rural_e_Indígena_en_sus_Propios_Términos__Comunalidad__Autoridad_y_Reciprocidad_como_Sistemas_con_Lógica_Propia.md	546e89ccc00ee6198c8f87594053cd34d395e5e33a39a14ed9f416b57a643472	31	NO-EXPLÍCITO	13. **Salud: coexisten sistemas médicos propios** (partería tradicional, síndromes de filiación cultural como el susto y el empacho, herbolaria) con lógica interna coherente, articulables —no subordinables— a la medicina alopática.
corpus/reports/El_México_Rural_e_Indígena_en_sus_Propios_Términos__Comunalidad__Autoridad_y_Reciprocidad_como_Sistemas_con_Lógica_Propia.md	546e89ccc00ee6198c8f87594053cd34d395e5e33a39a14ed9f416b57a643472	33	MEDIA	14. **La reciprocidad puede erosionarse bajo pobreza acumulada** (González de la Rocha) y bajo transferencias monetarias individualizadas; el efecto sobre las instituciones comunitarias es hipótesis crítica plausible más que hecho comprobado. *Evidencia media/hipótesis.*
corpus/reports/El_México_Rural_e_Indígena_en_sus_Propios_Términos__Comunalidad__Autoridad_y_Reciprocidad_como_Sistemas_con_Lógica_Propia.md	546e89ccc00ee6198c8f87594053cd34d395e5e33a39a14ed9f416b57a643472	35	NO-EXPLÍCITO	"15. **Analogías latinoamericanas reales pero no identidad.** El ayllu, ayni y minka andinos riman con la comunalidad mexicana, pero no hay un ""mundo indígena"" homogéneo pan-latinoamericano."
corpus/reports/Elegir__Cortejar_y_Amar_en_el_México_de_Hoy__Díada_de_Pareja__Apps_de_Citas_y_Cambio_en_los_Guiones_de_Género.md	b27f1923c57e16c1bd4fa49760e09e417c72f558b448f21b8451d49569cccfb3	5	NO-EXPLÍCITO	"1. **[SÓLIDO] La formación de pareja en México se está ""desinstitucionalizando"", no desapareciendo.** La edad promedio al matrimonio subió a 34.1 años en hombres (desde 29.8 en 2013) y 31.3 años en mujeres (desde 26.9 en 2013), según la Estadística de Matrimonios (EMAT) 2022 del INEGI, que registró 507,052 matrimonios. La tasa de nupcialidad cayó de 7.2 matrimonios por cada mil habitantes de 18+ en 2014 a 5.6 en 2023 (INEGI, EMAT 2023, comunicado 572/24), y 17.8% de la población de 15+ vive en unión libre (ENOE, tercer trimestre 2023). Los mexicanos no dejan de emparejarse: retrasan y desformalizan."
corpus/reports/Elegir__Cortejar_y_Amar_en_el_México_de_Hoy__Díada_de_Pareja__Apps_de_Citas_y_Cambio_en_los_Guiones_de_Género.md	b27f1923c57e16c1bd4fa49760e09e417c72f558b448f21b8451d49569cccfb3	7	NO-EXPLÍCITO	"2. **[SÓLIDO] La cohabitación (unión libre) tiene doble raíz.** No es solo modernidad importada: existe una unión libre ""tradicional"" de raíz histórica colonial e indígena, propia de sectores populares, y una ""moderna"" que crece en clases medias urbanas como ensayo pre-matrimonial o alternativa ideológica. Confundirlas es un error analítico frecuente."
corpus/reports/Elegir__Cortejar_y_Amar_en_el_México_de_Hoy__Díada_de_Pareja__Apps_de_Citas_y_Cambio_en_los_Guiones_de_Género.md	b27f1923c57e16c1bd4fa49760e09e417c72f558b448f21b8451d49569cccfb3	9	NO-EXPLÍCITO	"3. **[SÓLIDO] Las apps de citas ya son infraestructura de cortejo para el México urbano digitalizado, pero NO para todo México.** Según el estudio ""El amor en los Tiempos de las Telecom 2026"" de The Competitive Intelligence Unit (The CIU), 22.3% de quienes han usado estas plataformas está hoy buscando pareja mediante una app, equivalente a 8.6 millones de usuarios activos, con una frecuencia de uso que subió a 2.7 veces por semana (vs. 2.4 el año previo). Tinder y Bumble dominan. Es un fenómeno de clases medias urbanas conectadas, no del país entero."
corpus/reports/Elegir__Cortejar_y_Amar_en_el_México_de_Hoy__Díada_de_Pareja__Apps_de_Citas_y_Cambio_en_los_Guiones_de_Género.md	b27f1923c57e16c1bd4fa49760e09e417c72f558b448f21b8451d49569cccfb3	11	NO-EXPLÍCITO	4. **[SÓLIDO] La violencia en el noviazgo es estructura + guion, no anécdota.** Con datos de la ENDIREH 2021 (INEGI) analizados por Rodríguez-Hernández, Castillo-Viveros y Esquivel-Santoveña (*Psychology, Society & Education*, 2023, n=7,140 mujeres de 15-24 años), 20.2% de las mujeres de esa edad vivió al menos una agresión de su pareja en el último año: 19.9% emocional, 2.7% física, 2.0% sexual. La ENDIREH 2021 estima además que 39.9% de las mujeres de 15+ ha sufrido violencia de pareja a lo largo de la vida, y que solo 13.6% de quienes la sufrieron acudió a una autoridad.
corpus/reports/Elegir__Cortejar_y_Amar_en_el_México_de_Hoy__Díada_de_Pareja__Apps_de_Citas_y_Cambio_en_los_Guiones_de_Género.md	b27f1923c57e16c1bd4fa49760e09e417c72f558b448f21b8451d49569cccfb3	13	NO-EXPLÍCITO	"5. **[SÓLIDO] La secularización avanza pero es parcial y desigual.** Según el Censo de Población y Vivienda 2020 (INEGI), los católicos bajaron de 82.7% (2010) a 77.7% (97,864,218 personas en 2020); los protestantes/evangélicos subieron de 7.5% a 11.2%; los ""sin religión"" pasaron de 4.7% a 8.1%, más un 2.5% adicional de ""creyentes sin adscripción religiosa"" (10.6% combinado). La secularización es sobre todo urbana; en ciudades medianas y zonas rurales el catolicismo sigue estructurando el guion de pareja (Guanajuato, Jalisco, Zacatecas y Aguascalientes conservan ~90% de feligresía católica)."
corpus/reports/Elegir__Cortejar_y_Amar_en_el_México_de_Hoy__Díada_de_Pareja__Apps_de_Citas_y_Cambio_en_los_Guiones_de_Género.md	b27f1923c57e16c1bd4fa49760e09e417c72f558b448f21b8451d49569cccfb3	15	NO-EXPLÍCITO	6. **[SÓLIDO] El matrimonio igualitario es nacional desde 2022** (último estado en reformar su código civil: Tamaulipas, 26 de octubre de 2022), y la población LGBT+ es 5.1% de los mayores de 15 años (~5 millones, según ENDISEG 2021 del INEGI, comunicado 340/22: 2.1 millones de hombres y 2.9 millones de mujeres, con 67.5% entre 15 y 29 años). La díada de pareja ya no puede analizarse como exclusivamente heterosexual.
corpus/reports/Elegir__Cortejar_y_Amar_en_el_México_de_Hoy__Díada_de_Pareja__Apps_de_Citas_y_Cambio_en_los_Guiones_de_Género.md	b27f1923c57e16c1bd4fa49760e09e417c72f558b448f21b8451d49569cccfb3	17	MEDIO	"7. **[MEDIO] Persiste un desfase entre el ideal romántico y la práctica real.** Los ""mitos del amor romántico"" (media naranja, celos como prueba de amor, ""el amor todo lo puede"", compatibilidad amor-violencia) siguen operando y se asocian a mayor tolerancia a la violencia, sobre todo en hombres jóvenes; pero la aceptación explícita de esos mitos está bajando en cohortes universitarias."
corpus/reports/Elegir__Cortejar_y_Amar_en_el_México_de_Hoy__Díada_de_Pareja__Apps_de_Citas_y_Cambio_en_los_Guiones_de_Género.md	b27f1923c57e16c1bd4fa49760e09e417c72f558b448f21b8451d49569cccfb3	19	MEDIO	8. **[MEDIO] Marianismo y machismo/caballerismo operan como guiones residuales, no como esencia.** El marianismo (autosacrificio, autosilenciamiento, pilar espiritual/familiar) y el machismo tradicional (dominancia, supresión emocional) coexisten con el caballerismo (responsabilidad, conexión emocional). En la díada actual estos guiones se negocian y erosionan de forma desigual por clase y escolaridad.
corpus/reports/Elegir__Cortejar_y_Amar_en_el_México_de_Hoy__Díada_de_Pareja__Apps_de_Citas_y_Cambio_en_los_Guiones_de_Género.md	b27f1923c57e16c1bd4fa49760e09e417c72f558b448f21b8451d49569cccfb3	21	MEDIO	9. **[MEDIO] Los celos operan en dos registros distintos: control vs. inseguridad.** La evidencia psicométrica mexicana (Escala Multidimensional de Celos, EMUCE) separa componentes emocionales/de inseguridad de conductas de control; los celos como control, no como emoción, son los que predicen violencia.
corpus/reports/Elegir__Cortejar_y_Amar_en_el_México_de_Hoy__Díada_de_Pareja__Apps_de_Citas_y_Cambio_en_los_Guiones_de_Género.md	b27f1923c57e16c1bd4fa49760e09e417c72f558b448f21b8451d49569cccfb3	23	MEDIO	10. **[MEDIO] La entrada femenina al mercado laboral y la escolarización reconfiguran el poder en la díada.** En 52% de los matrimonios de 2022 ambos cónyuges trabajaban y en 53% ambos tenían la misma escolaridad (INEGI); la mayor escolaridad y las actitudes igualitarias de género son factores protectores frente a la violencia en el noviazgo.
corpus/reports/Elegir__Cortejar_y_Amar_en_el_México_de_Hoy__Díada_de_Pareja__Apps_de_Citas_y_Cambio_en_los_Guiones_de_Género.md	b27f1923c57e16c1bd4fa49760e09e417c72f558b448f21b8451d49569cccfb3	25	MEDIO	"11. **[MEDIO] La violencia digital de pareja es una forma nueva de un guion viejo.** El monitoreo, la revisión de redes y el control vía celular son las conductas más frecuentes; se justifican bajo creencias románticas de ""amor = vigilancia"", especialmente en jóvenes intensamente conectados."
corpus/reports/Elegir__Cortejar_y_Amar_en_el_México_de_Hoy__Díada_de_Pareja__Apps_de_Citas_y_Cambio_en_los_Guiones_de_Género.md	b27f1923c57e16c1bd4fa49760e09e417c72f558b448f21b8451d49569cccfb3	27	NO-EXPLÍCITO	12. **[HIPÓTESIS RAZONABLE] Las apps reconfiguran el cortejo hacia lógicas de mercado y aceleran el desacople entre sexo, romance y matrimonio,** pero la evidencia mexicana representativa sobre efectos en la calidad de las relaciones es escasa; la mayoría de datos provienen de consultoras de mercado, no de estudios académicos.
corpus/reports/Elegir__Cortejar_y_Amar_en_el_México_de_Hoy__Díada_de_Pareja__Apps_de_Citas_y_Cambio_en_los_Guiones_de_Género.md	b27f1923c57e16c1bd4fa49760e09e417c72f558b448f21b8451d49569cccfb3	29	NO-EXPLÍCITO	13. **[HIPÓTESIS RAZONABLE] Grindr y las apps LGBT+ cumplen función de seguridad e infraestructura de sociabilidad en contextos hostiles,** además de encuentro sexual; pero también concentran riesgos (extorsión, violencia, exposición de menores).
corpus/reports/Elegir__Cortejar_y_Amar_en_el_México_de_Hoy__Díada_de_Pareja__Apps_de_Citas_y_Cambio_en_los_Guiones_de_Género.md	b27f1923c57e16c1bd4fa49760e09e417c72f558b448f21b8451d49569cccfb3	31	NO-EXPLÍCITO	"14. **[NARRATIVA POPULAR — CAUTELA] ""El mexicano es esencialmente celoso/infiel/machista"".** Es un cliché esencialista. Los datos muestran variación enorme por clase, generación, región y escolaridad; los patrones son adaptaciones a estructuras (desigualdad, dependencia económica, informalidad) más que rasgos nacionales fijos."
corpus/reports/Elegir__Cortejar_y_Amar_en_el_México_de_Hoy__Díada_de_Pareja__Apps_de_Citas_y_Cambio_en_los_Guiones_de_Género.md	b27f1923c57e16c1bd4fa49760e09e417c72f558b448f21b8451d49569cccfb3	33	NO-EXPLÍCITO	"15. **[MÁS MALINTERPRETADO] ""3 de cada 10 jóvenes sufren violencia en el noviazgo (UNAM)"".** Esta cifra circula masivamente pero proviene de una declaración divulgativa (boletín UNAM-DGCS-108, del Centro de Investigaciones y Estudios de Género, 14 feb 2024), sin encuesta ni metodología publicada; la cifra rigurosa y representativa es 20.2% (ENDIREH 2021). El mismo boletín atribuye erróneamente los porcentajes clásicos (76% psicológica) a ""2021"" cuando corresponden a la ENVINOV 2007 del IMJUVE."
corpus/reports/Genetica_y_Conducta_del_Mexicano_Contemporaneo__Canal_Individual_vs__Estructura.md	c42009a36fb8acd6e96ef22fd27393bd6f04f5bd93ac0c8bd10197101a95d872	9	NO-EXPLÍCITO	"1. **[FUERTE · más sólido]** La variante protectora ADH1B rs1229984 (alelo *2/His48) reduce causalmente el consumo de alcohol a nivel individual: en el meta-análisis de randomización mendeliana de Holmes et al. (BMJ 2014, 56 estudios, N=261,991), los portadores del alelo A ""consumieron 17.2% menos unidades de alcohol por semana (IC 95% 15.6%–18.9%)"", con OR de binge drinking de 0.78 (0.73–0.84) y mayor abstención (OR 1.27). Es el canal individual mejor demostrado."
corpus/reports/Genetica_y_Conducta_del_Mexicano_Contemporaneo__Canal_Individual_vs__Estructura.md	c42009a36fb8acd6e96ef22fd27393bd6f04f5bd93ac0c8bd10197101a95d872	11	NO-EXPLÍCITO	"2. **[FUERTE · más malinterpretado]** El ""firewater myth"" (la idea de que los pueblos originarios/mexicanos están genéticamente predispuestos al alcoholismo) está **desacreditado**. La variante asiática ALDH2 rs671 es esencialmente **nula** en poblaciones nativas americanas y mexicanas; no hay metabolismo ""anómalo"" del alcohol."
corpus/reports/Genetica_y_Conducta_del_Mexicano_Contemporaneo__Canal_Individual_vs__Estructura.md	c42009a36fb8acd6e96ef22fd27393bd6f04f5bd93ac0c8bd10197101a95d872	13	FUERTE	3. **[FUERTE]** El alelo protector ADH1B*2 es **poco frecuente** en mexicanos mestizos (~3–16%) y variable en grupos indígenas (hasta ~50% en huicholes). Su ausencia NO crea vulnerabilidad: solo significa que falta un disuasor biológico, igual que en europeos y afrodescendientes.
corpus/reports/Genetica_y_Conducta_del_Mexicano_Contemporaneo__Canal_Individual_vs__Estructura.md	c42009a36fb8acd6e96ef22fd27393bd6f04f5bd93ac0c8bd10197101a95d872	15	NO-EXPLÍCITO	"4. **[FUERTE · más malinterpretado]** El ""gen guerrero"" MAOA es el ejemplo paradigmático de determinismo mal aplicado: efecto principal débil, replicación mixta, y despliegue **racializado** (contra maoríes, y en tribunales de EE. UU. contra acusados negros y latinos). Es el modelo de ""cómo NO hacerlo""."
corpus/reports/Genetica_y_Conducta_del_Mexicano_Contemporaneo__Canal_Individual_vs__Estructura.md	c42009a36fb8acd6e96ef22fd27393bd6f04f5bd93ac0c8bd10197101a95d872	17	FUERTE	5. **[FUERTE]** Los scores poligénicos de tolerancia al riesgo explican **~1.6% de la varianza** out-of-sample (SNP-h² ≈5%); poligenicidad extrema, sin especificidad ancestral. Inútiles para predecir la conducta de un individuo.
corpus/reports/Genetica_y_Conducta_del_Mexicano_Contemporaneo__Canal_Individual_vs__Estructura.md	c42009a36fb8acd6e96ef22fd27393bd6f04f5bd93ac0c8bd10197101a95d872	19	FUERTE	6. **[FUERTE]** Los scores poligénicos derivados de GWAS europeos **pierden precisión** en poblaciones no europeas (y en admixtos como los mexicanos), por diferencias de desequilibrio de ligamiento y frecuencias alélicas. La genética conductual actual es eurocéntrica.
corpus/reports/Genetica_y_Conducta_del_Mexicano_Contemporaneo__Canal_Individual_vs__Estructura.md	c42009a36fb8acd6e96ef22fd27393bd6f04f5bd93ac0c8bd10197101a95d872	21	MEDIA	"7. **[MEDIA]** El metabolismo de nicotina (CYP2A6; nicotine metabolite ratio) modifica la dependencia y el éxito de cesación: en no tratados de ascendencia europea, los metabolizadores reducidos tienen mayor tasa de abandono (Summary OR = 2.05, IC 95% 1.23–3.42; Buchwald et al., Nicotine & Tobacco Research 2022). Canal individual real, pero clínico, no ""cultural""."
corpus/reports/Genetica_y_Conducta_del_Mexicano_Contemporaneo__Canal_Individual_vs__Estructura.md	c42009a36fb8acd6e96ef22fd27393bd6f04f5bd93ac0c8bd10197101a95d872	23	MEDIA	"8. **[MEDIA]** El descuento temporal es heredable (gemelos: 30–51%; SNP-h² ≈10–12%), pero altamente poligénico y sin variantes de efecto grande. La ""preferencia por el presente"" del mexicano se explica mejor por escasez/incertidumbre (teoría de bandwidth) que por impulsividad innata."
corpus/reports/Genetica_y_Conducta_del_Mexicano_Contemporaneo__Canal_Individual_vs__Estructura.md	c42009a36fb8acd6e96ef22fd27393bd6f04f5bd93ac0c8bd10197101a95d872	25	MEDIA	9. **[MEDIA]** TAS2R38 (receptor del amargo) influye realmente en la percepción de verduras crucíferas, pero su efecto sobre decisiones alimentarias reales es **inconsistente** y queda dominado por precio, acceso, hábito y cultura culinaria.
corpus/reports/Genetica_y_Conducta_del_Mexicano_Contemporaneo__Canal_Individual_vs__Estructura.md	c42009a36fb8acd6e96ef22fd27393bd6f04f5bd93ac0c8bd10197101a95d872	27	NO-EXPLÍCITO	"10. **[FUERTE · anti-esencialista clave]** ""Mexicano"" NO es una categoría genética. La diversidad indígena mexicana es tan grande que algunos grupos son tan diferentes entre sí como europeos de asiáticos orientales (Moreno-Estrada et al., Science 2014). La genética de poblaciones, bien leída, es un argumento CONTRA el determinismo."
corpus/reports/Genetica_y_Conducta_del_Mexicano_Contemporaneo__Canal_Individual_vs__Estructura.md	c42009a36fb8acd6e96ef22fd27393bd6f04f5bd93ac0c8bd10197101a95d872	29	NO-EXPLÍCITO	"11. **[HIPÓTESIS]** Asociaciones como DRD2/ANKK1 A1 con ""heavy drinking"" en mestizos mexicanos existen en la literatura local, pero son estudios de gen candidato de muestra pequeña, con alto riesgo de falso positivo; deben tratarse con cautela."
corpus/reports/Genetica_y_Conducta_del_Mexicano_Contemporaneo__Canal_Individual_vs__Estructura.md	c42009a36fb8acd6e96ef22fd27393bd6f04f5bd93ac0c8bd10197101a95d872	31	NO-EXPLÍCITO	"12. **[NARRATIVA popular]** ""Los mexicanos beben/son fiesteros/viven el presente por su sangre/raza"" es narrativa sin sustento genético; confunde estructura y cultura con biología."
corpus/reports/Health__Body__Food_and_Substance_Use_in_Mexico__The_Behavioral_Layer_of_Decisions__Environment_and_Structure.md	bbdb2e2379ec2384157ae720c11cba50e9ab187b60d858c359ee118070a8ba85	9	FUERTE	"1. **[FUERTE] El ambiente, no la voluntad, domina la decisión alimentaria.** México es el primer consumidor de refrescos del mundo, con un promedio de 163 litros por persona al año —40% más que Estados Unidos, que ocupa el segundo lugar con 118 litros— (Gaceta UNAM/Universidad de Yale), y la dieta tradicional (maíz-frijol-milpa) ya solo es la principal para ~6% de la población (Guibrunet, Instituto de Geografía UNAM, 2024). Esto no es ""los mexicanos eligen comer mal"": es el resultado predecible de precios relativos, disponibilidad y tiempo."
corpus/reports/Health__Body__Food_and_Substance_Use_in_Mexico__The_Behavioral_Layer_of_Decisions__Environment_and_Structure.md	bbdb2e2379ec2384157ae720c11cba50e9ab187b60d858c359ee118070a8ba85	11	FUERTE	2. **[FUERTE] Las políticas de entorno SÍ cambian conducta, y más en los pobres.** El impuesto al refresco (2014) redujo compras ~6% el primer año y hasta 12% para diciembre 2014, con la mayor caída en hogares de nivel socioeconómico bajo (9-17%) (Colchero et al., BMJ 2016; Health Affairs 2017). El etiquetado octagonal (oct. 2020) redujo compras de chatarra y forzó reformulación industrial.
corpus/reports/Health__Body__Food_and_Substance_Use_in_Mexico__The_Behavioral_Layer_of_Decisions__Environment_and_Structure.md	bbdb2e2379ec2384157ae720c11cba50e9ab187b60d858c359ee118070a8ba85	13	FUERTE	"3. **[FUERTE] Las farmacias con consultorio anexo son una adaptación racional, no una patología cultural.** Atienden alrededor de 10.6 millones de personas al mes y ofrecen unas 325 mil consultas diarias (COFEPRIS, vía Saludiario); Anafarmex cifró ""más de 350 mil consultas a diario, es decir, 10 millones 500 mil al mes"" (Antonio Pascual Feria, 2022), cifra cercana a un tercio de las que dan los servicios estatales; en 2022, 17.7% de quienes tuvieron una necesidad de salud acudieron a ellas. Son respuesta al costo, la saturación y la informalidad."
corpus/reports/Health__Body__Food_and_Substance_Use_in_Mexico__The_Behavioral_Layer_of_Decisions__Environment_and_Structure.md	bbdb2e2379ec2384157ae720c11cba50e9ab187b60d858c359ee118070a8ba85	15	FUERTE	4. **[FUERTE] La brecha de género en sustancias es enorme pero se está cerrando por arriba (mujeres) y por abajo (adolescentes).** ENCODAT 2025: el consumo de alcohol en mujeres subió de 62.6% (2016) a 69.3% (2025); el binge adolescente cayó de 8.3% a 2.6%.
