slot	consumidor	tipo_uso	dictamen_propuesto	razon_individual	siguiente_operacion
RES-0149	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-07:AGREGADO	celda_AGREGADO	HISTORICO-SIN-RELEVO-PROPUESTO	celda_AGREGADO de la celda retrospectiva sellada FAM-M-07:AGREGADO; el marco congelado se conserva y no es parámetro de consumo nuevo del motor. No se reescribe ni se simula cita GEN2.	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0152	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-02:L:L-solo	celda_L	HISTORICO-SIN-RELEVO-PROPUESTO	celda_L de la celda retrospectiva sellada TRA-M-02:L:L-solo; el marco congelado se conserva y no es parámetro de consumo nuevo del motor. No se reescribe ni se simula cita GEN2.	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0153	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-02:L:L+corpus	celda_L	HISTORICO-SIN-RELEVO-PROPUESTO	celda_L de la celda retrospectiva sellada TRA-M-02:L:L+corpus; el marco congelado se conserva y no es parámetro de consumo nuevo del motor. No se reescribe ni se simula cita GEN2.	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0154	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-02:AGREGADO	celda_AGREGADO	HISTORICO-SIN-RELEVO-PROPUESTO	celda_AGREGADO de la celda retrospectiva sellada TRA-M-02:AGREGADO; el marco congelado se conserva y no es parámetro de consumo nuevo del motor. No se reescribe ni se simula cita GEN2.	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0157	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-03:L:L-solo	celda_L	HISTORICO-SIN-RELEVO-PROPUESTO	celda_L de la celda retrospectiva sellada TRA-M-03:L:L-solo; el marco congelado se conserva y no es parámetro de consumo nuevo del motor. No se reescribe ni se simula cita GEN2.	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0158	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-03:L:L+corpus	celda_L	HISTORICO-SIN-RELEVO-PROPUESTO	celda_L de la celda retrospectiva sellada TRA-M-03:L:L+corpus; el marco congelado se conserva y no es parámetro de consumo nuevo del motor. No se reescribe ni se simula cita GEN2.	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0159	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-03:AGREGADO	celda_AGREGADO	HISTORICO-SIN-RELEVO-PROPUESTO	celda_AGREGADO de la celda retrospectiva sellada TRA-M-03:AGREGADO; el marco congelado se conserva y no es parámetro de consumo nuevo del motor. No se reescribe ni se simula cita GEN2.	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0162	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-07:L:L-solo	celda_L	HISTORICO-SIN-RELEVO-PROPUESTO	celda_L de la celda retrospectiva sellada TRA-M-07:L:L-solo; el marco congelado se conserva y no es parámetro de consumo nuevo del motor. No se reescribe ni se simula cita GEN2.	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0163	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-07:L:L+corpus	celda_L	HISTORICO-SIN-RELEVO-PROPUESTO	celda_L de la celda retrospectiva sellada TRA-M-07:L:L+corpus; el marco congelado se conserva y no es parámetro de consumo nuevo del motor. No se reescribe ni se simula cita GEN2.	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0164	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-07:AGREGADO	celda_AGREGADO	HISTORICO-SIN-RELEVO-PROPUESTO	celda_AGREGADO de la celda retrospectiva sellada TRA-M-07:AGREGADO; el marco congelado se conserva y no es parámetro de consumo nuevo del motor. No se reescribe ni se simula cita GEN2.	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0199	milpa/procedencia.yaml:condicionales_confianza_institucional/salud	condicional_theta	NO-HISTORICO-CONSUMO-POTENCIAL	condicional_theta en condicionales_confianza_institucional/salud; milpa/src/procedencia.py carga este archivo y consumibles() solo excluye PENDIENTE, GATE_ID y REFUTADO_POR_COTA. Sin prueba por llave de exclusión no procede llamarlo histórico.	COTEJAR-CLASE-Y-CONSULTA-POR-LLAVE; CALC-O-DICTAMEN-ESPECIFICO
RES-0200	milpa/procedencia.yaml:condicionales_confianza_institucional/educación	condicional_theta	NO-HISTORICO-CONSUMO-POTENCIAL	condicional_theta en condicionales_confianza_institucional/educación; milpa/src/procedencia.py carga este archivo y consumibles() solo excluye PENDIENTE, GATE_ID y REFUTADO_POR_COTA. Sin prueba por llave de exclusión no procede llamarlo histórico.	COTEJAR-CLASE-Y-CONSULTA-POR-LLAVE; CALC-O-DICTAMEN-ESPECIFICO
RES-0201	milpa/procedencia.yaml:condicionales_confianza_institucional/financiera	condicional_theta	NO-HISTORICO-CONSUMO-POTENCIAL	condicional_theta en condicionales_confianza_institucional/financiera; milpa/src/procedencia.py carga este archivo y consumibles() solo excluye PENDIENTE, GATE_ID y REFUTADO_POR_COTA. Sin prueba por llave de exclusión no procede llamarlo histórico.	COTEJAR-CLASE-Y-CONSULTA-POR-LLAVE; CALC-O-DICTAMEN-ESPECIFICO
RES-0202	milpa/procedencia.yaml:condicionales_confianza_institucional/seguridad-FFAA	condicional_theta	NO-HISTORICO-CONSUMO-POTENCIAL	condicional_theta en condicionales_confianza_institucional/seguridad-FFAA; milpa/src/procedencia.py carga este archivo y consumibles() solo excluye PENDIENTE, GATE_ID y REFUTADO_POR_COTA. Sin prueba por llave de exclusión no procede llamarlo histórico.	COTEJAR-CLASE-Y-CONSULTA-POR-LLAVE; CALC-O-DICTAMEN-ESPECIFICO
RES-0203	milpa/procedencia.yaml:condicionales_confianza_institucional/justicia-policía	condicional_theta	NO-HISTORICO-CONSUMO-POTENCIAL	condicional_theta en condicionales_confianza_institucional/justicia-policía; milpa/src/procedencia.py carga este archivo y consumibles() solo excluye PENDIENTE, GATE_ID y REFUTADO_POR_COTA. Sin prueba por llave de exclusión no procede llamarlo histórico.	COTEJAR-CLASE-Y-CONSULTA-POR-LLAVE; CALC-O-DICTAMEN-ESPECIFICO
RES-0204	milpa/procedencia.yaml:condicionales_confianza_institucional/electoral-partidos	condicional_theta	NO-HISTORICO-CONSUMO-POTENCIAL	condicional_theta en condicionales_confianza_institucional/electoral-partidos; milpa/src/procedencia.py carga este archivo y consumibles() solo excluye PENDIENTE, GATE_ID y REFUTADO_POR_COTA. Sin prueba por llave de exclusión no procede llamarlo histórico.	COTEJAR-CLASE-Y-CONSULTA-POR-LLAVE; CALC-O-DICTAMEN-ESPECIFICO
RES-0205	milpa/procedencia.yaml:condicionales_escalares/radio_confianza	condicional_theta	NO-HISTORICO-CONSUMO-POTENCIAL	condicional_theta en condicionales_escalares/radio_confianza; milpa/src/procedencia.py carga este archivo y consumibles() solo excluye PENDIENTE, GATE_ID y REFUTADO_POR_COTA. Sin prueba por llave de exclusión no procede llamarlo histórico.	COTEJAR-CLASE-Y-CONSULTA-POR-LLAVE; CALC-O-DICTAMEN-ESPECIFICO
RES-0206	milpa/procedencia.yaml:condicionales_escalares/familismo_apoyo	condicional_theta	NO-HISTORICO-CONSUMO-POTENCIAL	condicional_theta en condicionales_escalares/familismo_apoyo; milpa/src/procedencia.py carga este archivo y consumibles() solo excluye PENDIENTE, GATE_ID y REFUTADO_POR_COTA. Sin prueba por llave de exclusión no procede llamarlo histórico.	COTEJAR-CLASE-Y-CONSULTA-POR-LLAVE; CALC-O-DICTAMEN-ESPECIFICO
RES-0207	milpa/procedencia.yaml:condicionales_escalares_confianza_generica/confianza_institucional_generico_servidores_publicos	condicional_theta	NO-HISTORICO-CONSUMO-POTENCIAL	condicional_theta en condicionales_escalares_confianza_generica/confianza_institucional_generico_servidores_publicos; milpa/src/procedencia.py carga este archivo y consumibles() solo excluye PENDIENTE, GATE_ID y REFUTADO_POR_COTA. Sin prueba por llave de exclusión no procede llamarlo histórico.	COTEJAR-CLASE-Y-CONSULTA-POR-LLAVE; CALC-O-DICTAMEN-ESPECIFICO
RES-0208	milpa/procedencia.yaml:condicionales_escalares_exposicion_violencia/exposicion_violencia	condicional_theta	NO-HISTORICO-CONSUMO-POTENCIAL	condicional_theta en condicionales_escalares_exposicion_violencia/exposicion_violencia; milpa/src/procedencia.py carga este archivo y consumibles() solo excluye PENDIENTE, GATE_ID y REFUTADO_POR_COTA. Sin prueba por llave de exclusión no procede llamarlo histórico.	COTEJAR-CLASE-Y-CONSULTA-POR-LLAVE; CALC-O-DICTAMEN-ESPECIFICO
RES-0209	milpa/procedencia.yaml:condicionales_escalares_medido_nacional/norma_de_género	condicional_theta	NO-HISTORICO-CONSUMO-POTENCIAL	condicional_theta en condicionales_escalares_medido_nacional/norma_de_género; milpa/src/procedencia.py carga este archivo y consumibles() solo excluye PENDIENTE, GATE_ID y REFUTADO_POR_COTA. Sin prueba por llave de exclusión no procede llamarlo histórico.	COTEJAR-CLASE-Y-CONSULTA-POR-LLAVE; CALC-O-DICTAMEN-ESPECIFICO
RES-0210	milpa/procedencia.yaml:condicionales_escalares_medido_nacional/obligación_medida	condicional_theta	NO-HISTORICO-CONSUMO-POTENCIAL	condicional_theta en condicionales_escalares_medido_nacional/obligación_medida; milpa/src/procedencia.py carga este archivo y consumibles() solo excluye PENDIENTE, GATE_ID y REFUTADO_POR_COTA. Sin prueba por llave de exclusión no procede llamarlo histórico.	COTEJAR-CLASE-Y-CONSULTA-POR-LLAVE; CALC-O-DICTAMEN-ESPECIFICO
