slot	consumidor	tipo_uso	generacion_actual	valor_actual	estimando_requerido	calc_candidato	result_candidato	valor_candidato	veredicto	veredicto_sellado_ref	via_autorizada	replay_ref	firma_o_pin	siguiente_operacion	razon
RES-0090	milpa/procedencia.yaml:asignados_probabilidad:tramite.mordida.discrecional	asignado_probabilidad	LEGACY-GEN1	[0.62, 0.38]	asignados_probabilidad:tramite.mordida.discrecional				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0091	milpa/procedencia.yaml:asignados_probabilidad:tramite.mordida.con_registro	asignado_probabilidad	LEGACY-GEN1	[0.88, 0.12]	asignados_probabilidad:tramite.mordida.con_registro				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0092	milpa/procedencia.yaml:asignados_probabilidad:tramite.gobierno_digital.coercitivo	asignado_probabilidad	LEGACY-GEN1	[0.91, 0.09]	asignados_probabilidad:tramite.gobierno_digital.coercitivo				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0093	milpa/procedencia.yaml:asignados_probabilidad:tramite.gobierno_digital.util_sin_coercion	asignado_probabilidad	LEGACY-GEN1	[0.71, 0.29]	asignados_probabilidad:tramite.gobierno_digital.util_sin_coercion				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0094	milpa/procedencia.yaml:asignados_probabilidad:civico.denuncia.con_seguro	asignado_probabilidad	LEGACY-GEN1	[0.78, 0.22]	asignados_probabilidad:civico.denuncia.con_seguro				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0097	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-01:L:L-solo	celda_L	LEGACY-GEN1	0.24625	CIV-M-01:L-solo				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0098	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-01:L:L+corpus	celda_L	LEGACY-GEN1	0.3	CIV-M-01:L+corpus				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0099	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-01:AGREGADO	celda_AGREGADO	LEGACY-GEN1	"{""z_L_corpus"": 5.881933975095942, ""z_L_solo"": -1.8289090331078106, ""z_M"": 5.0660909204419005}"	CIV-M-01:AGREGADO				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0102	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-02:L:L-solo	celda_L	LEGACY-GEN1	0.85	CIV-M-02:L-solo				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0103	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-02:L:L+corpus	celda_L	LEGACY-GEN1	0.7833333333333333	CIV-M-02:L+corpus				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0104	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-02:AGREGADO	celda_AGREGADO	LEGACY-GEN1	"{""z_L_corpus"": 86.55798246244639, ""z_L_solo"": 97.2454688969738, ""z_M"": 8.162009781825262}"	CIV-M-02:AGREGADO				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0107	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-04:L:L-solo	celda_L	LEGACY-GEN1	None	CIV-M-04:L-solo				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0108	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-04:L:L+corpus	celda_L	LEGACY-GEN1	0.8575	CIV-M-04:L+corpus				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0109	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-04:AGREGADO	celda_AGREGADO	LEGACY-GEN1	"{""z_L_corpus"": 82.02458570227323, ""z_L_solo"": null, ""z_M"": 6.767504611786136}"	CIV-M-04:AGREGADO				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0112	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-10:L:L-solo	celda_L	LEGACY-GEN1	0.375	CIV-M-10:L-solo				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0113	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-10:L:L+corpus	celda_L	LEGACY-GEN1	0.7030000000000001	CIV-M-10:L+corpus				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0114	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-10:AGREGADO	celda_AGREGADO	LEGACY-GEN1	"{""z_L_corpus"": 104.3412603409494, ""z_L_solo"": 35.62761013945705, ""z_M"": 18.724261682725913}"	CIV-M-10:AGREGADO				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0117	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-12:L:L-solo	celda_L	LEGACY-GEN1	0.225	CIV-M-12:L-solo				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0118	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-12:L:L+corpus	celda_L	LEGACY-GEN1	0.463125	CIV-M-12:L+corpus				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0119	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-12:AGREGADO	celda_AGREGADO	LEGACY-GEN1	"{""z_L_corpus"": 53.571248397093356, ""z_L_solo"": 3.547785761046082, ""z_M"": 18.108525984426006}"	CIV-M-12:AGREGADO				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0122	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-13:L:L-solo	celda_L	LEGACY-GEN1	0.37857142857142856	CIV-M-13:L-solo				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0123	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-13:L:L+corpus	celda_L	LEGACY-GEN1	0.294375	CIV-M-13:L+corpus				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0124	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-13:AGREGADO	celda_AGREGADO	LEGACY-GEN1	"{""z_L_corpus"": 18.504084174826755, ""z_L_solo"": 34.12084301071083, ""z_M"": 18.49258441095015}"	CIV-M-13:AGREGADO				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0126	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:DIN-M-01:M	celda_M	LEGACY-GEN1	0.174804	DIN-M-01:M				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0127	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:DIN-M-01:L:L-solo	celda_L	LEGACY-GEN1	0.209375	DIN-M-01:L-solo				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0128	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:DIN-M-01:L:L+corpus	celda_L	LEGACY-GEN1	0.3375	DIN-M-01:L+corpus				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0129	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:DIN-M-01:AGREGADO	celda_AGREGADO	LEGACY-GEN1	"{""z_L_corpus"": 37.730842012768946, ""z_L_solo"": 11.157132678437026, ""z_M"": 3.98694961192238}"	DIN-M-01:AGREGADO				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0132	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-01:L:L-solo	celda_L	LEGACY-GEN1	0.26875	FAM-M-01:L-solo				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0133	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-01:L:L+corpus	celda_L	LEGACY-GEN1	0.2275	FAM-M-01:L+corpus				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0134	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-01:AGREGADO	celda_AGREGADO	LEGACY-GEN1	"{""z_L_corpus"": -48.722718441678325, ""z_L_solo"": -42.6266994922661, ""z_M"": -14.702203671076122}"	FAM-M-01:AGREGADO				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0137	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-05:L:L-solo	celda_L	LEGACY-GEN1	0.046125	FAM-M-05:L-solo				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0138	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-05:L:L+corpus	celda_L	LEGACY-GEN1	0.045875	FAM-M-05:L+corpus				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0139	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-05:AGREGADO	celda_AGREGADO	LEGACY-GEN1	"{""z_L_corpus"": -1.2544689818528516, ""z_L_solo"": -1.056427351315631, ""z_M"": -1.3978511223617998}"	FAM-M-05:AGREGADO				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0142	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-06:L:L-solo	celda_L	LEGACY-GEN1	0.04875	FAM-M-06:L-solo				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0143	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-06:L:L+corpus	celda_L	LEGACY-GEN1	0.04725	FAM-M-06:L+corpus				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0144	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-06:AGREGADO	celda_AGREGADO	LEGACY-GEN1	"{""z_L_corpus"": -0.029681868352214986, ""z_L_solo"": 1.2250487643801482, ""z_M"": -1.3312557780399201}"	FAM-M-06:AGREGADO				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0147	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-07:L:L-solo	celda_L	LEGACY-GEN1	0.052875	FAM-M-07:L-solo				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0148	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-07:L:L+corpus	celda_L	LEGACY-GEN1	0.051625000000000004	FAM-M-07:L+corpus				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0149	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-07:AGREGADO	celda_AGREGADO	LEGACY-GEN1	"{""z_L_corpus"": 7.759647205090208, ""z_L_solo"": 8.995328847006066, ""z_M"": 1.896584950527814}"	FAM-M-07:AGREGADO				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0152	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-02:L:L-solo	celda_L	LEGACY-GEN1	0.15125	TRA-M-02:L-solo				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0153	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-02:L:L+corpus	celda_L	LEGACY-GEN1	0.15	TRA-M-02:L+corpus				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0154	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-02:AGREGADO	celda_AGREGADO	LEGACY-GEN1	"{""z_L_corpus"": 4.738161161194345, ""z_L_solo"": 4.985196373750412, ""z_M"": -8.084349767655816}"	TRA-M-02:AGREGADO				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0157	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-03:L:L-solo	celda_L	LEGACY-GEN1	0.1225	TRA-M-03:L-solo				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0158	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-03:L:L+corpus	celda_L	LEGACY-GEN1	0.12125	TRA-M-03:L+corpus				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0159	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-03:AGREGADO	celda_AGREGADO	LEGACY-GEN1	"{""z_L_corpus"": 27.000158619839638, ""z_L_solo"": 27.440118313633807, ""z_M"": 14.282859694902879}"	TRA-M-03:AGREGADO				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0162	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-07:L:L-solo	celda_L	LEGACY-GEN1	0.14425	TRA-M-07:L-solo				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0163	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-07:L:L+corpus	celda_L	LEGACY-GEN1	0.147	TRA-M-07:L+corpus				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0164	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-07:AGREGADO	celda_AGREGADO	LEGACY-GEN1	"{""z_L_corpus"": 31.37441747805242, ""z_L_solo"": 30.226849337769103, ""z_M"": 5.5512132391389075}"	TRA-M-07:AGREGADO				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0165	milpa/src/celdas.py:CORTES_C1:formalidad	corte_pi	LEGACY-GEN1	('segsoc=1', 'segsoc=2')	CORTES_C1:formalidad				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			PREPARAR-CALC-RELEVO-DESDE-CRUDO-CON-SPEC-CONGELADA	CORR-SIN-CALC-DECLARADA
RES-0166	milpa/src/celdas.py:CORTES_C1:edad	corte_pi	LEGACY-GEN1	('18-29', '30-44', '45-59', '60+')	CORTES_C1:edad				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			PREPARAR-CALC-RELEVO-DESDE-CRUDO-CON-SPEC-CONGELADA	CORR-SIN-CALC-DECLARADA
RES-0167	milpa/src/celdas.py:CORTES_C1:urbanizacion	corte_pi	LEGACY-GEN1	('1', '2', '3', '4')	CORTES_C1:urbanizacion				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			PREPARAR-CALC-RELEVO-DESDE-CRUDO-CON-SPEC-CONGELADA	CORR-SIN-CALC-DECLARADA
RES-0168	milpa/src/celdas.py:CORTES_C1:ingreso	corte_pi	LEGACY-GEN1	('1', '2', '3', '4')	CORTES_C1:ingreso				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			PREPARAR-CALC-RELEVO-DESDE-CRUDO-CON-SPEC-CONGELADA	CORR-SIN-CALC-DECLARADA
RES-0169	milpa/src/celdas.py:CORTES_C1:acceso_digital	corte_pi	LEGACY-GEN1	('1', '2')	CORTES_C1:acceso_digital				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			PREPARAR-CALC-RELEVO-DESDE-CRUDO-CON-SPEC-CONGELADA	CORR-SIN-CALC-DECLARADA
RES-0170	milpa/src/celdas.py:CORTES_C1:migracion	corte_pi	LEGACY-GEN1	NO-DECLARADO-EN-EL-REGISTRO	CORTES_C1:migracion				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			PREPARAR-CALC-RELEVO-DESDE-CRUDO-CON-SPEC-CONGELADA	CORR-SIN-CALC-DECLARADA
RES-0171	data/curacion-registro/celdas-d/DIN.ahorro_solo_informal.enif2024.localidad_x_edad.yaml:DIN.ahorro_solo_informal.enif2024.localidad_x_edad	celda_D	LEGACY-GEN1	NO-DECLARADO-EN-EL-REGISTRO	DIN.ahorro_solo_informal.enif2024.localidad_x_edad:DIN.ahorro_solo_informal.enif2024.localidad_x_edad				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			PREPARAR-CALC-RELEVO-DESDE-CRUDO-CON-SPEC-CONGELADA	CORR-SIN-CALC-DECLARADA
RES-0172	data/curacion-registro/celdas-d/G5.familismo_obligacion.actitud.yaml:G5.familismo_obligacion.actitud	celda_D	LEGACY-GEN1	NO-DECLARADO-EN-EL-REGISTRO	G5.familismo_obligacion.actitud:G5.familismo_obligacion.actitud				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			PREPARAR-CALC-RELEVO-DESDE-CRUDO-CON-SPEC-CONGELADA	CORR-SIN-CALC-DECLARADA
RES-0173	data/curacion-registro/celdas-d/G5.obligacion_medida.conducta.yaml:G5.obligacion_medida.conducta	celda_D	LEGACY-GEN1	NO-DECLARADO-EN-EL-REGISTRO	G5.obligacion_medida.conducta:G5.obligacion_medida.conducta				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			PREPARAR-CALC-RELEVO-DESDE-CRUDO-CON-SPEC-CONGELADA	CORR-SIN-CALC-DECLARADA
RES-0174	data/curacion-registro/celdas-d/G5.radio_confianza.encuci_vs_enbiare.yaml:G5.radio_confianza.encuci_vs_enbiare	celda_D	LEGACY-GEN1	NO-DECLARADO-EN-EL-REGISTRO	G5.radio_confianza.encuci_vs_enbiare:G5.radio_confianza.encuci_vs_enbiare				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			PREPARAR-CALC-RELEVO-DESDE-CRUDO-CON-SPEC-CONGELADA	CORR-SIN-CALC-DECLARADA
RES-0175	data/curacion-registro/celdas-d/TRA.evade_norma.envipe2025.escolaridad_x_dominio.yaml:TRA.evade_norma.envipe2025.escolaridad_x_dominio	celda_D	LEGACY-GEN1	NO-DECLARADO-EN-EL-REGISTRO	TRA.evade_norma.envipe2025.escolaridad_x_dominio:TRA.evade_norma.envipe2025.escolaridad_x_dominio				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			PREPARAR-CALC-RELEVO-DESDE-CRUDO-CON-SPEC-CONGELADA	CORR-SIN-CALC-DECLARADA
RES-0176	milpa/catalogo-momentos-v0_1.tsv:M01	momento	LEGACY-GEN1	NO-DECLARADO-EN-EL-REGISTRO	M01:M01				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			MEDIR-CALC-O-PLAN-FECHADO-CON-DEPENDENCIA	CORR-SIN-CALC-DECLARADA
RES-0177	milpa/catalogo-momentos-v0_1.tsv:M02	momento	LEGACY-GEN1	NO-DECLARADO-EN-EL-REGISTRO	M02:M02				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			MEDIR-CALC-O-PLAN-FECHADO-CON-DEPENDENCIA	CORR-SIN-CALC-DECLARADA
RES-0178	milpa/catalogo-momentos-v0_1.tsv:M03	momento	LEGACY-GEN1	NO-DECLARADO-EN-EL-REGISTRO	M03:M03				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			MEDIR-CALC-O-PLAN-FECHADO-CON-DEPENDENCIA	CORR-SIN-CALC-DECLARADA
RES-0179	milpa/catalogo-momentos-v0_1.tsv:M04	momento	LEGACY-GEN1	NO-DECLARADO-EN-EL-REGISTRO	M04:M04				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			MEDIR-CALC-O-PLAN-FECHADO-CON-DEPENDENCIA	CORR-SIN-CALC-DECLARADA
RES-0180	milpa/catalogo-momentos-v0_1.tsv:M05	momento	LEGACY-GEN1	NO-DECLARADO-EN-EL-REGISTRO	M05:M05				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			MEDIR-CALC-O-PLAN-FECHADO-CON-DEPENDENCIA	CORR-SIN-CALC-DECLARADA
RES-0181	milpa/catalogo-momentos-v0_1.tsv:M06	momento	LEGACY-GEN1	NO-DECLARADO-EN-EL-REGISTRO	M06:M06				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			MEDIR-CALC-O-PLAN-FECHADO-CON-DEPENDENCIA	CORR-SIN-CALC-DECLARADA
RES-0182	milpa/catalogo-momentos-v0_1.tsv:M07	momento	LEGACY-GEN1	NO-DECLARADO-EN-EL-REGISTRO	M07:M07				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			MEDIR-CALC-O-PLAN-FECHADO-CON-DEPENDENCIA	CORR-SIN-CALC-DECLARADA
