slot	grupo	consumidor	generacion_censada	valor_legacy	estado_efectivo	trazabilidad	evidencia	dependencia_y_operacion
RES-0128	marco	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:DIN-M-01:L:L+corpus	LEGACY-GEN1	0.3375	HISTORICO-SIN-RELEVO-PROPUESTO; NO-FIRMADO	PIN-NO-ACREDITA-CONSUMO	dictamen-historicas.tsv	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0129	marco	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:DIN-M-01:AGREGADO	LEGACY-GEN1	"{""z_L_corpus"": 37.730842012768946, ""z_L_solo"": 11.157132678437026, ""z_M"": 3.98694961192238}"	HISTORICO-SIN-RELEVO-PROPUESTO; NO-FIRMADO	PIN-NO-ACREDITA-CONSUMO	dictamen-historicas.tsv	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0132	marco	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-01:L:L-solo	LEGACY-GEN1	0.26875	HISTORICO-SIN-RELEVO-PROPUESTO; NO-FIRMADO	PIN-NO-ACREDITA-CONSUMO	dictamen-historicas.tsv	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0133	marco	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-01:L:L+corpus	LEGACY-GEN1	0.2275	HISTORICO-SIN-RELEVO-PROPUESTO; NO-FIRMADO	PIN-NO-ACREDITA-CONSUMO	dictamen-historicas.tsv	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0134	marco	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-01:AGREGADO	LEGACY-GEN1	"{""z_L_corpus"": -48.722718441678325, ""z_L_solo"": -42.6266994922661, ""z_M"": -14.702203671076122}"	HISTORICO-SIN-RELEVO-PROPUESTO; NO-FIRMADO	PIN-NO-ACREDITA-CONSUMO	dictamen-historicas.tsv	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0137	marco	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-05:L:L-solo	LEGACY-GEN1	0.046125	HISTORICO-SIN-RELEVO-PROPUESTO; NO-FIRMADO	PIN-NO-ACREDITA-CONSUMO	dictamen-historicas.tsv	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0138	marco	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-05:L:L+corpus	LEGACY-GEN1	0.045875	HISTORICO-SIN-RELEVO-PROPUESTO; NO-FIRMADO	PIN-NO-ACREDITA-CONSUMO	dictamen-historicas.tsv	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0139	marco	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-05:AGREGADO	LEGACY-GEN1	"{""z_L_corpus"": -1.2544689818528516, ""z_L_solo"": -1.056427351315631, ""z_M"": -1.3978511223617998}"	HISTORICO-SIN-RELEVO-PROPUESTO; NO-FIRMADO	PIN-NO-ACREDITA-CONSUMO	dictamen-historicas.tsv	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0142	marco	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-06:L:L-solo	LEGACY-GEN1	0.04875	HISTORICO-SIN-RELEVO-PROPUESTO; NO-FIRMADO	PIN-NO-ACREDITA-CONSUMO	dictamen-historicas.tsv	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0143	marco	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-06:L:L+corpus	LEGACY-GEN1	0.04725	HISTORICO-SIN-RELEVO-PROPUESTO; NO-FIRMADO	PIN-NO-ACREDITA-CONSUMO	dictamen-historicas.tsv	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0144	marco	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-06:AGREGADO	LEGACY-GEN1	"{""z_L_corpus"": -0.029681868352214986, ""z_L_solo"": 1.2250487643801482, ""z_M"": -1.3312557780399201}"	HISTORICO-SIN-RELEVO-PROPUESTO; NO-FIRMADO	PIN-NO-ACREDITA-CONSUMO	dictamen-historicas.tsv	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0147	marco	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-07:L:L-solo	LEGACY-GEN1	0.052875	HISTORICO-SIN-RELEVO-PROPUESTO; NO-FIRMADO	PIN-NO-ACREDITA-CONSUMO	dictamen-historicas.tsv	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0148	marco	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-07:L:L+corpus	LEGACY-GEN1	0.051625000000000004	HISTORICO-SIN-RELEVO-PROPUESTO; NO-FIRMADO	PIN-NO-ACREDITA-CONSUMO	dictamen-historicas.tsv	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0149	marco	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-07:AGREGADO	LEGACY-GEN1	"{""z_L_corpus"": 7.759647205090208, ""z_L_solo"": 8.995328847006066, ""z_M"": 1.896584950527814}"	HISTORICO-SIN-RELEVO-PROPUESTO; NO-FIRMADO	PIN-NO-ACREDITA-CONSUMO	dictamen-historicas.tsv	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0152	marco	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-02:L:L-solo	LEGACY-GEN1	0.15125	HISTORICO-SIN-RELEVO-PROPUESTO; NO-FIRMADO	PIN-NO-ACREDITA-CONSUMO	dictamen-historicas.tsv	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0153	marco	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-02:L:L+corpus	LEGACY-GEN1	0.15	HISTORICO-SIN-RELEVO-PROPUESTO; NO-FIRMADO	PIN-NO-ACREDITA-CONSUMO	dictamen-historicas.tsv	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0154	marco	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-02:AGREGADO	LEGACY-GEN1	"{""z_L_corpus"": 4.738161161194345, ""z_L_solo"": 4.985196373750412, ""z_M"": -8.084349767655816}"	HISTORICO-SIN-RELEVO-PROPUESTO; NO-FIRMADO	PIN-NO-ACREDITA-CONSUMO	dictamen-historicas.tsv	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0157	marco	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-03:L:L-solo	LEGACY-GEN1	0.1225	HISTORICO-SIN-RELEVO-PROPUESTO; NO-FIRMADO	PIN-NO-ACREDITA-CONSUMO	dictamen-historicas.tsv	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0158	marco	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-03:L:L+corpus	LEGACY-GEN1	0.12125	HISTORICO-SIN-RELEVO-PROPUESTO; NO-FIRMADO	PIN-NO-ACREDITA-CONSUMO	dictamen-historicas.tsv	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0159	marco	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-03:AGREGADO	LEGACY-GEN1	"{""z_L_corpus"": 27.000158619839638, ""z_L_solo"": 27.440118313633807, ""z_M"": 14.282859694902879}"	HISTORICO-SIN-RELEVO-PROPUESTO; NO-FIRMADO	PIN-NO-ACREDITA-CONSUMO	dictamen-historicas.tsv	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0162	marco	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-07:L:L-solo	LEGACY-GEN1	0.14425	HISTORICO-SIN-RELEVO-PROPUESTO; NO-FIRMADO	PIN-NO-ACREDITA-CONSUMO	dictamen-historicas.tsv	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0163	marco	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-07:L:L+corpus	LEGACY-GEN1	0.147	HISTORICO-SIN-RELEVO-PROPUESTO; NO-FIRMADO	PIN-NO-ACREDITA-CONSUMO	dictamen-historicas.tsv	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0164	marco	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-07:AGREGADO	LEGACY-GEN1	"{""z_L_corpus"": 31.37441747805242, ""z_L_solo"": 30.226849337769103, ""z_M"": 5.5512132391389075}"	HISTORICO-SIN-RELEVO-PROPUESTO; NO-FIRMADO	PIN-NO-ACREDITA-CONSUMO	dictamen-historicas.tsv	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0165	motor	milpa/src/celdas.py:CORTES_C1:formalidad	LEGACY-GEN1	('segsoc=1', 'segsoc=2')	LEGACY-ACTIVA; NO-ADOPTADA	PIN-NO-ACREDITA-CONSUMO	inventario-operativo.tsv	PREPARAR-CALC-RELEVO-DESDE-CRUDO-CON-SPEC-CONGELADA
RES-0166	motor	milpa/src/celdas.py:CORTES_C1:edad	LEGACY-GEN1	('18-29', '30-44', '45-59', '60+')	LEGACY-ACTIVA; NO-ADOPTADA	PIN-NO-ACREDITA-CONSUMO	inventario-operativo.tsv	PREPARAR-CALC-RELEVO-DESDE-CRUDO-CON-SPEC-CONGELADA
RES-0167	motor	milpa/src/celdas.py:CORTES_C1:urbanizacion	LEGACY-GEN1	('1', '2', '3', '4')	LEGACY-ACTIVA; NO-ADOPTADA	PIN-NO-ACREDITA-CONSUMO	inventario-operativo.tsv	PREPARAR-CALC-RELEVO-DESDE-CRUDO-CON-SPEC-CONGELADA
RES-0168	motor	milpa/src/celdas.py:CORTES_C1:ingreso	LEGACY-GEN1	('1', '2', '3', '4')	LEGACY-ACTIVA; NO-ADOPTADA	PIN-NO-ACREDITA-CONSUMO	inventario-operativo.tsv	PREPARAR-CALC-RELEVO-DESDE-CRUDO-CON-SPEC-CONGELADA
RES-0169	motor	milpa/src/celdas.py:CORTES_C1:acceso_digital	LEGACY-GEN1	('1', '2')	LEGACY-ACTIVA; NO-ADOPTADA	PIN-NO-ACREDITA-CONSUMO	inventario-operativo.tsv	PREPARAR-CALC-RELEVO-DESDE-CRUDO-CON-SPEC-CONGELADA
RES-0170	motor	milpa/src/celdas.py:CORTES_C1:migracion	LEGACY-GEN1	NO-DECLARADO-EN-EL-REGISTRO	LEGACY-ACTIVA; NO-ADOPTADA	PIN-NO-ACREDITA-CONSUMO	inventario-operativo.tsv	PREPARAR-CALC-RELEVO-DESDE-CRUDO-CON-SPEC-CONGELADA
RES-0171	celda_D	data/curacion-registro/celdas-d/DIN.ahorro_solo_informal.enif2024.localidad_x_edad.yaml:DIN.ahorro_solo_informal.enif2024.localidad_x_edad	LEGACY-GEN1	NO-DECLARADO-EN-EL-REGISTRO	LEGACY-ACTIVA; ESCRITOR-PROPIO-PENDIENTE	PIN-NO-ACREDITA-CONSUMO	contratos-otros-consumidores.md	cotejar contrato y reserva de la celda; escritor y sello específicos; no editar YAML sellado
RES-0172	celda_D	data/curacion-registro/celdas-d/G5.familismo_obligacion.actitud.yaml:G5.familismo_obligacion.actitud	LEGACY-GEN1	NO-DECLARADO-EN-EL-REGISTRO	LEGACY-ACTIVA; ESCRITOR-PROPIO-PENDIENTE	PIN-NO-ACREDITA-CONSUMO	contratos-otros-consumidores.md	cotejar contrato y reserva de la celda; escritor y sello específicos; no editar YAML sellado
RES-0173	celda_D	data/curacion-registro/celdas-d/G5.obligacion_medida.conducta.yaml:G5.obligacion_medida.conducta	LEGACY-GEN1	NO-DECLARADO-EN-EL-REGISTRO	LEGACY-ACTIVA; ESCRITOR-PROPIO-PENDIENTE	PIN-NO-ACREDITA-CONSUMO	contratos-otros-consumidores.md	cotejar contrato y reserva de la celda; escritor y sello específicos; no editar YAML sellado
RES-0174	celda_D	data/curacion-registro/celdas-d/G5.radio_confianza.encuci_vs_enbiare.yaml:G5.radio_confianza.encuci_vs_enbiare	LEGACY-GEN1	NO-DECLARADO-EN-EL-REGISTRO	LEGACY-ACTIVA; ESCRITOR-PROPIO-PENDIENTE	PIN-NO-ACREDITA-CONSUMO	contratos-otros-consumidores.md	cotejar contrato y reserva de la celda; escritor y sello específicos; no editar YAML sellado
RES-0175	celda_D	data/curacion-registro/celdas-d/TRA.evade_norma.envipe2025.escolaridad_x_dominio.yaml:TRA.evade_norma.envipe2025.escolaridad_x_dominio	LEGACY-GEN1	NO-DECLARADO-EN-EL-REGISTRO	LEGACY-ACTIVA; ESCRITOR-PROPIO-PENDIENTE	PIN-NO-ACREDITA-CONSUMO	contratos-otros-consumidores.md	cotejar contrato y reserva de la celda; escritor y sello específicos; no editar YAML sellado
RES-0176	catalogo	milpa/catalogo-momentos-v0_1.tsv:M01	LEGACY-GEN1	NO-DECLARADO-EN-EL-REGISTRO	PLAN-FECHADO; SIN-NUEVA-MEDIDA	PIN-NO-ACREDITA-CONSUMO	plan-catalogo-23.tsv	universo de búsqueda POR DECLARAR; identidad instrumento-regla y reserva sin acreditar; cotejar reactivo y FD del instrumento para tramite.mordida.discrecional; fijar universo/denominador y reserva; congelar CALC-RELEVO antes del dato
RES-0177	catalogo	milpa/catalogo-momentos-v0_1.tsv:M02	LEGACY-GEN1	NO-DECLARADO-EN-EL-REGISTRO	PLAN-FECHADO; SIN-NUEVA-MEDIDA	PIN-NO-ACREDITA-CONSUMO	plan-catalogo-23.tsv	universo de búsqueda POR DECLARAR; identidad instrumento-regla y reserva sin acreditar; cotejar reactivo y FD del instrumento para tramite.mordida.con_registro; fijar universo/denominador y reserva; congelar CALC-RELEVO antes del dato
RES-0178	catalogo	milpa/catalogo-momentos-v0_1.tsv:M03	LEGACY-GEN1	NO-DECLARADO-EN-EL-REGISTRO	PLAN-FECHADO; SIN-NUEVA-MEDIDA	PIN-NO-ACREDITA-CONSUMO	plan-catalogo-23.tsv	universo de búsqueda POR DECLARAR; identidad instrumento-regla y reserva sin acreditar; cotejar reactivo y FD del instrumento para tramite.gobierno_digital.coercitivo; fijar universo/denominador y reserva; congelar CALC-RELEVO antes del dato
RES-0179	catalogo	milpa/catalogo-momentos-v0_1.tsv:M04	LEGACY-GEN1	NO-DECLARADO-EN-EL-REGISTRO	PLAN-FECHADO; SIN-NUEVA-MEDIDA	PIN-NO-ACREDITA-CONSUMO	plan-catalogo-23.tsv	universo de búsqueda POR DECLARAR; identidad instrumento-regla y reserva sin acreditar; cotejar reactivo y FD del instrumento para tramite.gobierno_digital.util_sin_coercion; fijar universo/denominador y reserva; congelar CALC-RELEVO antes del dato
RES-0180	catalogo	milpa/catalogo-momentos-v0_1.tsv:M05	LEGACY-GEN1	NO-DECLARADO-EN-EL-REGISTRO	PLAN-FECHADO; SIN-NUEVA-MEDIDA	PIN-NO-ACREDITA-CONSUMO	plan-catalogo-23.tsv	reserva de cruce 2025 ya consumida; arbitro y emisiones sellados, champion NINGUNO; cotejar RESULT de CALC-TRA-EVADE-NORMA-SXD-ARBITRO-CRUCE-0001 y EMISIONES-0001 con estimando; decidir nueva reserva antes de otro CALC
RES-0181	catalogo	milpa/catalogo-momentos-v0_1.tsv:M06	LEGACY-GEN1	NO-DECLARADO-EN-EL-REGISTRO	PLAN-FECHADO; SIN-NUEVA-MEDIDA	PIN-NO-ACREDITA-CONSUMO	plan-catalogo-23.tsv	universo de búsqueda POR DECLARAR; identidad instrumento-regla y reserva sin acreditar; cotejar reactivo y FD del instrumento para dinero.ahorro.con_puente_y_respaldo; fijar universo/denominador y reserva; congelar CALC-RELEVO antes del dato
RES-0182	catalogo	milpa/catalogo-momentos-v0_1.tsv:M07	LEGACY-GEN1	NO-DECLARADO-EN-EL-REGISTRO	PLAN-FECHADO; SIN-NUEVA-MEDIDA	PIN-NO-ACREDITA-CONSUMO	plan-catalogo-23.tsv	universo de búsqueda POR DECLARAR; identidad instrumento-regla y reserva sin acreditar; cotejar reactivo y FD del instrumento para dinero.credito.scoring_alternativo; fijar universo/denominador y reserva; congelar CALC-RELEVO antes del dato
RES-0183	catalogo	milpa/catalogo-momentos-v0_1.tsv:M08	LEGACY-GEN1	NO-DECLARADO-EN-EL-REGISTRO	PLAN-FECHADO; SIN-NUEVA-MEDIDA	PIN-NO-ACREDITA-CONSUMO	plan-catalogo-23.tsv	universo de búsqueda POR DECLARAR; identidad instrumento-regla y reserva sin acreditar; cotejar reactivo y FD del instrumento para civico.denuncia.con_seguro; fijar universo/denominador y reserva; congelar CALC-RELEVO antes del dato
RES-0184	catalogo	milpa/catalogo-momentos-v0_1.tsv:M09	LEGACY-GEN1	NO-DECLARADO-EN-EL-REGISTRO	PLAN-FECHADO; SIN-NUEVA-MEDIDA	PIN-NO-ACREDITA-CONSUMO	plan-catalogo-23.tsv	ficha R1.4 sin instrumento/universo declarado en catálogo; muro HOLDOUT E0; localizar ficha R1.4 de forense/hitoD-preregistro-v2_0.md; fijar instrumento, universo, umbral y reserva en acto prospectivo; CALC solo tras apertura autorizada
RES-0185	catalogo	milpa/catalogo-momentos-v0_1.tsv:M10	LEGACY-GEN1	NO-DECLARADO-EN-EL-REGISTRO	PLAN-FECHADO; SIN-NUEVA-MEDIDA	PIN-NO-ACREDITA-CONSUMO	plan-catalogo-23.tsv	ficha R2.1 sin instrumento/universo declarado en catálogo; muro HOLDOUT E0; localizar ficha R2.1 de forense/hitoD-preregistro-v2_0.md; fijar instrumento, universo, umbral y reserva en acto prospectivo; CALC solo tras apertura autorizada
RES-0186	catalogo	milpa/catalogo-momentos-v0_1.tsv:M11	LEGACY-GEN1	NO-DECLARADO-EN-EL-REGISTRO	PLAN-FECHADO; SIN-NUEVA-MEDIDA	PIN-NO-ACREDITA-CONSUMO	plan-catalogo-23.tsv	ficha R2.2 sin instrumento/universo declarado en catálogo; muro HOLDOUT E0; localizar ficha R2.2 de forense/hitoD-preregistro-v2_0.md; fijar instrumento, universo, umbral y reserva en acto prospectivo; CALC solo tras apertura autorizada
RES-0187	catalogo	milpa/catalogo-momentos-v0_1.tsv:M12	LEGACY-GEN1	NO-DECLARADO-EN-EL-REGISTRO	PLAN-FECHADO; SIN-NUEVA-MEDIDA	PIN-NO-ACREDITA-CONSUMO	plan-catalogo-23.tsv	ficha R3.4 sin instrumento/universo declarado en catálogo; muro HOLDOUT E0; localizar ficha R3.4 de forense/hitoD-preregistro-v2_0.md; fijar instrumento, universo, umbral y reserva en acto prospectivo; CALC solo tras apertura autorizada
RES-0188	catalogo	milpa/catalogo-momentos-v0_1.tsv:M13	LEGACY-GEN1	NO-DECLARADO-EN-EL-REGISTRO	PLAN-FECHADO; SIN-NUEVA-MEDIDA	PIN-NO-ACREDITA-CONSUMO	plan-catalogo-23.tsv	ficha R7.1 sin instrumento/universo declarado en catálogo; muro HOLDOUT E0; localizar ficha R7.1 de forense/hitoD-preregistro-v2_0.md; fijar instrumento, universo, umbral y reserva en acto prospectivo; CALC solo tras apertura autorizada
RES-0189	catalogo	milpa/catalogo-momentos-v0_1.tsv:M14	LEGACY-GEN1	NO-DECLARADO-EN-EL-REGISTRO	PLAN-FECHADO; SIN-NUEVA-MEDIDA	PIN-NO-ACREDITA-CONSUMO	plan-catalogo-23.tsv	ficha R7.3 sin instrumento/universo declarado en catálogo; muro HOLDOUT E0; localizar ficha R7.3 de forense/hitoD-preregistro-v2_0.md; fijar instrumento, universo, umbral y reserva en acto prospectivo; CALC solo tras apertura autorizada
RES-0190	catalogo	milpa/catalogo-momentos-v0_1.tsv:M15	LEGACY-GEN1	NO-DECLARADO-EN-EL-REGISTRO	PLAN-FECHADO; SIN-NUEVA-MEDIDA	PIN-NO-ACREDITA-CONSUMO	plan-catalogo-23.tsv	ficha R7.4 sin instrumento/universo declarado en catálogo; muro HOLDOUT E0; localizar ficha R7.4 de forense/hitoD-preregistro-v2_0.md; fijar instrumento, universo, umbral y reserva en acto prospectivo; CALC solo tras apertura autorizada
RES-0191	catalogo	milpa/catalogo-momentos-v0_1.tsv:M16	LEGACY-GEN1	NO-DECLARADO-EN-EL-REGISTRO	PLAN-FECHADO; SIN-NUEVA-MEDIDA	PIN-NO-ACREDITA-CONSUMO	plan-catalogo-23.tsv	ficha R7.5 sin instrumento/universo declarado en catálogo; muro HOLDOUT E0; localizar ficha R7.5 de forense/hitoD-preregistro-v2_0.md; fijar instrumento, universo, umbral y reserva en acto prospectivo; CALC solo tras apertura autorizada
RES-0192	catalogo	milpa/catalogo-momentos-v0_1.tsv:M17	LEGACY-GEN1	NO-DECLARADO-EN-EL-REGISTRO	PLAN-FECHADO; SIN-NUEVA-MEDIDA	PIN-NO-ACREDITA-CONSUMO	plan-catalogo-23.tsv	ficha R8.1 sin instrumento/universo declarado en catálogo; muro HOLDOUT E0; localizar ficha R8.1 de forense/hitoD-preregistro-v2_0.md; fijar instrumento, universo, umbral y reserva en acto prospectivo; CALC solo tras apertura autorizada
RES-0193	catalogo	milpa/catalogo-momentos-v0_1.tsv:M18	LEGACY-GEN1	NO-DECLARADO-EN-EL-REGISTRO	PLAN-FECHADO; SIN-NUEVA-MEDIDA	PIN-NO-ACREDITA-CONSUMO	plan-catalogo-23.tsv	ficha R8.2 sin instrumento/universo declarado en catálogo; muro HOLDOUT E0; localizar ficha R8.2 de forense/hitoD-preregistro-v2_0.md; fijar instrumento, universo, umbral y reserva en acto prospectivo; CALC solo tras apertura autorizada
RES-0194	catalogo	milpa/catalogo-momentos-v0_1.tsv:M19	LEGACY-GEN1	NO-DECLARADO-EN-EL-REGISTRO	PLAN-FECHADO; SIN-NUEVA-MEDIDA	PIN-NO-ACREDITA-CONSUMO	plan-catalogo-23.tsv	ficha R8.3 sin instrumento/universo declarado en catálogo; muro HOLDOUT E0; localizar ficha R8.3 de forense/hitoD-preregistro-v2_0.md; fijar instrumento, universo, umbral y reserva en acto prospectivo; CALC solo tras apertura autorizada
RES-0195	catalogo	milpa/catalogo-momentos-v0_1.tsv:M20	LEGACY-GEN1	NO-DECLARADO-EN-EL-REGISTRO	PLAN-FECHADO; SIN-NUEVA-MEDIDA	PIN-NO-ACREDITA-CONSUMO	plan-catalogo-23.tsv	ficha R10.1 sin instrumento/universo declarado en catálogo; muro HOLDOUT E0; localizar ficha R10.1 de forense/hitoD-preregistro-v2_0.md; fijar instrumento, universo, umbral y reserva en acto prospectivo; CALC solo tras apertura autorizada
RES-0196	catalogo	milpa/catalogo-momentos-v0_1.tsv:M21	LEGACY-GEN1	NO-DECLARADO-EN-EL-REGISTRO	PLAN-FECHADO; SIN-NUEVA-MEDIDA	PIN-NO-ACREDITA-CONSUMO	plan-catalogo-23.tsv	ficha R10.2 sin instrumento/universo declarado en catálogo; muro HOLDOUT E0; localizar ficha R10.2 de forense/hitoD-preregistro-v2_0.md; fijar instrumento, universo, umbral y reserva en acto prospectivo; CALC solo tras apertura autorizada
RES-0197	catalogo	milpa/catalogo-momentos-v0_1.tsv:M22	LEGACY-GEN1	NO-DECLARADO-EN-EL-REGISTRO	PLAN-FECHADO; SIN-NUEVA-MEDIDA	PIN-NO-ACREDITA-CONSUMO	plan-catalogo-23.tsv	ficha R10.3 sin instrumento/universo declarado en catálogo; muro HOLDOUT E0; localizar ficha R10.3 de forense/hitoD-preregistro-v2_0.md; fijar instrumento, universo, umbral y reserva en acto prospectivo; CALC solo tras apertura autorizada
RES-0198	catalogo	milpa/catalogo-momentos-v0_1.tsv:M23	LEGACY-GEN1	NO-DECLARADO-EN-EL-REGISTRO	PLAN-FECHADO; SIN-NUEVA-MEDIDA	PIN-NO-ACREDITA-CONSUMO	plan-catalogo-23.tsv	HOLDOUT de evaluación 2024 ya consumido; champion NINGUNO; lectura de valor prohibida en E0; conservar sello de CALC-DIN-AHORRO-SOLO-INFORMAL-ARBITRO-CRUCE-0001 y EMISIONES-0001; pedir nuevo diseño y reserva para otra evaluación
RES-0199	procedencia	milpa/procedencia.yaml:condicionales_confianza_institucional/salud	LEGACY-GEN1	NO-DECLARADO-EN-EL-REGISTRO	ENTRADA_CONSUMIBLE_SIN_THETA_NUMERICA	PIN-NO-ACREDITA-CONSUMO	uso-efectivo-procedencia.tsv	COTEJAR-EJE-Y-ESTIMANDO; CALC-CONDICIONAL-O-DICTAMEN-HISTORICO; Theta.valor lanza
RES-0200	procedencia	milpa/procedencia.yaml:condicionales_confianza_institucional/educación	LEGACY-GEN1	NO-DECLARADO-EN-EL-REGISTRO	ENTRADA_CONSUMIBLE_SIN_THETA_NUMERICA	PIN-NO-ACREDITA-CONSUMO	uso-efectivo-procedencia.tsv	COTEJAR-EJE-Y-ESTIMANDO; CALC-CONDICIONAL-O-DICTAMEN-HISTORICO; Theta.valor lanza
RES-0201	procedencia	milpa/procedencia.yaml:condicionales_confianza_institucional/financiera	LEGACY-GEN1	NO-DECLARADO-EN-EL-REGISTRO	ENTRADA_CONSUMIBLE_SIN_THETA_NUMERICA	PIN-NO-ACREDITA-CONSUMO	uso-efectivo-procedencia.tsv	COTEJAR-EJE-Y-ESTIMANDO; CALC-CONDICIONAL-O-DICTAMEN-HISTORICO; Theta.valor lanza
RES-0202	procedencia	milpa/procedencia.yaml:condicionales_confianza_institucional/seguridad-FFAA	LEGACY-GEN1	NO-DECLARADO-EN-EL-REGISTRO	ENTRADA_CONSUMIBLE_SIN_THETA_NUMERICA	PIN-NO-ACREDITA-CONSUMO	uso-efectivo-procedencia.tsv	COTEJAR-EJE-Y-ESTIMANDO; CALC-CONDICIONAL-O-DICTAMEN-HISTORICO; Theta.valor lanza
RES-0203	procedencia	milpa/procedencia.yaml:condicionales_confianza_institucional/justicia-policía	LEGACY-GEN1	NO-DECLARADO-EN-EL-REGISTRO	ENTRADA_CONSUMIBLE_SIN_THETA_NUMERICA	PIN-NO-ACREDITA-CONSUMO	uso-efectivo-procedencia.tsv	COTEJAR-EJE-Y-ESTIMANDO; CALC-CONDICIONAL-O-DICTAMEN-HISTORICO; Theta.valor lanza
RES-0204	procedencia	milpa/procedencia.yaml:condicionales_confianza_institucional/electoral-partidos	LEGACY-GEN1	NO-DECLARADO-EN-EL-REGISTRO	ENTRADA_CONSUMIBLE_SIN_THETA_NUMERICA	PIN-NO-ACREDITA-CONSUMO	uso-efectivo-procedencia.tsv	COTEJAR-EJE-Y-ESTIMANDO; CALC-CONDICIONAL-O-DICTAMEN-HISTORICO; Theta.valor lanza
RES-0205	procedencia	milpa/procedencia.yaml:condicionales_escalares/radio_confianza	LEGACY-GEN1	NO-DECLARADO-EN-EL-REGISTRO	ENTRADA_CONSUMIBLE_SIN_THETA_NUMERICA	PIN-NO-ACREDITA-CONSUMO	uso-efectivo-procedencia.tsv	COTEJAR-EJE-Y-ESTIMANDO; CALC-CONDICIONAL-O-DICTAMEN-HISTORICO; Theta.valor lanza
RES-0206	procedencia	milpa/procedencia.yaml:condicionales_escalares/familismo_apoyo	LEGACY-GEN1	NO-DECLARADO-EN-EL-REGISTRO	ENTRADA_CONSUMIBLE_SIN_THETA_NUMERICA	PIN-NO-ACREDITA-CONSUMO	uso-efectivo-procedencia.tsv	COTEJAR-EJE-Y-ESTIMANDO; CALC-CONDICIONAL-O-DICTAMEN-HISTORICO; Theta.valor lanza
