# GENERADO por tools/dominios/cola-completa/revisa_no_encontrado.py — no editar
id_afirmacion	clase	programa_candidato	casado_por_nombre	instrumento_texto
ASTRA5-U0-RURAL-034	SIN-PROGRAMA			N/A (informe de comisión de la verdad, no encuesta)
ASTRA5-U0-RURAL-036	SIN-PROGRAMA			N/A (etnografía de caso, no encuesta)
ASTRA5-U0-RURAL-037	SIN-PROGRAMA			N/A
ASTRA5-U0-RURAL-040	SIN-PROGRAMA			N/A (padrón administrativo, no encuesta)
ASTRA5-U0-RURAL-042	SIN-PROGRAMA			N/A (programa administrativo, no encuesta)
ASTRA5-U0-RURAL-043	SIN-PROGRAMA			N/A en el corpus (evaluación externa)
ASTRA5-U0-RURAL-044	SIN-PROGRAMA			N/A en el corpus (estudio cualitativo externo)
ASTRA5-U0-RURAL-045	SIN-PROGRAMA			N/A (documental/normativo, no encuesta)
ASTRA5-U0-RURAL-048	SIN-PROGRAMA			N/A (informe institucional, no encuesta)
ASTRA5-U0-RURAL-049	SIN-PROGRAMA			N/A (monitoreo forestal no identificado por nombre)
ASTRA5-U0-PAREJA-005	SIN-PROGRAMA			literatura demográfica (Quilodrán y otros)
ASTRA5-U0-PAREJA-006	SIN-PROGRAMA			The Competitive Intelligence Unit (The CIU), 'El Amor en los Tiempos de las Telecom', edición 2026
ASTRA5-U0-PAREJA-007	SIN-PROGRAMA			The Competitive Intelligence Unit (The CIU), edición 2026
ASTRA5-U0-PAREJA-008	SIN-PROGRAMA			Statista (encuesta comercial, feb-2023, citada por Profeco) para Tinder/Bumble; The Competitive Intelligence Unit (The CIU), 'El amor en los tiempos de las telecom' ed. 2023, para Instagram/WhatsApp/apps como medio de ligue
ASTRA5-U0-PAREJA-009	SIN-PROGRAMA			Congreso de Tamaulipas, decreto de reforma al Código Civil
ASTRA5-U0-PAREJA-018	SIN-PROGRAMA			literatura de Yela (2003) y Bosch/Ferrer et al. (2007); escalas de mitos románticos (p.ej. EMRO)
ASTRA5-U0-PAREJA-019	SIN-PROGRAMA			Marianismo Beliefs Scale (Castillo, Perez, Castillo & Ghosheh, 2010); Traditional Machismo and Caballerismo Scale (Arciniega, Anderson, Tovar-Blank & Tracey, 2008)
ASTRA5-U0-PAREJA-020	SIN-PROGRAMA			EMUCE (Rivera-Aragón, Flores-Galaz, Díaz-Loving y Montero)
ASTRA5-U0-PAREJA-024	SIN-PROGRAMA			Rojas-Solís et al. (estudios de violencia digital de pareja, Yucatán/Puebla)
ASTRA5-U0-PAREJA-028	SIN-PROGRAMA			UNAM, Dirección General de Comunicación Social, boletín DGCS-108/2024
ASTRA5-U0-PAREJA-029	SIN-PROGRAMA			UNAM DGCS-108 (2024) vs ENVINOV 2007 (IMJUVE)
ASTRA5-U0-PAREJA-035	SIN-PROGRAMA			Mexicanos Primero + Fundación Naná, estudio escolar, feb-2025
ASTRA5-U0-PAREJA-037	SIN-PROGRAMA			CEPAL, Observatorio de Igualdad de Género de América Latina y el Caribe
ASTRA5-U0-PAREJA-039	SIN-PROGRAMA			Calderón-Pérez, Flores-Galaz y Rivera-Aragón (2018)
ASTRA5-U0-PAREJA-040	SIN-PROGRAMA			Premisas Histórico-Socio-Culturales (Díaz-Guerrero; actualización Díaz-Loving 2019)
ASTRA5-U0-GENBEH-001	SIN-PROGRAMA			Duncan et al., Nature Communications 10:3328 (2019), DOI 10.1038/s41467-019-11112-0; revisión 2008–2017
ASTRA5-U0-GENBEH-002	SIN-PROGRAMA			Duncan et al., Nature Communications 10:3328 (2019), DOI 10.1038/s41467-019-11112-0; revisión 2008–2017
ASTRA5-U0-GENBEH-003	SIN-PROGRAMA			Karlsson Linnér et al., Nature Genetics 51:245–257 (2019), DOI 10.1038/s41588-018-0309-3, artículo final
ASTRA5-U0-GENBEH-004	SIN-PROGRAMA			Karlsson Linnér et al., Nature Genetics 51:245–257 (2019), DOI 10.1038/s41588-018-0309-3, artículo final
ASTRA5-U0-GENBEH-005	SIN-PROGRAMA			Karlsson Linnér et al., Nature Genetics 51:245–257 (2019), DOI 10.1038/s41588-018-0309-3, artículo final
ASTRA5-U0-GENBEH-006	SIN-PROGRAMA			Holmes et al., BMJ 349:g4164 (2014), DOI 10.1136/bmj.g4164, ADH1B rs1229984
ASTRA5-U0-GENBEH-007	SIN-PROGRAMA			Holmes et al., BMJ 349:g4164 (2014), DOI 10.1136/bmj.g4164, ADH1B rs1229984
ASTRA5-U0-GENBEH-008	SIN-PROGRAMA			Holmes et al., BMJ 349:g4164 (2014), DOI 10.1136/bmj.g4164, ADH1B rs1229984
ASTRA5-U0-GENBEH-009	SIN-PROGRAMA			Holmes et al., BMJ 349:g4164 (2014)
ASTRA5-U0-GENBEH-010	SIN-PROGRAMA			ninguno identificado
ASTRA5-U0-GENBEH-011	SIN-PROGRAMA			Bierut et al., Molecular Psychiatry (2012)
ASTRA5-U0-GENBEH-012	SIN-PROGRAMA			"Estudio 1994, ""Apparent monomorphism of ALDH2 in seven American Indian populations"" (ScienceDirect 0741832994000867 / PMID 7772269)"
ASTRA5-U0-GENBEH-013	SIN-PROGRAMA			Garcia-Andrade, Wall & Ehlers, Am J Psychiatry 154(7):983 (1997)
ASTRA5-U0-GENBEH-014	SIN-PROGRAMA			Gonzalez & Skewes, Psychology of Addictive Behaviors (2018) — no verificado
ASTRA5-U0-GENBEH-015	SIN-PROGRAMA			Lisker et al. (1995, cita a confirmar); Konishi et al. (2003/2004, año a confirmar)
ASTRA5-U0-GENBEH-016	SIN-PROGRAMA			no identificado por el propio report
ASTRA5-U0-GENBEH-017	SIN-PROGRAMA			Caspi et al., Science 297:851-854 (2002), DOI 10.1126/science.1072290
ASTRA5-U0-GENBEH-018	SIN-PROGRAMA			Byrd & Manuck, Biological Psychiatry 75(1):9-17 (2014)
ASTRA5-U0-GENBEH-019	SIN-PROGRAMA			Lea & Chambers, New Zealand Medical Journal (2007)
ASTRA5-U0-GENBEH-020	SIN-PROGRAMA			no verificado
ASTRA5-U0-GENBEH-021	SIN-PROGRAMA			Karlsson Linnér et al., Nature Genetics 51:245-257 (2019)
ASTRA5-U0-GENBEH-022	SIN-PROGRAMA			Karlsson Linnér et al., Nature Genetics 51:245-257 (2019)
ASTRA5-U0-GENBEH-023	SIN-PROGRAMA			Buchwald et al., Nicotine & Tobacco Research (2022)
ASTRA5-U0-GENBEH-024	SIN-PROGRAMA			Chenoweth et al. (2013) — no verificado
ASTRA5-U0-GENBEH-025	SIN-PROGRAMA			Lerman et al. (2015) — no verificado
ASTRA5-U0-GENBEH-026	SIN-PROGRAMA			ninguno identificado
ASTRA5-U0-GENBEH-027	SIN-PROGRAMA			Anokhin et al. (2011) — no verificado
ASTRA5-U0-GENBEH-028	SIN-PROGRAMA			Sanchez-Roige/Gray et al., Molecular Psychiatry (2025)
ASTRA5-U0-GENBEH-029	SIN-PROGRAMA			Sanchez-Roige et al., Nature Neuroscience (2018)
ASTRA5-U0-GENBEH-030	SIN-PROGRAMA			Mani, Mullainathan, Shafir & Zhao, Science 341:976-980 (2013)
ASTRA5-U0-GENBEH-031	SIN-PROGRAMA			ninguno identificado con diseño equivalente en México
ASTRA5-U0-GENBEH-032	SIN-PROGRAMA			Sharafi et al., Food Quality and Preference (2016) -- EXISTENCIA-NO-COMPROBADA; candidato real que SI sustenta la afirmacion: Calancie L, Keyserling TC, Taillie LS, Robasky K, Patterson C, Ammerman AS, Schisler JC. 'TAS2R38 Predisposition to Bitter Taste Associated with Differential Changes in Vegetable Intake in Response to a Community-Based Dietary Intervention'. G3 (Bethesda). 2018;8(6):2107-2119.
ASTRA5-U0-GENBEH-033	SIN-PROGRAMA			Deshaware & Singhal 2018 / estudio HHL: NO CONFIRMADO tal como lo describe el report (su articulo real es 2017, India, sin intervencion); documento real identificado: Calancie et al., G3 (Bethesda), 2018;8(6):2107-2119, PMID 29686110
ASTRA5-U0-GENBEH-035	SIN-PROGRAMA			Moreno-Estrada et al., Science 344:1280-1285 (2014), DOI 10.1126/science.1251688
ASTRA5-U0-GENBEH-036	SIN-PROGRAMA			"""High frequency of the DRD2/ANKK1 A1 allele in Mexican Native Amerindians and Mestizos and its association with alcohol consumption"", ScienceDirect S0376871617300224, PMID 28152448"
ASTRA5-U0-SALUD-001	SIN-PROGRAMA			No es instrumento de encuesta: boletín Gaceta UNAM (2019) que cita a Yale/Euromonitor. No está en el manifiesto del repo.
ASTRA5-U0-SALUD-002	SIN-PROGRAMA			Estudio académico de Louise Guibrunet (Instituto de Geografía, UNAM), difundido en boletín UNAM y prensa (El Financiero, 7 ene 2024). No es instrumento del corpus.
ASTRA5-U0-SALUD-003	SIN-PROGRAMA			Colchero MA et al., 'Beverage purchases from stores in Mexico under the excise tax…' BMJ 2016; y 'In Mexico, Evidence Of Sustained Consumer Response…' Health Affairs 2017.
ASTRA5-U0-SALUD-004	SIN-PROGRAMA			International Food Policy Study México 2020-2021 (encuesta transversal en línea repetida); estudio de reformulación INSP/PLOS Medicine.
ASTRA5-U0-SALUD-005	SIN-PROGRAMA			Registro regulatorio COFEPRIS (estrategia de regulación de consultorios en farmacias) y declaraciones públicas de Anafarmex.
ASTRA5-U0-SALUD-007	SIN-PROGRAMA			ENCODAT 2025 (Encuesta Nacional de Consumo de Drogas, Alcohol y Tabaco), Secretaría de Salud/CONASAMA/INSP/Instituto Nacional de Psiquiatría, diseño probabilístico multietápico; comparación con ENCODAT 2016.
ASTRA5-U0-SALUD-008	SIN-PROGRAMA			ENCODAT 2025, comparación con ENCODAT 2016.
ASTRA5-U0-SALUD-010	SIN-PROGRAMA			No identificado con precisión: posible INEGI 'Mujeres y Hombres en México' o comunicado de prensa; solo hallado como cifra similar en contexto distinto (INEGI: 83.6% vs 87.9% buscan atención entre quienes tuvieron necesidad, cifra distinta a '>60% solo cuando es grave').
ASTRA5-U0-SALUD-011	SIN-PROGRAMA			Posible IMSS 'Informes y Estadísticas' o Memoria Estadística; no confirmado.
ASTRA5-U0-SALUD-015	SIN-PROGRAMA			Posible: meta-análisis de adherencia a DM2 en México, Psicumex 2022 (mencionado en Patrón E del mismo report, no confirmado como la fuente de esta cifra).
ASTRA5-U0-SALUD-017	SIN-PROGRAMA			ENCODAT 2025, sección/anexo regional (no confirmado en las páginas leídas del Resumen Ejecutivo).
ASTRA5-U0-SALUD-018	SIN-PROGRAMA			ENCODAT 2025, posible desglose de sustancia específica (fentanilo) dentro de la categoría 'opioides', no confirmado en el Resumen Ejecutivo leído.
ASTRA5-U0-SALUD-019	SIN-PROGRAMA			ENCODAT 2025, comparación con ENCODAT 2016.
ASTRA5-U0-SALUD-020	SIN-PROGRAMA			Diario Oficial de la Federación, decreto firmado por la Presidenta Claudia Sheinbaum Pardo el 16-ene-2025, publicado 17-ene-2025.
ASTRA5-U0-SALUD-021	SIN-PROGRAMA			Estudio(s) publicado(s) en SciELO (no identificado con DOI en este lote).
ASTRA5-U0-SALUD-022	SIN-PROGRAMA			CONABIO (Comisión Nacional para el Conocimiento y Uso de la Biodiversidad), portal biodiversidad.gob.mx, citando a Alamilla y Neyra (2020).
ASTRA5-U0-SALUD-023	SIN-PROGRAMA			SEMARNAT (gob.mx), citando a Roberto Campos Navarro, Facultad de Medicina UNAM.
ASTRA5-U0-SALUD-039	SIN-PROGRAMA			ENCODAT 2016 y 2025, módulo de drogas médicas/opioides.
ASTRA5-U0-HUM-001	SIN-PROGRAMA			World Happiness Report 2025, Gallup World Poll 2022–2024
ASTRA5-U0-HUM-002	SIN-PROGRAMA			World Happiness Report 2024, Gallup World Poll 2021–2023
ASTRA5-U0-HUM-003	SIN-PROGRAMA			WHR 2024 (2021–2023) frente a WHR 2025 (2022–2024)
ASTRA5-U0-HUM-007	SIN-PROGRAMA			DataReportal Digital 2025: Mexico, corte enero 2025, fuentes de alcance publicitario y análisis Kepios
ASTRA5-U0-HUM-008	SIN-PROGRAMA			EHV (Calleja et al. 2022), Acta de Investigacion Psicologica 12(2)
ASTRA5-U0-HUM-009	SIN-PROGRAMA			ESSH fase AFE (Cruz Vargas y Sanchez Aragon 2023), Acta de Investigacion Psicologica 13(1)
ASTRA5-U0-HUM-010	SIN-PROGRAMA			ESSH escala final (Cruz Vargas y Sanchez Aragon 2023), Acta de Investigacion Psicologica 13(1)
ASTRA5-U0-HUM-011	SIN-PROGRAMA			EHV 2022 Tabla 4 (p.72); ESSH 2023 Tabla 3 (p.83)
ASTRA5-U0-HUM-012	SIN-PROGRAMA			HSQ adaptado (Villarreal, Gonzalez y Candia, 2012), Revista PsicologiaCientifica.com 14(1)
ASTRA5-U0-HUM-015	SIN-PROGRAMA			Toribio Perez y Andrade Palos (2024), Psychologia 18(2), pp.13-27
ASTRA5-U0-HUM-016	SIN-PROGRAMA			Bravo Doddoli y Sanchez Aragon (2023), Revista de Psicologia UAEMex 12(33), pp.159-189
ASTRA5-U0-HUM-018	SIN-PROGRAMA			DataReportal/We Are Social/Meltwater via Statista, Digital 2023: Mexico, Q3 2023
ASTRA5-U0-HUM-019	SIN-PROGRAMA			no identificado en este lote (posible data.ai/App Annie o similar, via DataReportal)
ASTRA5-U0-HUM-021	SIN-PROGRAMA			Sanchez Rivera et al. (2024), Global Media Journal Mexico 21(40), pp.58-85
ASTRA5-U0-HUM-027	SIN-PROGRAMA			no identificado en este lote (posible Sistema de Informacion en Salud/DGIS, Secretaria de Salud)
ASTRA5-U0-HUM-028	SIN-PROGRAMA			Global Burden of Disease Study 2021 (IHME)
ASTRA5-U0-HUM-029	SIN-PROGRAMA			AXA/Ipsos Mind Health Report 2024, comunicado 11/marzo/2024
ASTRA5-U0-INTER-001	SIN-PROGRAMA			Castillo (2019), estudio no identificado con certeza en este lote; NO_DETERMINADO
ASTRA5-U0-INTER-002	SIN-PROGRAMA			Smith, P.B. et al. (2017) 'Culture as perceived context...', Acta de Investigacion Psicologica/ScienceDirect; NO_DETERMINADO
ASTRA5-U0-INTER-005	SIN-PROGRAMA			Acevedo, Herrera, Shenhav, Yim y Campos (2020) — Escala de Simpatia, NO_DETERMINADO.
ASTRA5-U0-INTER-006	SIN-PROGRAMA			Ramirez-Esparza, Mehl, Alvarez-Bermudez, Pennebaker (2009) — metodo EAR; NO_DETERMINADO.
ASTRA5-U0-INTER-007	SIN-PROGRAMA			Holloway, Waldrip, Ickes (2009); NO_DETERMINADO.
ASTRA5-U0-INTER-008	SIN-PROGRAMA			Diaz-Guerrero, premisas historico-socioculturales (bateria no identificada); decada 1950-1960.
ASTRA5-U0-INTER-009	SIN-PROGRAMA			Felix-Brasdefer (2006, 2008), estudio linguistico de actos de habla; corpus relacionado (transcripciones pragmaticas) SI esta en manifiesto (ver datos_id_estado), pero el articulo/libro con el 64% no.
ASTRA5-U0-INTER-012	SIN-PROGRAMA			Nuñez et al. (2016), cohorte HCHS/SOL; NO_DETERMINADO.
ASTRA5-U0-INTER-013	SIN-PROGRAMA			Gil y Vazquez (1996); NO_DETERMINADO.
ASTRA5-U0-INTER-014	SIN-PROGRAMA			Gabrielidis, Stephan, Ybarra, Pearson, Villareal (1997), Journal of Cross-Cultural Psychology; NO_DETERMINADO.
ASTRA5-U0-INTER-015	SIN-PROGRAMA			Posthuma, White, Dworkin, Yanez, Swift (2006), International Journal of Conflict Management; NO_DETERMINADO.
ASTRA5-U0-INTER-016	SIN-PROGRAMA			Madlock (2012), Journal of Business Communication; NO_DETERMINADO.
ASTRA5-U0-INTER-018	SIN-PROGRAMA			Ogliastri y Davis (2017), texto de negociacion intercultural; NO_DETERMINADO.
ASTRA5-U0-INTER-020	SIN-PROGRAMA			División territorial INEGI/SRE (hecho geografico publico, no encuesta).
ASTRA5-U0-INTER-021	SIN-PROGRAMA			Diaz-Loving, Cruz-Torres, Armenta-Hurtarte, Reyes-Ruiz (2018), Revista de Psicologia Social; NO_DETERMINADO.
ASTRA5-U0-INTER-022	SIN-PROGRAMA			Madrigal-Moreno et al., estudio Reunir/UNIR; NO_DETERMINADO.
ASTRA5-U0-INTER-025	SIN-PROGRAMA			Arciniega et al. (2008), cohorte HCHS/SOL; Fragoso y Kashubeck (2000); NO_DETERMINADO.
ASTRA5-U0-INTER-026	SIN-PROGRAMA			Castillo et al. (2010); Wheeler, Updegraff, Thayer (2010), Journal of Marriage and Family; NO_DETERMINADO.
ASTRA5-U0-INTER-027	SIN-PROGRAMA			Acevedo, Herrera, Shenhav, Yim, Campos (2020) — mismo estudio de interaccion-005.
ASTRA5-U0-INTER-028	SIN-PROGRAMA			Amsterdam University of Applied Sciences (2024), estudio de caso; NO_DETERMINADO.
ASTRA5-U0-INTER-030	SIN-PROGRAMA			Hofstede, muestra IBM 1967-73 (NO_DETERMINADO ola exacta); indice agregado, no encuesta representativa de poblacion.
ASTRA5-U0-INTER-031	SIN-PROGRAMA			GLOBE (House et al., 2004); NO_DETERMINADO.
ASTRA5-U0-INTER-033	SIN-PROGRAMA			Katriel (1986); NO_DETERMINADO.
ASTRA5-U0-INTER-035	SIN-PROGRAMA			RNPDNO / Comision Nacional de Busqueda (CNB), Secretaria de Gobernacion; serie administrativa continua, no encuesta.
ASTRA5-U0-INTER-038	SIN-PROGRAMA			Brambila-Tapia et al. (2023); NO_DETERMINADO.
ASTRA5-U0-INTER-039	SIN-PROGRAMA			Koss (1990), Transcultural Psychiatry; Escobar et al. (2000); NO_DETERMINADO.
ASTRA5-U0-INTER-041	SIN-PROGRAMA			PMC9644291 (identificador PubMed Central); NO_DETERMINADO autor/año exacto en el pasaje del report.
ASTRA5-U0-INTER-042	SIN-PROGRAMA			Varela y Premeaux (2008); NO_DETERMINADO.
ASTRA5-U0-INTER-043	SIN-PROGRAMA			Kim, Lau y Chorpita (2016); NO_DETERMINADO.
ASTRA5-U0-FAM-001	SIN-PROGRAMA			Zeiders et al. (2013) J Adolesc Health -- estudio academico, no encuesta INEGI
ASTRA5-U0-FAM-002	SIN-PROGRAMA			Hofstede Insights / Values Survey Module, sin ola INEGI
ASTRA5-U0-FAM-003	SIN-PROGRAMA			candidato: SHF Indice SHF de Precios de la Vivienda en Mexico (o serie BIS/INEGI); ola/periodo no identificado
ASTRA5-U0-FAM-009	SIN-PROGRAMA			candidato: INEGI Cuenta Satelite del Trabajo No Remunerado de los Hogares de Mexico
ASTRA5-U0-FAM-010	SIN-PROGRAMA			NO-APLICA (norma/politica, no encuesta)
ASTRA5-U0-FAM-011	SIN-PROGRAMA			candidato: Secretaria de Economia / INEGI Censos Economicos; documento SE_REPORTE_GENERAL_ECCO_2023 (r2_1_ecco_reporte_se_2023) esta en manifiesto pero no se verifico que contenga esta cifra
ASTRA5-U0-FAM-012	SIN-PROGRAMA			NO-ENCONTRADO tras busqueda en corpus; candidato no identificado por el report (posible WHO World Mental Health Survey / Global Mental Health Stigma studies)
ASTRA5-U0-FAM-014	SIN-PROGRAMA			Ramirez Stege (2022) estudio clinico; Diaz-Guerrero (1996) marco teorico -- ninguno es encuesta INEGI
ASTRA5-U0-FAM-015	SIN-PROGRAMA			Marsiglia et al. (2009), estudio academico -- no encuesta INEGI
ASTRA5-U0-FAM-018	SIN-PROGRAMA			The Trevor Project, encuesta LGBTQ+ Mexico -- no es instrumento INEGI
ASTRA5-U0-FAM-019	SIN-PROGRAMA			Diaz-Guerrero, serie PHSC (Philosophy of Life/Historic-Sociocultural Premises) -- estudio academico, no encuesta INEGI
ASTRA5-U0-FAM-020	SIN-PROGRAMA			NO-ENCONTRADO: el report no atribuye estas cifras a un estudio nombrado
ASTRA5-U0-FAM-021	SIN-PROGRAMA			Nutini y Bell 'Ritual Kinship'; White, Schnegg y Brudner (estudios de redes de compadrazgo) -- monografias antropologicas, no encuesta INEGI
ASTRA5-U0-FAM-024	SIN-PROGRAMA			candidato confirmado por busqueda web (23/sep/2026): CIEP 'Salud mental: Presupuesto y politica nacional' (analisis del PEF 2016-2026); psiquiatras/100k candidato OMS Atlas de Salud Mental / Secretaria de Salud
ASTRA5-U0-FAM-026	SIN-PROGRAMA			NO-ENCONTRADO: el report no nombra las disertaciones
ASTRA5-U0-FAM-027	SIN-PROGRAMA			Nolle et al. (2012), estudio cualitativo academico -- no encuesta INEGI
ASTRA5-U0-FAM-028	SIN-PROGRAMA			Valdivieso-Mora et al. (2016), revision sistematica -- ya citada por el propio report como fuente de 'evidencia fuerte' en L69
ASTRA5-U0-FAM-029	SIN-PROGRAMA			NO-ENCONTRADO: el report no nombra autor/anio del estudio de perfil latente
ASTRA5-U0-FAM-031	SIN-PROGRAMA			candidato: INEGI Censo de Vivienda / CONAVI / SHF (no confirmado)
ASTRA5-U0-FAM-038	SIN-PROGRAMA			UNICEF (2025) para 56%/40%/51%; NO-ENCONTRADO para 67%/70%/59%
ASTRA5-U0-FAM-041	SIN-PROGRAMA			NO-ENCONTRADO tras busqueda en corpus
ASTRA5-U0-FAM-042	SIN-PROGRAMA			candidato: Eurostat / OECD Family Database (no confirmado, fuera de corpus INEGI)
ASTRA5-U0-FAM-047	SIN-PROGRAMA			candidato: OECD Better Life Index (balance vida-trabajo); NO-ENCONTRADO para 90%/54%/61%
ASTRA5-U0-FAM-048	SIN-PROGRAMA			NOM-035-STPS-2018 (identificada); certificacion EFR (identificada solo por nombre, organismo no confirmado)
ASTRA5-U0-FAM-049	SIN-PROGRAMA			candidato: comunicado de prensa/reporte corporativo de Nu Mexico (Nubank)
ASTRA5-U0-FAM-050	SIN-PROGRAMA			candidato: Gobierno de la Ciudad de Mexico / Secretaria de Desarrollo Urbano y Vivienda (SEDUVI) o INVI
ASTRA5-U0-GENOM-001	SIN-PROGRAMA			Barberena-Jonas et al., Nature Medicine 2026, DOI 10.1038/s41591-025-04100-z, Mexican Biobank/MexVar
ASTRA5-U0-GENOM-002	SIN-PROGRAMA			Barberena-Jonas et al., Nature Medicine 2026, DOI 10.1038/s41591-025-04100-z, Mexican Biobank/MexVar
ASTRA5-U0-GENOM-003	SIN-PROGRAMA			Wen et al., Nature Genetics 2025, DOI 10.1038/s41588-025-02085-6, MCPS vs UKB
ASTRA5-U0-GENOM-004	SIN-PROGRAMA			Martin et al., Nature Genetics 2019 DOI 10.1038/s41588-019-0379-x; prepublicación bioRxiv 2018 DOI 10.1101/441261, figura 3
ASTRA5-U0-GENOM-005	SIN-PROGRAMA			Estudios de farmacogenetica poblacional Mexico (Sosa-Macias et al. 2006; PMC3438817 cinco grupos amerindios y mestizos occidentales); MexVar figuras 1-3 (rs2242480 fentanilo, rs4149056 estatinas)
ASTRA5-U0-GENOM-006	SIN-PROGRAMA			Villanea et al., Science 2025 (1000 Genomes MXL)
ASTRA5-U0-GENOM-007	SIN-PROGRAMA			MCPS, The Lancet Regional Health-Americas 2025; MCPS, J Clin Endocrinol Metab 2025; MCPS/Regeneron Genetics Center rgc-mcps.regeneron.com
ASTRA5-U0-GENOM-008	SIN-PROGRAMA			NO-APLICA (ausencia documental, no instrumento de encuesta)
ASTRA5-U0-GENOM-009	SIN-PROGRAMA			IMARC Group, Mexico Genomics Market (edicion no localizada, citada por el report)
ASTRA5-U0-GENOM-011	SIN-PROGRAMA			Acuerdo COFEPRIS, via regulatoria abreviada, DOF 2025
ASTRA5-U0-GENOM-012	SIN-PROGRAMA			NO-APLICA (revision normativa pendiente)
ASTRA5-U0-GENOM-013	SIN-PROGRAMA			NO-APLICA (documentos COFEPRIS/DOF no identificados individualmente para cada cifra)
ASTRA5-U0-GENOM-014	SIN-PROGRAMA			INMEGEN, comunicado institucional 2026
ASTRA5-U0-GENOM-015	SIN-PROGRAMA			NO-APLICA (comunicado de adquisicion no identificado en este lote)
ASTRA5-U0-GENOM-016	SIN-PROGRAMA			NO-APLICA (comunicado no identificado en este lote)
ASTRA5-U0-GENOM-017	SIN-PROGRAMA			Datar Cancer Genetics, comunicado 14/mayo/2026
ASTRA5-U0-GENOM-018	SIN-PROGRAMA			NO-APLICA (solo prensa localizada)
ASTRA5-U0-GENOM-020	SIN-PROGRAMA			LFPDPPP, DOF 20/mar/2025
ASTRA5-U0-GENOM-021	SIN-PROGRAMA			Ley General de Salud, reforma 2011, Fraccion IX Bis
ASTRA5-U0-GENOM-022	SIN-PROGRAMA			NO-APLICA (revision normativa pendiente)
ASTRA5-U0-GENOM-023	SIN-PROGRAMA			Genomas Brasil, Ministerio da Saude, BRICS Health Journal 2025
ASTRA5-U0-GENOM-024	SIN-PROGRAMA			NO-APLICA (no verificado en este lote)
ASTRA5-U0-GENOM-025	SIN-PROGRAMA			SIGMA Type 2 Diabetes Genetics Consortium (nombre citado por el report, sin DOI/anio confirmado en este lote)
ASTRA5-U0-GENOM-026	SIN-PROGRAMA			NO-APLICA (estudio no identificado por nombre/DOI en este lote)
ASTRA5-U0-GENOM-027	SIN-PROGRAMA			Revision 2024 (no identificada por nombre/DOI en el report)
ASTRA5-U0-GENOM-028	SIN-PROGRAMA			NO-APLICA (directorio no identificado)
ASTRA5-U0-EMOC-002	SIN-PROGRAMA			Mismo estudio de la fila 001 (Smith et al. 2017), matriz de correlaciones del articulo.
ASTRA5-U0-EMOC-003	SIN-PROGRAMA			Sintesis Krys et al. 2022 de estudios previos multinacionales (no un instrumento unico ni una ola del corpus mexicano).
ASTRA5-U0-EMOC-004	SIN-PROGRAMA			Relational Mobility Scale, Thomson et al. 2018 (PNAS), estudio multinacional unico (no serie ni ola del corpus mexicano).
ASTRA5-U0-EMOC-005	SIN-PROGRAMA			Indice Indulgencia (IVR) de Hofstede Insights / Hofstede et al., sin ano unico de levantamiento (compuesto historico).
ASTRA5-U0-EMOC-006	SIN-PROGRAMA			Estudio de control percibido/deseado de Hornsey, Greenaway, Harris & Bain 2019, corte transversal multinacional unico.
ASTRA5-U0-EMOC-009	CANDIDATO-POR-NOMBRE	CCPV	censos de poblacion y vivienda	Censos de Poblacion y Vivienda de Mexico de 1895, 2010 y 2020 (INEGI/Direccion General de Estadistica antecesora); serie historica, no instrumento unico.
ASTRA5-U0-EMOC-010	SIN-PROGRAMA			Estudios psicologicos de Triandis 1984 y Ramirez-Esparza 2008, sin ola ni instrumento del corpus INEGI.
ASTRA5-U0-EMOC-011	SIN-PROGRAMA			Escalas PHSC de Diaz-Guerrero, publicaciones y series de decadas 1960-1990; sin ola vigente en el corpus 2020s.
ASTRA5-U0-EMOC-012	SIN-PROGRAMA			Test of Self-Conscious Affect (TOSCA, Tangney) y Guilt and Shame Proneness scale (GASP, Cohen et al.); literatura internacional, sin ola mexicana identificada en el corpus.
ASTRA5-U0-EMOC-013	SIN-PROGRAMA			Escalas de marianismo/autosilenciamiento (literatura de psicologia de mujeres latinas en EE.UU.); sin instrumento equivalente identificado en el corpus mexicano.
ASTRA5-U0-EMOC-014	SIN-PROGRAMA			Machismo and Caballerismo Scale (MACS), Arciniega et al. 2008, Journal of Counseling Psychology; sin aplicacion identificada en poblacion residente en Mexico.
ASTRA5-U0-EMOC-023	SIN-PROGRAMA			Estudio de Fischer, R. & Schwartz, S. (2011) sobre fuentes de diferencias en prioridades de valores; sin ola del corpus mexicano.
ASTRA5-U0-EMOC-024	SIN-PROGRAMA			Diseno experimental de cebado (priming) de Salvador et al., publicacion 2025/2026 en Personality and Social Psychology Bulletin.
ASTRA5-U0-EMOC-025	SIN-PROGRAMA			Adaptacion mexicana de la escala MOSS-SAST (Ahmed 1999), publicada en Acta Colombiana de Psicologia / Suma Psicologica (ano por confirmar con precision, ~2016 segun scielo.org.co).
ASTRA5-U0-MER-008	SIN-PROGRAMA			Transparency International, Índice de Percepción de la Corrupción 2025, publicado 10-feb-2026
ASTRA5-U0-MER-010	SIN-PROGRAMA			INEGI Pobreza Multidimensional 2024, reporte de resultados 27/25 y nota técnica, 13-ago-2025
ASTRA5-U0-MER-011	SIN-PROGRAMA			INEGI Pobreza Multidimensional 2024, reporte de resultados 27/25 y nota técnica, 13-ago-2025
